DATAFLOW,REF_AREA,MEASURE,EDUCATION_LEV,EXP_SOURCE,EXP_DESTINATION,EXPENDITURE_TYPE,PRICE_BASE,UNIT_MEASURE,Q_SHEET,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER,Q_SHEET_ROW_ID
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),CHE,EXP,ISCED11_1T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,33871.2326367518,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),SWE,EXP,ISCED11_5T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,73164.799387,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),G20,EXP,ISCED11_1T4,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,8163725.25553744,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),CRI,EXP,ISCED11_5T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,567761.7270497,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),ISL,EXP,ISCED11_5T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,45552.5986610899,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),OECD,EXP,ISCED11_1T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,3935584.59783958,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),OECD,EXP,ISCED11_1T4,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,3312198.6254756,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),GBR,EXP,ISCED11_1T4,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,88162.7064898424,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),ESP,EXP,ISCED11_5T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,12858.989,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),SVN,EXP,ISCED11_1T4,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,1730.52906774898,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),PRT,EXP,ISCED11_5T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,1719.891525,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),NOR,EXP,ISCED11_1T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,212407.0,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),NZL,EXP,ISCED11_1T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,15949.40132465,A,6,0,,G5
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.1),LVA,EXP,ISCED11_1T8,S13,INST_EDU,DIR_EXP,V,XDC,SOURCE,2022,1126.71087207435,A,6,0,,G5
