Nome Variabile;Descrizione;Valori
id;Codice identificativo;
Aggregato_territoriale;Aggregazione territoriale;"Provincia; Regione; Area geografica; Italia; Comune istituto principale; Comune plesso; Aree interne SNAI 2014; Aree interne SNAI 2021; Sistemi locali del lavoro (SLL)"
Aggregazione;Sotto aggregazione territoriale;"Istituto Professionale - Settore Industria e Artigianato; Istituto Professionale - Settore Industria e Artigianato_Femmina; Istituto Professionale - Settore Industria e Artigianato_Maschio; Istituto Professionale - Settore Industria e Artigianato_Nativo ; Istituto Professionale - Settore Industria e Artigianato_Straniero I generazione; Istituto Professionale - Settore Industria e Artigianato_Straniero II generazione;Istituto Professionale - Settore Servizi; Istituto Professionale - Settore Servizi_Femmina; Istituto Professionale - Settore Servizi_Maschio; Istituto Professionale - Settore Servizi_Nativo ; Istituto Professionale - Settore Servizio_Straniero I generazione; Istituto Professionale - Settore Servizi_Straniero II generazione ; Istituto Tecnico - Settore Economico; Istituto Tecnico - Settore Economico_Femmina; Istituto Tecnico - Settore Economico_Maschio; Istituto Tecnico - Settore Economico_Nativo ; Istituto Tecnico - Settore Economico_Straniero I generazione; Istituto Tecnico - Settore Economico_Straniero II generazione ;Istituto Tecnico - Settore Tecnologico; Istituto Tecnico - Settore Tecnologico_Femmina; Istituto Tecnico - Settore Tecnologico_Maschio; Istituto Tecnico - Settore Tecnologico_Nativo ; Istituto Tecnico - Settore Tecnologico_Straniero I generazione; Istituto Tecnico - Settore Tecnologico_Straniero II generazione; Liceo Artistico, Musicale, Coreutico; Liceo Artistico, Musicale, Coreutico_Femmina;Liceo Artistico, Musicale, Coreutico_Maschio; Liceo Artistico, Musicale, Coreutico_Nativo ; Liceo Artistico, Musicale, Coreutico_Straniero I generazione; Liceo Artistico, Musicale, Coreutico_Straniero II generazione;  Liceo Classico; Liceo Classico_Femmina;Liceo Classico_Maschio; Liceo Classico_Nativo ; Liceo Classico_Straniero I generazione; Liceo Classico_Straniero II generazione;Liceo delle Scienze Umane; Liceo delle Scienze Umane_Femmina;Liceo delle Scienze Umane_Maschio; Liceo delle Scienze Umane_Nativo ; Liceo delle Scienze Umane_Straniero I generazione; Liceo delle Scienze Umane_Straniero II generazione; Liceo Linguistico; Liceo Linguistico_Femmina;Liceo Linguistico_Maschio; Liceo Linguistico_Nativo ; Liceo Linguistico_Straniero I generazione; Liceo Linguistico_Straniero II generazione; Liceo Scientifico; Liceo Scientifico_Femmina;Liceo Scientifico_Maschio; Liceo Scientifico_Nativo ; Liceo Scientifico_Straniero I generazione; Liceo Scientifico_Straniero II generazione; Maschio; Femmina; Nativo; Straniero I generazione; Straniero II generazione"
Denominazione;Denominazione dell'aggregato territoriale;-
Grado;Grado scolastico;2: II primaria. 5: V primaria. 8: III secondaria di I grado. 10: II secondaria di II grado. 13: V secondaria di II grado.
Materia;Materia oggetto della prova;Italiano - Matematica - Inglese lettura - Inglese ascolto.
Anno;Anno scolastico;Dal 2012-13 al 2024-25 (non è presente l'anno scolastico 2019-20 poiché non si sono svolte le prove).
Punteggio percentuale medio;Punteggio percentuale medio - corretto per il cheating (NB: dal 2017-18, con l'introduzione delle prove CBT, questo dato non è più calcolato per i gradi 8, 10 e 13);"888=Non applicabile; 999= dato mancante"
Dev Std Punteggio Percentuale;Deviazione standard del punteggio percentuale medio (NB: dal 2017-18, con l'introduzione delle prove CBT, questo dato non è più calcolato per i gradi 8, 10 e 13);"888=Non applicabile; 999= dato mancante"
Punteggio wle medio;Punteggio WLE medio (stima delle abilità secondo il modello di Rasch) su scala nazionale corretto per il cheating;999= dato mancante
Dev Std Punteggio wle;Deviazione standard del punteggio WLE medio;"888=Non applicabile; 999= dato mancante"
media_ESCS;Media dell'indicatore di background socio-economico e culturale;"888=Non applicabile; 999= dato mancante"
Dev_Std_ESCS;Deviazione standard dell'indicatore di background socio-economico e culturale;"888=Non applicabile; 999= dato mancante"
Primo_Livello;Livelli di competenza;"Per Italiano e Matematica grado 8, 10 e 13 equivale al livello di competenza 1, per Inglese grado 5 e 8 equivale al ""Livello Pre-A1""; ""Non raggiunge il livello B1"" per il grado 13; 888=Non applicabile; 999= dato mancante"
Secondo_Livello;Livelli di competenza;"Per Italiano e Matematica grado 8, 10 e 13 equivale al livello di competenza 2, per Inglese grado 5 e 8 equivale al ""Livello A1""; ""Livello B1"" per il grado 13; 888=Non applicabile; 999= dato mancante"
Terzo_Livello;Livelli di competenza;"Per Italiano e Matematica grado 8, 10 e 13 equivale al livello di competenza 3, per Inglese grado 8 equivale al ""Livello A2""; ""Livello B2"" per il grado 13; 888=Non applicabile; 999= dato mancante"
Quarto_Livello;Livelli di competenza;"Per Italiano e Matematica grado 8, 10 e 13 equivale al livello di competenza 4; 888=Non applicabile; 999= dato mancante"
Quinto_Livello;Livelli di competenza;"Per Italiano e Matematica grado 8, 10 e 13 equivale al livello di competenza 5; 888=Non applicabile; 999= dato mancante"
Perc_traguardi;Percentuale di studenti che raggiungono i traguardi;"888=Non applicabile; 999= dato mancante"
Percentuale_partecipazione;Percentuale di partecipazione alle prove;999= dato mancante
