Macro_Track,Specific_Branch,Subject,Hours_Year1,Hours_Year2,Hours_Year3,Hours_Year4,Hours_Year5,Total_5_Years
Liceo,Liceo Classico,Lingua e letteratura italiana,4,4,4,4,4,660
Liceo,Liceo Classico,Lingua e cultura latina,5,5,4,4,4,726
Liceo,Liceo Classico,Lingua e cultura greca,4,4,3,3,3,561
Liceo,Liceo Classico,Lingua e cultura straniera,3,3,3,3,3,495
Liceo,Liceo Classico,Storia e geografia,3,3,0,0,0,198
Liceo,Liceo Classico,Storia,0,0,3,3,3,297
Liceo,Liceo Classico,Filosofia,0,0,3,3,3,297
Liceo,Liceo Classico,Matematica,3,3,2,2,2,396
Liceo,Liceo Classico,Fisica,0,0,2,2,2,198
Liceo,Liceo Classico,Scienze naturali,2,2,2,2,2,330
Liceo,Liceo Classico,Storia dell'arte,0,0,2,2,2,198
Liceo,Liceo Classico,Scienze motorie e sportive,2,2,2,2,2,330
Liceo,Liceo Classico,Religione cattolica o attività alternative,1,1,1,1,1,165
Liceo,Liceo Scientifico,Lingua e letteratura italiana,4,4,4,4,4,660
Liceo,Liceo Scientifico,Lingua e cultura latina,3,3,3,3,3,495
Liceo,Liceo Scientifico,Lingua e cultura straniera,3,3,3,3,3,495
Liceo,Liceo Scientifico,Storia e geografia,3,3,0,0,0,198
Liceo,Liceo Scientifico,Storia,0,0,2,2,2,198
Liceo,Liceo Scientifico,Filosofia,0,0,3,3,3,297
Liceo,Liceo Scientifico,Matematica,5,5,4,4,4,726
Liceo,Liceo Scientifico,Fisica,2,2,3,3,3,429
Liceo,Liceo Scientifico,Scienze naturali,2,2,3,3,3,429
Liceo,Liceo Scientifico,Disegno e storia dell'arte,2,2,2,2,2,330
Liceo,Liceo Scientifico,Scienze motorie e sportive,2,2,2,2,2,330
Liceo,Liceo Scientifico,Religione cattolica o attività alternative,1,1,1,1,1,165
Liceo,Liceo Scientifico (Scienze Applicate),Lingua e letteratura italiana,4,4,4,4,4,660
Liceo,Liceo Scientifico (Scienze Applicate),Lingua e cultura straniera,3,3,3,3,3,495
Liceo,Liceo Scientifico (Scienze Applicate),Storia e geografia,3,3,0,0,0,198
Liceo,Liceo Scientifico (Scienze Applicate),Storia,0,0,2,2,2,198
Liceo,Liceo Scientifico (Scienze Applicate),Filosofia,0,0,2,2,2,198
Liceo,Liceo Scientifico (Scienze Applicate),Matematica,5,5,4,4,4,726
Liceo,Liceo Scientifico (Scienze Applicate),Informatica,2,2,2,2,2,330
Liceo,Liceo Scientifico (Scienze Applicate),Fisica,2,2,3,3,3,429
Liceo,Liceo Scientifico (Scienze Applicate),Scienze naturali,3,3,5,5,5,693
Liceo,Liceo Scientifico (Scienze Applicate),Disegno e storia dell'arte,2,2,2,2,2,330
Liceo,Liceo Scientifico (Scienze Applicate),Scienze motorie e sportive,2,2,2,2,2,330
Liceo,Liceo Scientifico (Scienze Applicate),Religione cattolica o attività alternative,1,1,1,1,1,165
Liceo,Liceo del Made in Italy,Lingua e letteratura italiana,4,4,4,4,4,660
Liceo,Liceo del Made in Italy,Storia e geografia,3,3,0,0,0,198
Liceo,Liceo del Made in Italy,Storia,0,0,2,2,2,198
