Region,Macro_Area,Tempo_Pieno_Coverage_Pct,Canteen_Access_Pct,Gym_Access_Pct,Cultural_Deprivation_Index,Absolute_Child_Poverty_Pct,Year
Lombardia,Nord,58.5,72.1,68.5,12.5,11.2,2023
Veneto,Nord,42.8,68.2,72.1,14.2,10.5,2023
Emilia-Romagna,Nord,62.1,78.5,75.2,10.8,9.8,2023
Toscana,Centro,55.2,65.8,62.5,15.2,12.8,2023
Lazio,Centro,48.5,55.2,58.8,18.5,14.2,2023
Campania,Sud,12.5,22.8,28.5,42.5,28.5,2023
Puglia,Sud,18.2,28.5,32.1,38.2,25.2,2023
Calabria,Sud,15.8,18.5,25.2,48.5,32.1,2023
Sicilia,Sud,8.5,15.2,22.8,52.1,35.8,2023
Sardegna,Sud,22.5,35.2,38.5,32.5,22.8,2023
