antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO', 'CLASSICO', 'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.15988372093023256,0.4571220930232558,0.15988372093023256,1.0,2.1875993640699525,1.0,0.08679733977825853,inf,0.6461937716262977,0.34976152623211443,1.0,0.6748807631160573
"frozenset({'SCIENTIFICO', 'RELAZIONI INTERNAZIONALI PER IL MARKETING'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.17005813953488372,0.4571220930232558,0.17005813953488372,1.0,2.1875993640699525,1.0,0.0923208068550568,inf,0.6541155866900176,0.37201907790143085,1.0,0.6860095389507155
"frozenset({'RELAZIONI INTERNAZIONALI PER IL MARKETING', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.16279069767441862,0.4571220930232558,0.16279069767441862,1.0,2.1875993640699525,1.0,0.08837547322877232,inf,0.6484375,0.356120826709062,1.0,0.678060413354531
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'RELAZIONI INTERNAZIONALI PER IL MARKETING'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.16351744186046513,0.4571220930232558,0.16351744186046513,1.0,2.1875993640699525,1.0,0.08877000659140077,inf,0.6490008688097307,0.3577106518282989,1.0,0.6788553259141494
"frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO', 'SISTEMI INFORMATIVI AZIENDALI', 'CLASSICO'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.16569767441860464,0.4571220930232558,0.16569767441860464,1.0,2.1875993640699525,1.0,0.0899536066792861,inf,0.6506968641114983,0.3624801271860095,1.0,0.6812400635930047
"frozenset({'CLASSICO', 'SCIENZE UMANE - OPZ. ECONOMICO SOCIALE', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",frozenset({'SCIENTIFICO'}),0.15261627906976744,0.5748546511627907,0.15261627906976744,1.0,1.7395701643489254,1.0,0.06488410120335317,inf,0.5017152658662093,0.2654867256637168,1.0,0.6327433628318584
"frozenset({'LINGUISTICO', 'RELAZIONI INTERNAZIONALI PER IL MARKETING'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.15479651162790697,0.4571220930232558,0.15479651162790697,1.0,2.1875993640699525,1.0,0.08403560623985938,inf,0.6423043852106621,0.3386327503974563,1.0,0.6693163751987281
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENZE UMANE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.1744186046511628,0.4571220930232558,0.1744186046511628,1.0,2.1875993640699525,1.0,0.09468800703082748,inf,0.6575704225352113,0.3815580286168522,1.0,0.690779014308426
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENZE UMANE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.15261627906976744,0.4571220930232558,0.15261627906976744,1.0,2.1875993640699525,1.0,0.08285200615197404,inf,0.6406518010291595,0.33386327503974567,1.0,0.6669316375198728
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO', 'SCIENTIFICO', 'SCIENZE UMANE'})",frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE'}),0.16424418604651161,0.4571220930232558,0.16424418604651161,1.0,2.1875993640699525,1.0,0.0891645399540292,inf,0.6495652173913044,0.35930047694753575,1.0,0.6796502384737679
