year,classe_eta,sex_label,obs_value
2010,àYà1à5à-à1à9à,àfàeàmàaàlàeà,63.6763125
2010,àYà1à5à-à1à9à,àmàaàlàeà,73.77071875
2010,àYà1à5à-à1à9à,àtàoàtàaàlà,137.447
2011,àYà1à5à-à1à9à,àfàeàmàaàlàeà,62.498281250000005
2011,àYà1à5à-à1à9à,àmàaàlàeà,70.791625
2011,àYà1à5à-à1à9à,àtàoàtàaàlà,133.289875
2012,àYà1à5à-à1à9à,àfàeàmàaàlàeà,59.19559375
2012,àYà1à5à-à1à9à,àmàaàlàeà,76.00715625
2012,àYà1à5à-à1à9à,àtàoàtàaàlà,135.2026875
2013,àYà1à5à-à1à9à,àfàeàmàaàlàeà,56.898
2013,àYà1à5à-à1à9à,àmàaàlàeà,74.0944375
2013,àYà1à5à-à1à9à,àtàoàtàaàlà,130.99234375
2014,àYà1à5à-à1à9à,àfàeàmàaàlàeà,57.9624375
2014,àYà1à5à-à1à9à,àmàaàlàeà,70.6384375
2014,àYà1à5à-à1à9à,àtàoàtàaàlà,128.60090625
2015,àYà1à5à-à1à9à,àfàeàmàaàlàeà,55.1875625
2015,àYà1à5à-à1à9à,àmàaàlàeà,68.67434375
2015,àYà1à5à-à1à9à,àtàoàtàaàlà,123.86184375
2016,àYà1à5à-à1à9à,àfàeàmàaàlàeà,52.79315625
2016,àYà1à5à-à1à9à,àmàaàlàeà,63.37128125
2016,àYà1à5à-à1à9à,àtàoàtàaàlà,116.16434375
2017,àYà1à5à-à1à9à,àfàeàmàaàlàeà,63.99990625
2017,àYà1à5à-à1à9à,àmàaàlàeà,72.52640625
2017,àYà1à5à-à1à9à,àtàoàtàaàlà,136.52625
2018,àYà1à5à-à1à9à,àfàeàmàaàlàeà,59.60690625
2018,àYà1à5à-à1à9à,àmàaàlàeà,68.46546875
2018,àYà1à5à-à1à9à,àtàoàtàaàlà,128.0723125
2019,àYà1à5à-à1à9à,àfàeàmàaàlàeà,55.51675
2019,àYà1à5à-à1à9à,àmàaàlàeà,67.22640625
2019,àYà1à5à-à1à9à,àtàoàtàaàlà,122.74309375
2020,àYà1à5à-à1à9à,àfàeàmàaàlàeà,60.48225
2020,àYà1à5à-à1à9à,àmàaàlàeà,69.113375
2020,àYà1à5à-à1à9à,àtàoàtàaàlà,129.5954375
2010,àYà1à5à-à2à4à,àfàeàmàaàlàeà,176.12747142857145
2010,àYà1à5à-à2à4à,àmàaàlàeà,176.13042857142855
2010,àYà1à5à-à2à4à,àtàoàtàaàlà,280.4819891304348
2011,àYà1à5à-à2à4à,àfàeàmàaàlàeà,183.09634285714287
2011,àYà1à5à-à2à4à,àmàaàlàeà,181.4854
2011,àYà1à5à-à2à4à,àtàoàtàaàlà,290.2895760869565
2012,àYà1à5à-à2à4à,àfàeàmàaàlàeà,189.0649857142857
2012,àYà1à5à-à2à4à,àmàaàlàeà,193.9752571428572
2012,àYà1à5à-à2à4à,àtàoàtàaàlà,305.2169347826087
2013,àYà1à5à-à2à4à,àfàeàmàaàlàeà,193.9610571428572
2013,àYà1à5à-à2à4à,àmàaàlàeà,211.27347142857144
2013,àYà1à5à-à2à4à,àtàoàtàaàlà,322.8917173913043
2014,àYà1à5à-à2à4à,àfàeàmàaàlàeà,191.5502857142857
2014,àYà1à5à-à2à4à,àmàaàlàeà,207.4271571428572
2014,àYà1à5à-à2à4à,àtàoàtàaàlà,318.0287282608696
2015,àYà1à5à-à2à4à,àfàeàmàaàlàeà,186.87657142857145
2015,àYà1à5à-à2à4à,àmàaàlàeà,199.67264285714285
2015,àYà1à5à-à2à4à,àtàoàtàaàlà,308.0155434782609
2016,àYà1à5à-à2à4à,àfàeàmàaàlàeà,173.41254285714285
2016,àYà1à5à-à2à4à,àmàaàlàeà,181.9162142857143
2016,àYà1à5à-à2à4à,àtàoàtàaàlà,283.18977173913044
2017,àYà1à5à-à2à4à,àfàeàmàaàlàeà,175.84535714285713
2017,àYà1à5à-à2à4à,àmàaàlàeà,186.45844285714287
2017,àYà1à5à-à2à4à,àtàoàtàaàlà,288.60601086956524
2018,àYà1à5à-à2à4à,àfàeàmàaàlàeà,172.01364285714286
2018,àYà1à5à-à2à4à,àmàaàlàeà,176.43274285714284
2018,àYà1à5à-à2à4à,àtàoàtàaàlà,277.4876739130435
2019,àYà1à5à-à2à4à,àfàeàmàaàlàeà,160.23510000000002
2019,àYà1à5à-à2à4à,àmàaàlàeà,169.37875714285715
2019,àYà1à5à-à2à4à,àtàoàtàaàlà,262.42552173913043
2020,àYà1à5à-à2à4à,àfàeàmàaàlàeà,172.2852714285714
2020,àYà1à5à-à2à4à,àmàaàlàeà,181.1919
2020,àYà1à5à-à2à4à,àtàoàtàaàlà,281.17625
2010,àYà1à5à-à2à9à,àfàeàmàaàlàeà,363.50354285714286
2010,àYà1à5à-à2à9à,àmàaàlàeà,276.17422857142856
2010,àYà1à5à-à2à9à,àtàoàtàaàlà,509.2269130434783
2011,àYà1à5à-à2à9à,àfàeàmàaàlàeà,365.37822857142856
2011,àYà1à5à-à2à9à,àmàaàlàeà,286.8005
2011,àYà1à5à-à2à9à,àtàoàtàaàlà,519.2157934782609
2012,àYà1à5à-à2à9à,àfàeàmàaàlàeà,370.1940428571429
2012,àYà1à5à-à2à9à,àmàaàlàeà,304.367
2012,àYà1à5à-à2à9à,àtàoàtàaàlà,537.4411195652174
2013,àYà1à5à-à2à9à,àfàeàmàaàlàeà,391.9720714285714
2013,àYà1à5à-à2à9à,àmàaàlàeà,344.1227285714286
2013,àYà1à5à-à2à9à,àtàoàtàaàlà,586.4471847826087
2014,àYà1à5à-à2à9à,àfàeàmàaàlàeà,389.1333428571429
2014,àYà1à5à-à2à9à,àmàaàlàeà,344.4240857142857
2014,àYà1à5à-à2à9à,àtàoàtàaàlà,584.6334782608695
2015,àYà1à5à-à2à9à,àfàeàmàaàlàeà,382.2101428571429
2015,àYà1à5à-à2à9à,àmàaàlàeà,336.6091714285714
2015,àYà1à5à-à2à9à,àtàoàtàaàlà,572.7002934782608
2016,àYà1à5à-à2à9à,àfàeàmàaàlàeà,365.9365285714286
2016,àYà1à5à-à2à9à,àmàaàlàeà,308.2359
2016,àYà1à5à-à2à9à,àtàoàtàaàlà,537.2571956521739
2017,àYà1à5à-à2à9à,àfàeàmàaàlàeà,360.6951142857143
2017,àYà1à5à-à2à9à,àmàaàlàeà,310.6730857142857
2017,àYà1à5à-à2à9à,àtàoàtàaàlà,534.8792065217392
2018,àYà1à5à-à2à9à,àfàeàmàaàlàeà,351.43402857142854
