school_type,academic_year,codice_istituto,rows,avg_score,min_score,low_score_rows,weak_score_rows,proxy_rows,keyword_hits,proxy_rate,school_proxy_flag
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàVà1àEà0à0à7à0à0à9à,4,4.25,2,1,1,3,4,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àFàIà1àEà0à0à7à0à0àXà,4,6.5,6,0,0,3,3,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àGàEàPàSà0à3à5à0à0à6à,4,3.5,2,1,1,3,4,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àLàIà1àEà0à0à1à0à0à2à,4,3.0,1,3,3,3,0,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàIà1àMà1à0à0à0à0àTà,4,3.5,2,1,2,3,4,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàIàSàLà0à4à5à0à0àBà,4,5.25,2,1,1,3,2,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàIàTàDà1à4à5à0à0à7à,4,3.25,2,2,2,3,1,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àMà0à5à7à0à0àAà,4,2.75,2,2,3,3,3,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàAàTàDà3à4à5à0à0àBà,4,3.0,2,1,3,3,3,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàZàTàLà0à0à5à0à0à6à,4,1.5,1,3,4,3,0,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàCàTàDà1àBà5à0à0àIà,4,2.25,1,2,3,3,1,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàMàPàSà0à0à5à0à0àLà,4,3.0,2,2,3,3,2,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àSàSà1àEà0à0à4à0à0àLà,4,3.5,1,2,2,3,1,0.75,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàGàTàLà4à1à5à0à0à1à,4,3.75,1,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàNàPàSà0à0à5à0à0àTà,4,3.5,2,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAàPàCà9àLà5à0à0àSà,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àEà0à1à7à0à0àEà,4,3.25,1,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàSà0à9à5à0à0à1à,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàLà1àMà0à0à2à0à0àLà,4,5.25,4,0,0,2,5,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàNàPàCà0à2à5à0à0àRà,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àEà0à0à1à0à0àVà,4,4.75,2,1,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àEà0à0à5à0à0à6à,4,5.25,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àEà0à0à9à0à0àDà,4,6.0,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àMà0à0à7à0à0à3à,4,5.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àMà0à1à0à0à0àVà,4,5.25,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàRà1àEà0à0à6à0à0à5à,4,4.75,1,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àEà0à0à8à0à0à8à,4,6.0,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à1à4à0à0àRà,4,6.0,6,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSàTàFà0à0à5à0à0à4à,4,3.75,1,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàAà1àEà0à1à9à0à0à2à,4,4.0,1,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàAàPàCàVàVà5à0à0à5à,4,3.0,1,2,2,2,0,0.5,True
