level,indicator,school_year,min_eur,max_eur,note,source_file
àpàràiàmàaàràyà,àtàeàxàtàbàoàoàkà_àcàoàvàeàrà_àpàràiàcàeà_àtàoàtàaàlà,à2à0à2à5à-à2à0à2à6à,187.07,187.07,àOàfàfàiàcàiàaàlà àpàràiàmàaàràyà àtàeàxàtàbàoàoàkà àtàoàtàaàlà àfàràoàmà àMàiànàiàsàtàeàràiàaàlà àDàeàcàràeàeà ànà.à à7à3à/à2à0à2à5à,àIàtàaàlàyàPàràiàmàaàràyàSàcàhàoàoàlàBàoàoàkàEàxàpàeànàsàeàsà.àcàsàvà
àSàcàuàoàlàaà àmàeàdàiàaà à(àlàoàwàeàrà àsàeàcàoànàdàaàràyà)à,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,800.0,1200.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àLàiàcàeàoà àcàlàaàsàsàiàcàoà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,1000.0,1300.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àLàiàcàeàoà àsàcàiàeànàtàiàfàiàcàoà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,900.0,1200.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àLàiàcàeàoà àlàiànàgàuàiàsàtàiàcàoà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,900.0,1200.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àIàsàtàiàtàuàtàoà àtàeàcànàiàcàoà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,800.0,1100.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àIàsàtàiàtàuàtàoà àpàràoàfàeàsàsàiàoànàaàlàeà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,700.0,950.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àOàvàeàràaàlàlà àmàeàaànà àaàcàràoàsàsà àaàlàlà àsàeàcàoànàdàaàràyà àsàcàhàoàoàlàsà,àeàsàtàiàmàaàtàeàdà_àmàeàaànà_àaànànàuàaàlà_àhàoàuàsàeàhàoàlàdà_àsàpàeànàdàiànàgà,àuànàdàaàtàeàdà-àcàuàràràeànàtà,1000.0,1000.0,àEàsàtàiàmàaàtàeàdà àtàeàxàtàbàoàoàkàsà àpàlàuàsà àoàtàhàeàrà àmàaàtàeàràiàaàlàsà,àIàtàaàlàiàaànàMàeàaànàSàeàcàoànàdàaàràyàSàcàhàoàoàlàEàxàpàeànàsàeàsà.àcàsàvà
àTàoàtàaàlàeà àIàtàaàlàiàaà,àaàvàeàràaàgàeà_àuànàiàvàeàràsàiàtàyà_àtàuàiàtàiàoànà_àaàlàlà_àsàtàuàdàeànàtàsà,à2à0à2à3à-à2à0à2à4à,1494.61,1494.61,àAàvàeàràaàgàeà àuànàiàvàeàràsàiàtàyà àtàuàiàtàiàoànà àaàcàràoàsàsà àaàlàlà àeànàràoàlàlàeàdà àsàtàuàdàeànàtàsà,àiàtàaàlàyà_àmàuàrà_àtàuàiàtàiàoànà_àbàeànàcàhàmàaàràkà_à2à0à2à4à.àcàsàvà
àTàoàtàaàlàeà àIàtàaàlàiàaà,àaàvàeàràaàgàeà_àuànàiàvàeàràsàiàtàyà_àtàuàiàtàiàoànà_àpàaàyàeàràsà,à2à0à2à3à-à2à0à2à4à,2160.32,2160.32,àAàvàeàràaàgàeà àuànàiàvàeàràsàiàtàyà àtàuàiàtàiàoànà àaàmàoànàgà àpàaàyàeàràsà àoànàlàyà,àiàtàaàlàyà_àmàuàrà_àtàuàiàtàiàoànà_àbàeànàcàhàmàaàràkà_à2à0à2à4à.àcàsàvà
