region,macro_area,pop_6_18_2024,pop_6_18_2040,pop_6_18_2070,projected_change_2040_pct,projected_change_2070_pct
Abruzzo,Sud,142500,112000,81000,-21.4,-43.2
Basilicata,Sud,65400,48200,32500,-26.3,-50.3
Calabria,Sud,235000,176000,118000,-25.1,-49.8
Campania,Sud,780000,605000,425000,-22.4,-45.5
Emilia-Romagna,Nord-Est,525000,462000,395000,-12.0,-24.8
Friuli-Venezia Giulia,Nord-Est,141000,121000,98000,-14.2,-30.5
Lazio,Centro,745000,635000,498000,-14.8,-33.2
Liguria,Nord-Ovest,158000,132000,104000,-16.5,-34.2
Lombardia,Nord-Ovest,1295000,1145000,985000,-11.6,-23.9
Marche,Centro,182000,148000,112000,-18.7,-38.5
Molise,Sud,34500,26100,17800,-24.3,-48.4
Piemonte,Nord-Ovest,512000,435000,345000,-15.0,-32.6
Puglia,Sud,520000,402000,275000,-22.7,-47.1
Sardegna,Isole,185000,138000,92000,-25.4,-50.3
Sicilia,Isole,665000,512000,348000,-23.0,-47.7
Toscana,Centro,445000,382000,305000,-14.2,-31.5
Trentino-Alto Adige,Nord-Est,142000,134000,121000,-5.6,-14.8
Umbria,Centro,104000,84500,63000,-18.8,-39.4
Valle d'Aosta,Nord-Ovest,15200,12800,10100,-15.8,-33.6
Veneto,Nord-Est,595000,515000,425000,-13.4,-28.6
