region,country,nuts2_code,neet_rate_15_29_pct,early_school_leaving_pct,youth_unemployment_pct
àCàaàmàpàaànàiàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàFà3à,28.6,16.4,36.8
àSàiàcàiàlàiàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàGà1à,27.9,18.8,35.2
àCàaàlàaàbàràiàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàFà6à,27.1,14.9,34.1
àPàuàgàlàiàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàFà4à,23.4,15.2,29.8
àSàaàràdàeàgànàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàGà2à,20.8,17.3,26.5
àLàaàzàiàoà à(àIàTà)à,àIàtàaàlàyà,àIàTàIà4à,14.5,9.8,18.2
àLàoàmàbàaàràdàiàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàCà4à,11.2,8.9,13.5
àEàmàiàlàiàaà-àRàoàmàaàgànàaà à(àIàTà)à,àIàtàaàlàyà,àIàTàHà5à,9.8,8.2,11.8
àVàeànàeàtàoà à(àIàTà)à,àIàtàaàlàyà,àIàTàHà3à,10.1,8.5,12.1
àTàràeànàtàiànàoà-àAàlàtàoà àAàdàiàgàeà à(àIàTà)à,àIàtàaàlàyà,àIàTàHà1à,8.2,7.1,9.4
àAànàdàaàlàuàcàíàaà à(àEàSà)à,àSàpàaàiànà,àEàSà6à1à,18.5,15.3,28.4
àÎàlàeà-àdàeà-àFàràaànàcàeà à(àFàRà)à,àFàràaànàcàeà,àFàRà1à0à,10.4,8.1,14.2
àOàbàeàràbàaàyàeàrànà à/à àMàuànàiàcàhà à(àDàEà)à,àGàeàràmàaànàyà,àDàEà2à1à,5.8,6.2,4.5
àAàtàtàiàkàià à/à àAàtàhàeànàsà à(àEàLà)à,àGàràeàeàcàeà,àEàLà3à0à,16.2,6.8,24.1
