1. Popolazione analizzata
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Numero di laureati,307.434,170.663,31.264,105.507
Numero di intervistati,199.929,110.844,20.276,68.809
Tasso di risposta sul totale dei laureati,"65,0","64,9","64,9","65,2"
Tasso di risposta sui laureati contattabili,"69,0","68,7","69,3","69,6"
Genere (%),,,,
Uomini,"40,4","40,9","31,9","42,0"
Donne,"59,6","59,1","68,1","58,0"
"Età alla laurea (medie, in anni)","26,1","25,0","27,2","27,5"
"Voto di laurea (medie, in 110-mi)","103,4","100,5","105,8","107,3"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","3,9","4,0","6,8","2,8"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","2,1","2,3","2,5","1,7"
Indice di ritardo (sui laureati in atenei non telematici),"0,35","0,34","0,28","0,39"
Indice di ritardo (sui laureati in atenei telematici),"-0,21","-0,23","-0,51","-0,13"

2b. Formazione post-laurea
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"34,5","21,7","62,3","47,0"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,,
Collaborazione volontaria,"4,0","3,0","6,8","4,8"
Tirocinio/praticantato,"6,3","2,3","22,0","8,1"
Scuola di specializzazione,"3,9","0,9","24,1","2,8"
Master universitario di primo livello,"4,7","5,2","2,5","4,5"
Altro tipo di master,"3,8","3,0","4,3","5,1"
Stage in azienda,"13,0","9,7","9,6","19,2"
Corso di formazione professionale,"2,2","2,0","2,7","2,2"
Attività sostenuta da borsa di studio,"2,4","1,3","2,9","4,2"

3. Condizione occupazionale
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Condizione occupazionale (%),,,,
Lavorano,-,-,-,-
Non lavorano e non cercano,-,-,-,-
Non lavorano ma cercano,-,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-,-
Esperienze di lavoro post-laurea (%),,,,
Non lavorano ma hanno lavorato dopo la laurea,"13,1","14,0","14,3","11,2"
Non hanno mai lavorato dopo la laurea,"35,0","44,0","36,0","20,3"
Tasso di occupazione,,,,
