1. Popolazione analizzata
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di laureati,307.434,65.403,103.040,54.804,84.187
Numero di intervistati,199.929,41.342,66.876,35.918,55.793
Tasso di risposta sul totale dei laureati,"65,0","63,2","64,9","65,5","66,3"
Tasso di risposta sui laureati contattabili,"69,0","67,4","69,1","68,5","70,6"
Genere (%),,,,,
Uomini,"40,4","19,7","39,1","38,6","59,2"
Donne,"59,6","80,3","60,9","61,4","40,8"
"Età alla laurea (medie, in anni)","26,1","26,6","26,2","26,3","25,5"
"Voto di laurea (medie, in 110-mi)","103,4","104,8","101,9","105,1","102,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","3,9","3,8","3,7","4,6","3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","2,1","2,0","2,2","2,1","2,3"
Indice di ritardo (sui laureati in atenei non telematici),"0,35","0,38","0,31","0,29","0,42"
Indice di ritardo (sui laureati in atenei telematici),"-0,21","-0,20","-0,24","-0,21","-0,18"

2b. Formazione post-laurea
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"34,5","28,0","41,5","36,1","29,9"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,,,
Collaborazione volontaria,"4,0","3,7","3,6","4,7","4,2"
Tirocinio/praticantato,"6,3","1,7","13,8","4,1","2,0"
Scuola di specializzazione,"3,9","3,1","2,1","12,8","0,8"
Master universitario di primo livello,"4,7","5,5","5,8","5,8","2,1"
Altro tipo di master,"3,8","5,1","4,6","3,4","2,1"
Stage in azienda,"13,0","9,9","18,1","7,5","12,6"
Corso di formazione professionale,"2,2","2,7","2,0","3,4","1,2"
Attività sostenuta da borsa di studio,"2,4","1,6","1,4","2,2","4,4"

3. Condizione occupazionale
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Condizione occupazionale (%),,,,,
Lavorano,-,-,-,-,-
Non lavorano e non cercano,-,-,-,-,-
Non lavorano ma cercano,-,-,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-,-,-
Esperienze di lavoro post-laurea (%),,,,,
Non lavorano ma hanno lavorato dopo la laurea,"13,1","17,1","13,3","12,1","10,5"
Non hanno mai lavorato dopo la laurea,"35,0","32,6","38,5","21,7","41,2"
Tasso di occupazione,,,,,
Uomini,"61,3","50,1","58,8","76,4","59,9"
Donne,"59,4","54,8","54,7","79,5","54,7"
Totale,"60,2","53,9","56,3","78,3","57,8"
Tasso di disoccupazione,"11,0","16,6","13,5","6,3","7,4"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di occupati,0,0,0,0,0
Occupati: condizione occupazionale alla laurea (%),,,,,
Proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Non proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Hanno iniziato a lavorare dopo la laurea,-,-,-,-,-
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,-,-,-,-,-
Tempo dall'inizio della ricerca al reperimento del primo lavoro,-,-,-,-,-
Tempo dalla laurea al reperimento del primo lavoro,-,-,-,-,-

5. Caratteristiche dell'attuale lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Professione svolta (%),,,,,
"Imprenditori, legislatori e alta dirigenza",-,-,-,-,-
"Professioni intellettuali, scientifiche e di elevata specializzazione",-,-,-,-,-
Professioni tecniche,-,-,-,-,-
Professioni esecutive nel lavoro d'ufficio,-,-,-,-,-
Altre professioni,-,-,-,-,-
Tipologia dell'attività lavorativa (%),,,,,
Attività in proprio,-,-,-,-,-
Tempo indeterminato,-,-,-,-,-
Tempo determinato,-,-,-,-,-
Assegno di ricerca,-,-,-,-,-
Contratti formativi,-,-,-,-,-
Altre forme contrattuali,-,-,-,-,-
Senza contratto,-,-,-,-,-
Diffusione dello smart working (%),-,-,-,-,-
Diffusione del part-time (%),-,-,-,-,-
Numero di ore settimanali di lavoro (medie),-,-,-,-,-

6. Caratteristiche dell'impresa
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Settore di attività (%),,,,,
Pubblico,-,-,-,-,-
Privato,-,-,-,-,-
Non profit,-,-,-,-,-
Ramo di attività economica (%),,,,,
Agricoltura,-,-,-,-,-
Metalmeccanica e meccanica di precisione,-,-,-,-,-
Edilizia,-,-,-,-,-
Chimica/Energia,-,-,-,-,-
Altra industria manifatturiera,-,-,-,-,-
Totale industria,-,-,-,-,-
Commercio,-,-,-,-,-
"Credito, assicurazioni",-,-,-,-,-
"Trasporti, pubblicità, comunicazioni",-,-,-,-,-
Consulenze varie,-,-,-,-,-
Informatica,-,-,-,-,-
Altri servizi alle imprese,-,-,-,-,-
"Pubblica amministrazione, forze armate",-,-,-,-,-
Istruzione e ricerca,-,-,-,-,-
Sanità,-,-,-,-,-
Altri servizi,-,-,-,-,-
Totale servizi,-,-,-,-,-
Area geografica di lavoro (%),,,,,
Nord-Ovest,-,-,-,-,-
Nord-Est,-,-,-,-,-
Centro,-,-,-,-,-
Sud,-,-,-,-,-
Isole,-,-,-,-,-
Estero,-,-,-,-,-

7. Retribuzione
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
"Retribuzione mensile netta (medie, in euro)",,,,,
Uomini,-,-,-,-,-
Donne,-,-,-,-,-
Totale,-,-,-,-,-

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),-,-,-,-,-
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,,
Dal punto di vista economico,-,-,-,-,-
Nella posizione lavorativa,-,-,-,-,-
Nelle mansioni svolte,-,-,-,-,-
Nelle competenze professionali,-,-,-,-,-
Sotto altri punti di vista,-,-,-,-,-
Utilizzo delle competenze acquisite con la laurea (%),,,,,
In misura elevata,-,-,-,-,-
In misura ridotta,-,-,-,-,-
Per niente,-,-,-,-,-
Adeguatezza della formazione professionale acquisita all'università (%),,,,,
Molto adeguata,-,-,-,-,-
Poco adeguata,-,-,-,-,-
Per niente adeguata,-,-,-,-,-
Richiesta della laurea per l'attività lavorativa (%),,,,,
Richiesta per legge,-,-,-,-,-
Non richiesta ma necessaria,-,-,-,-,-
Non richiesta ma utile,-,-,-,-,-
Non richiesta né utile,-,-,-,-,-

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Efficacia della laurea nel lavoro svolto (%),,,,,
Molto efficace/Efficace,-,-,-,-,-
Abbastanza efficace,-,-,-,-,-
Poco/Per nulla efficace,-,-,-,-,-
"Soddisfazione per il lavoro svolto (medie, scala 1-10)",-,-,-,-,-
Occupati che cercano lavoro (%),-,-,-,-,-

3. Condizione occupazionale
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Tasso di occupazione,,,,,
Uomini,"61,3","50,1","58,8","76,4","59,9"
Donne,"59,4","54,8","54,7","79,5","54,7"
Totale,"60,2","53,9","56,3","78,3","57,8"
Laureati che non lavoravano alla laurea: tasso di occupazione,"51,6","40,8","44,2","75,9","50,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)","24,9","25,0","26,4","10,0","32,5"
Esperienze di lavoro post-laurea (%),,,,,
Non lavorano ma hanno lavorato dopo la laurea,"12,0","16,8","12,8","8,4","9,7"
Non hanno mai lavorato dopo la laurea,"27,8","29,3","30,9","13,2","32,5"
Tasso di disoccupazione,"11,0","16,6","13,5","6,3","7,4"
Ricerca del lavoro (%),,,,,
Non lavorano e non cercano,"29,3","31,2","31,0","14,8","35,4"
Non lavorano ma cercano,"10,5","14,9","12,7","6,9","6,8"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di occupati,120.299,22.272,37.660,28.132,32.235
Occupati: condizione occupazionale alla laurea (%),,,,,
Proseguono il lavoro iniziato prima della laurea,"26,3","32,2","32,7","18,1","22,0"
Non proseguono il lavoro iniziato prima della laurea,"16,7","21,6","18,3","13,5","14,1"
Hanno iniziato a lavorare dopo la laurea,"57,0","46,2","49,0","68,4","63,9"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,"0,9","1,0","1,0","0,7","0,7"
Tempo dall'inizio della ricerca al reperimento del primo lavoro,"2,4","2,8","2,6","2,2","2,2"
Tempo dalla laurea al reperimento del primo lavoro,"3,3","3,8","3,6","2,9","2,8"

5. Caratteristiche dell'attuale lavoro
