1. Popolazione analizzata
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Numero di laureati,132.020,34.798,97.222
Numero di intervistati,79.945,21.346,58.599
Tasso di risposta sul totale dei laureati,"60,6","61,3","60,3"
Tasso di risposta sui laureati contattabili,"67,0","66,0","67,3"
Genere (%),,,
Uomini,"40,7","33,0","43,4"
Donne,"59,3","67,0","56,6"
"Età alla laurea (medie, in anni)","27,2","27,1","27,3"
"Voto di laurea (medie, in 110-mi)","107,2","105,5","107,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","3,9","6,9","2,8"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","1,8","2,6","1,7"
Indice di ritardo (sui laureati in atenei non telematici),"0,36","0,30","0,39"
Indice di ritardo (sui laureati in atenei telematici),"-0,20","-0,49","-0,15"

2b. Formazione post-laurea
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"59,5","74,0","54,2"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,
Collaborazione volontaria,"5,6","6,6","5,3"
Tirocinio/praticantato,"13,0","25,1","8,6"
Scuola di specializzazione,"13,3","33,8","5,9"
Master universitario di primo livello,"6,1","4,8","6,6"
Altro tipo di master,"6,7","6,2","6,9"
Stage in azienda,"19,3","11,4","22,1"
Corso di formazione professionale,"3,0","3,3","2,9"
Attività sostenuta da borsa di studio,"4,6","3,6","4,9"

3. Condizione occupazionale
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Condizione occupazionale (%),,,
Lavorano,-,-,-
Non lavorano e non cercano,-,-,-
Non lavorano ma cercano,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-
Esperienze di lavoro post-laurea (%),,,
Non lavorano ma hanno lavorato dopo la laurea,"11,8","17,1","9,9"
Non hanno mai lavorato dopo la laurea,"12,9","20,5","10,1"
Tasso di occupazione,,,
Uomini,"91,8","90,6","92,1"
Donne,"87,5","87,6","87,4"
Totale,"89,3","88,6","89,5"
Tasso di disoccupazione,"4,5","4,1","4,7"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Numero di occupati,0,0,0
Occupati: condizione occupazionale alla laurea (%),,,
Proseguono il lavoro iniziato prima della laurea,-,-,-
Non proseguono il lavoro iniziato prima della laurea,-,-,-
Hanno iniziato a lavorare dopo la laurea,-,-,-
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,-,-,-
