Anno,Regione,Numero rapporti,Percentuale numero rapporti
2010,Piemonte,728.0,0.4891
2010,Valle d'Aosta/Vallée d'Aoste,108.0,0.0726
2010,Liguria,103.0,0.0692
2010,Lombardia,1997.0,1.3418
2010,Trentino-Alto-Adige,2229.0,1.4977
2010,Veneto,5819.0,3.9098
2010,Friuli-Venezia Giulia,485.0,0.3259
2010,Emilia-Romagna,4257.0,2.8603
2010,Toscana,683.0,0.4589
2010,Umbria,331.0,0.2224
2010,Marche,1207.0,0.811
2010,Lazio,470.0,0.3158
2010,Abruzzo,667.0,0.4482
2010,Molise,327.0,0.2197
2010,Campania,164.0,0.1102
2010,Puglia,532.0,0.3575
2010,Basilicata,103.0,0.0692
2010,Calabria,111.0,0.0746
2010,Sicilia,424.0,0.2849
2010,Sardegna,395.0,0.2654
2011,Piemonte,782.0,0.5254
2011,Valle d'Aosta/Vallée d'Aoste,106.0,0.0712
2011,Liguria,101.0,0.0679
2011,Lombardia,2020.0,1.3572
2011,Trentino-Alto-Adige,2253.0,1.5138
2011,Veneto,5834.0,3.9199
2011,Friuli-Venezia Giulia,464.0,0.3118
2011,Emilia-Romagna,4210.0,2.8287
2011,Toscana,724.0,0.4865
2011,Umbria,353.0,0.2372
2011,Marche,1168.0,0.7848
2011,Lazio,617.0,0.4146
2011,Abruzzo,692.0,0.465
2011,Molise,334.0,0.2244
2011,Campania,133.0,0.0894
2011,Puglia,523.0,0.3514
2011,Basilicata,68.0,0.0457
2011,Calabria,130.0,0.0873
2011,Sicilia,344.0,0.2311
2011,Sardegna,430.0,0.2889
2012,Piemonte,741.0,0.4979
2012,Valle d'Aosta/Vallée d'Aoste,106.0,0.0712
2012,Liguria,96.0,0.0645
2012,Lombardia,1971.0,1.3243
2012,Trentino-Alto-Adige,2259.0,1.5178
2012,Veneto,6053.0,4.067
2012,Friuli-Venezia Giulia,463.0,0.3111
2012,Emilia-Romagna,4330.0,2.9093
2012,Toscana,775.0,0.5207
2012,Umbria,325.0,0.2184
2012,Marche,1172.0,0.7875
2012,Lazio,629.0,0.4226
2012,Abruzzo,722.0,0.4851
2012,Molise,294.0,0.1975
2012,Campania,173.0,0.1162
2012,Puglia,525.0,0.3527
2012,Basilicata,57.0,0.0383
2012,Calabria,152.0,0.1021
2012,Sicilia,331.0,0.2224
2012,Sardegna,423.0,0.2842
2013,Piemonte,816.0,0.5483
2013,Valle d'Aosta/Vallée d'Aoste,106.0,0.0712
2013,Liguria,96.0,0.0645
2013,Lombardia,1940.0,1.3035
2013,Trentino-Alto-Adige,2309.0,1.5514
2013,Veneto,5952.0,3.9992
2013,Friuli-Venezia Giulia,449.0,0.3017
2013,Emilia-Romagna,4519.0,3.0363
2013,Toscana,738.0,0.4959
2013,Umbria,338.0,0.2271
2013,Marche,1140.0,0.766
2013,Lazio,667.0,0.4482
2013,Abruzzo,737.0,0.4952
2013,Molise,51.0,0.0343
2013,Campania,152.0,0.1021
2013,Puglia,442.0,0.297
2013,Basilicata,61.0,0.041
2013,Calabria,81.0,0.0544
2013,Sicilia,287.0,0.1928
2013,Sardegna,412.0,0.2768
2014,Piemonte,817.0,0.5489
2014,Valle d'Aosta/Vallée d'Aoste,103.0,0.0692
2014,Liguria,100.0,0.0672
2014,Lombardia,1981.0,1.331
2014,Trentino-Alto-Adige,2323.0,1.5608
2014,Veneto,5943.0,3.9931
2014,Friuli-Venezia Giulia,402.0,0.2701
2014,Emilia-Romagna,4460.0,2.9967
2014,Toscana,738.0,0.4959
2014,Umbria,341.0,0.2291
2014,Marche,1168.0,0.7848
2014,Lazio,707.0,0.475
2014,Abruzzo,760.0,0.5106
2014,Molise,55.0,0.037
2014,Campania,157.0,0.1055
2014,Puglia,527.0,0.3541
2014,Basilicata,79.0,0.0531
2014,Calabria,178.0,0.1196
2014,Sicilia,250.0,0.168
2014,Sardegna,419.0,0.2815
2015,Piemonte,764.0,0.5133
2015,Valle d'Aosta/Vallée d'Aoste,100.0,0.0672
2015,Liguria,100.0,0.0672
2015,Lombardia,1970.0,1.3236
2015,Trentino-Alto-Adige,2342.0,1.5736
2015,Veneto,6061.0,4.0724
2015,Friuli-Venezia Giulia,292.0,0.1962
2015,Emilia-Romagna,4414.0,2.9658
2015,Toscana,669.0,0.4495
2015,Umbria,323.0,0.217
2015,Marche,1115.0,0.7492
2015,Lazio,549.0,0.3689
2015,Abruzzo,737.0,0.4952
2015,Molise,58.0,0.039
2015,Campania,151.0,0.1015
2015,Puglia,482.0,0.3239
2015,Basilicata,109.0,0.0732
2015,Calabria,178.0,0.1196
2015,Sicilia,262.0,0.176
2015,Sardegna,585.0,0.3931
2016,Piemonte,727.0,0.4885
2016,Valle d'Aosta/Vallée d'Aoste,97.0,0.0652
2016,Liguria,98.0,0.0658
2016,Lombardia,1949.0,1.3095
2016,Trentino-Alto-Adige,2337.0,1.5702
2016,Veneto,6152.0,4.1335
2016,Friuli-Venezia Giulia,288.0,0.1935
2016,Emilia-Romagna,4091.0,2.7488
2016,Toscana,656.0,0.4408
2016,Umbria,321.0,0.2157
2016,Marche,1103.0,0.7411
2016,Lazio,544.0,0.3655
2016,Abruzzo,679.0,0.4562
2016,Molise,49.0,0.0329
2016,Campania,143.0,0.0961
2016,Puglia,452.0,0.3037
2016,Basilicata,83.0,0.0558
2016,Calabria,136.0,0.0914
2016,Sicilia,262.0,0.176
2016,Sardegna,579.0,0.389
