Ripartizione_geografica;WLE_200_mean;ES;WLE_200_sd;ES_SD;Percentile5;Percentile25;Percentile75;Percentile95;GRADO;MATERIA;Ordinatore;FASCIA_1;FASCIA_2;FASCIA_3;FASCIA_4;FASCIA_5;FASCIA_6;LIVELLO_1;LIVELLO_2;LIVELLO_3;LIVELLO_4;LIVELLO_5;Significatività;Perc._Devianza_tra_scuole_su_Devianza_Totale;Perc._Devianza_tra_classi_su_Devianza_Totale;Perc._Devianza_dentro_le_classi_su_Devianza_Totale;Anno_new
Abruzzo;204,274525732029;4,47912134161596;46,5869766354115;2,13903546828159;133,285523239776;171,182531666168;231,880005773054;295,528819517018;5;Inglese L;18; ; ; ; ; ; ;16,4047033163225;83,5952966836777; ; ; ;NS; ; ; ;2022-2023
Abruzzo;205,674147947288;3,03183852093265;45,1572910732639;1,42062729217852;135,205270706371;173,073753925461;236,739326836468;272,914263538993;5;Inglese R;18; ; ; ; ; ; ;9,65679641034259;90,3432035896577; ; ; ;NS; ; ; ;2022-2023
Abruzzo;196,541229917861;5,40028811811748;39,8288889294095;2,43102369599563;131,222096205093;171,064638201876;222,491637299499;261,782141826912;10;Italiano;18; ; ; ; ; ; ;14,4201841882798;24,1843878725285;28,315224768914;23,1647637478812;9,91543942239629;NS; ; ; ;2022-2023
Abruzzo;192,939260359245;5,10781383130971;31,7700074254776;2,07268551961174;144,601224343322;172,116824292793;214,072819866665;250,117353752489;10 Altri licei;Italiano;18; ; ; ; ; ; ;10,1149061775248;34,3479865064305;31,6690385831752;18,7895319418089;5,0785367910605;NS; ; ; ;2022-2023
Abruzzo;147,231295827075;,655467434812529;31,1288929971197;,301392812249244;93,5248320235515;131,222096205093;167,409975163374;194,548231138164;10 Istituti professionali;Italiano;18; ; ; ; ; ; ;58,4126984126985;30;9,36507936507937;2,22222222222222;0;S-; ; ; ;2022-2023
Abruzzo;187,629799376772;4,51983863900968;32,825015097981;1,89049046239559;144,601224343322;163,659433887239;208,969793832478;249,934698362459;10 Istituti tecnici;Italiano;18; ; ; ; ; ; ;15,6390734588409;33,4509966777408;30,0184569952012;15,8813215208564;5,01015134736065;NS; ; ; ;2022-2023
Abruzzo;216,501894094632;4,78254876253813;35,3864360779674;1,93351243386263;155,347877248867;196,559273652833;237,342915965248;277,183567474809;10 Licei scientifici classici e linguistici;Italiano;18; ; ; ; ; ; ;4,22949149150177;12,3116493693594;30,5736430374113;35,1824687897417;17,7027473119855;NS; ; ; ;2022-2023
Abruzzo;200,61385094613;2,29065310454183;45,8641176125476;1,0952553637878;128,664104148543;167,583629123734;228,335063546044;280,211389019987;2;Italiano;18;7,04674124333907;18,1730173053122;24,7271371859225;19,9099108897414;24,2023093322341;5,94088404345046; ; ; ; ; ;S+; ; ; ;2022-2023
Abruzzo;202,085748647747;2,26958485810857;39,8210187619511;1,00747612907209;132,441529096883;176,141773680555;223,996213634299;269,227197544947;5;Italiano;18;5,63727420809175;14,150459342504;30,6635914094327;29,3652332206;14,5560796762164;5,62736214315395; ; ; ; ; ;S+; ; ; ;2022-2023
Abruzzo;199,760855851668;6,39171091615454;37,8277808958323;2,78142505169557;150,993526695491;171,372705561683;223,963256430209;275,898729669229;10;Matematica;18; ; ; ; ; ; ;16,0114441358207;29,3448799800051;21,3576635731672;16,3957881348924;16,8902241761147;NS; ; ; ;2022-2023
Abruzzo;183,723754142895;4,48656112603193;25,6861755593045;1,67757002229783;149,178652530887;166,5687862544;197,584227694117;228,058007930633;10 Altri licei;Matematica;18; ; ; ; ; ; ;21,5806993357021;41,1336887097344;25,7192148194359;8,68856143872789;2,87783569639978;NS; ; ; ;2022-2023
Abruzzo;164,323608213284;1,54452052839324;16,8719526095145;,494910168605358;139,425089947465;155,972001492441;178,671266751729;185,979582770771;10 Istituti professionali;Matematica;18; ; ; ; ; ; ;51,1525511525512;43,9091772425106;4,93827160493827;0;0;NS; ; ; ;2022-2023
