Informazioni sulla variabile;;;
Variabile;Posizione;Etichetta;Livello di misurazione
Ripartizione_geografica;1;Denominazione della regione, Area geografica e della nazione;Nominale
Ordinatore;2;Numero progressivo che permette di ordinare aree geografiche e regioni all'interno del grado scolastico, della materia e dell'anno scolastico;Scala
Significatività_18vs19;3;Significatività della differenza tra la percentuale di studenti che raggiungono i traguardi nazionali nel 2018 e nel 2019;Nominale
Significatività_19vs21;4;Significatività della differenza tra la percentuale di studenti che raggiungono i traguardi nazionali nel 2019 e nel 2021;Nominale
Significatività_21vs22;5;Significatività della differenza tra la percentuale di studenti che raggiungono i traguardi nazionali nel 2021 e nel 2022;Nominale
Significatività_19vs22;6;Significatività della differenza tra la percentuale di studenti che raggiungono i traguardi nazionali nel 2019 e nel 2022;Nominale
Significatività_22vs23;7;Significatività della differenza tra la percentuale di studenti che raggiungono i traguardi nazionali nel 2022 e nel 2023;Nominale
Grado;8;Grado scolastico;Nominale
Materia;9;Materia;Nominale
Anno_new;10;Anno scolastico;Nominale
VALORI;11;Percentuale di studenti che raggiungono o meno i traguardi nazionali;Scala
LIVELLO_SUFF;12;Raggiungimento o meno dei traguardi nazionali;Nominale
;;;
Valori di variabile;;;
Variabile;Valore;Etichetta;
Grado;Grado 10;Seconda Secondaria di Secondo Grado;
;Grado 2;Seconda Primaria;
;Grado 5;Quinta Primaria;
LIVELLO_SUFF;NON raggiungono il traguardo;"Per Inglese L ed R corrisponde al ""Pre-A1"" al grado 5,""Pre-A1"" e ""A1"" al grado 8 e ""Non raggiunge B1"" e ""B1"" al grado 13";
;Non sufficienza;Per Italiano e Matematica corrisponde ai Livelli 1-2, ai gradi 2 e 5 corrisponde alle Fasce 1-2;
;Raggiungono il traguardo;"Per Inglese L e Inglese R corrisponde a ""A1"" al grado 5, ""A2"" al grado 8 e ""B2"" al grado 13";
;Sufficienza;Per Italiano e Matematica corrisponde ai Livelli 3-4-5, ai gradi 2 e 5 corrisponde alle Fasce 3-4-5-6;
