GRADO;MATERIA;Anno_scolastico;WLE_MASCHI;WLE_FEMMINE;WLE_NATIVO;WLE_ST_PRIMA_GEN;WLE_ST_SECONDA_GEN;WLE_ESCS_Q01;WLE_ESCS_Q02;WLE_ESCS_Q03;WLE_ESCS_Q04
G08;INGLESE Listening;2023-2024;211,49204117947;216,718067173614;213,666686551393;209,316709390599;223,234004215812;206,412770368298;213,920798117146;219,282597887203;228,891951690339
G08;INGLESE Reading;2023-2024;210,735080013294;217,335797823475;214,744387448972;201,827187098293;215,903330511117;206,424568324723;214,667307353005;220,427961591617;229,675680307418
G08;ITALIANO;2023-2024;190,241264883085;198,980972828871;198,309736456153;160,424073191689;180,472220120721;183,948829661433;194,133487531011;201,922121485706;212,392456618412
G08;MATEMATICA;2023-2024;197,982638842346;192,320639888543;197,721285497382;172,872233466471;187,432263103436;185,013034703843;194,920582226919;201,848838506828;211,888142885689
G13 - Altri Licei;INGLESE Listening;2023-2024;205,104090371541;205,278403807172; ; ; ; ; ; ; 
G13 - Altri Licei;INGLESE Reading;2023-2024;197,55380025639;200,492942528208; ; ; ; ; ; ; 
G13 - Altri Licei;ITALIANO;2023-2024;182,957235264473;190,669949463869; ; ; ; ; ; ; 
G13 - Altri Licei;MATEMATICA;2023-2024;190,339562971706;185,658274078464; ; ; ; ; ; ; 
G13 - Istituti Professionali;INGLESE Listening;2023-2024;176,819062267309;179,663481292726; ; ; ; ; ; ; 
G13 - Istituti Professionali;INGLESE Reading;2023-2024;173,97042854139;177,111657568236; ; ; ; ; ; ; 
G13 - Istituti Professionali;ITALIANO;2023-2024;154,443793112036;162,702813665126; ; ; ; ; ; ; 
G13 - Istituti Professionali;MATEMATICA;2023-2024;167,153147466107;160,297784527195; ; ; ; ; ; ; 
G13 - Istituti Tecnici;INGLESE Listening;2023-2024;198,65359426072;201,070929292212; ; ; ; ; ; ; 
G13 - Istituti Tecnici;INGLESE Reading;2023-2024;196,636205672787;198,553764984684; ; ; ; ; ; ; 
G13 - Istituti Tecnici;ITALIANO;2023-2024;174,340973239921;181,233061941337; ; ; ; ; ; ; 
G13 - Istituti Tecnici;MATEMATICA;2023-2024;191,988262782493;182,205778251176; ; ; ; ; ; ; 
G13 - Licei Scientifici;MATEMATICA;2023-2024;225,935786343647;220,053424950816; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;INGLESE Listening;2023-2024;230,538141738696;234,047503388593; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;INGLESE Reading;2023-2024;225,050520179093;228,665101016396; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;ITALIANO;2023-2024;208,091751942788;214,103721291516; ; ; ; ; ; ; 
