GRADO;MATERIA;WLE_MASCHI;WLE_FEMMINE;SIG_DIFF_GENERE;WLE_NATIVO;WLE_ST_PRIMA_GEN;WLE_ST_SECONDA_GEN;WLE_ESCS_Q01;WLE_ESCS_Q02;WLE_ESCS_Q03;WLE_ESCS_Q04;Anno_new
G02;ITALIANO;193,349148200898;197,705841101991;S;201,328059300215;163,768692154492;169,125920585028; ; ; ; ;2024-2025
G02;MATEMATICA;196,979717134289;189,078269368076;S;196,91741345259;175,384227215474;174,891791945143; ; ; ; ;2024-2025
G05;INGLESE Listening;213,977167691741;216,210802858828;NS;212,656817964317;218,696151205987;230,092644035522;206,45988407402;213,042467103625;217,883400459784;224,058661322938;2024-2025
G05;INGLESE Reading;209,106733982535;210,464117450946;NS;209,458225237703;203,326008932818;214,372475893098;199,004652865544;208,875308101653;212,372728824923;220,137628392643;2024-2025
G05;ITALIANO;196,502389554247;194,552563524539;NS;200,087053432512;163,726894021014;178,150171501191;178,308903205855;193,731540211387;200,97639467937;209,731558809713;2024-2025
G05;MATEMATICA;198,148551260423;184,821101958956;S;194,302848794688;169,30181897168;180,51110038569;176,585870392325;189,088167675522;195,598336910151;204,089710561443;2024-2025
G10;ITALIANO; ; ; ;198,723041307949;166,952965258665;185,905582343551;186,637399096872;196,767974500133;201,502663405854;212,037080142938;2024-2025
G10;MATEMATICA; ; ; ;197,549805888142;181,466167471028;189,809156375282;186,669459930877;197,248508015214;200,70469323942;209,917967587775;2024-2025
G10 - Altri licei;ITALIANO;192,918660585595;198,797803383655;NS; ; ; ; ; ; ; ;2024-2025
G10 - Altri licei;MATEMATICA;193,777908621538;188,782150557997;S; ; ; ; ; ; ; ;2024-2025
G10 - Istituti professionali;ITALIANO;157,870461770165;167,50202520773;S; ; ; ; ; ; ; ;2024-2025
G10 - Istituti professionali;MATEMATICA;166,162283167706;166,347463962319;NS; ; ; ; ; ; ; ;2024-2025
G10 - Istituti tecnici;ITALIANO;186,793354744808;187,692996321049;NS; ; ; ; ; ; ; ;2024-2025
G10 - Istituti tecnici;MATEMATICA;196,837428720571;186,989427314969;S; ; ; ; ; ; ; ;2024-2025
G10 - Licei scientifici;MATEMATICA;227,459653652658;221,809853939837;NS; ; ; ; ; ; ; ;2024-2025
G10 - Licei scientifici classici e linguistici;ITALIANO;214,400333953778;218,354581657234;NS; ; ; ; ; ; ; ;2024-2025
