DATAFLOW,FREQ,ETA_INTERVISTA,CORSI_FORMPROF_DIPL,ISTRUZ_TERZ_NONUNIV,ISTRUZ_UNIV,ITTER107,NATGIUR_SCUOLA,SESSO,TIPO_DATO,TIPO_SCUOLA,TITOLO_STUDIO_PADRE,TITOLO_STUDIO_MADRE,CITTADINANZA,SITUAZ_ABIT,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,IT,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,166926,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,IT,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,37.5,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,35262,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,34.8,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10099,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,36.1,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,235,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.2,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,3502,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.6,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,21426,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITC4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,25889,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,844,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,28.4,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1239,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,34.5,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10378,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,31.8,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,2764,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,36.1,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD5,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10663,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITD5,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,35.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,38414,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,41.9,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,11492,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,43.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,2407,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,40.4,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,3830,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.9,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,20685,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITE4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,43,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,47557,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,4925,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,44.9,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1072,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,23005,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.5,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,9781,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,32.3,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF5,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1379,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF5,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,32.9,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF6,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,7395,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITF6,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.7,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,19804,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,39.4,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,15492,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.6,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,4312,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITG2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.8,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITS,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1331,,,,,,,,,
IT1:613_934(1.1),A,TOTAL,ALL,ALL,ACHI,ITS,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,23.3,,,,,,,,,
