freq,gruppo_laurea,att_eco,condizione_dich3_occ,anno_conseg_laurea,itter107,isco3d,tipo_occ,tipo_laurea,settore_impiego,sesso,richiesta_laurea,utilita_laurea,tipo_dato,time_period,obs_value,year
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,542.0,2015
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,10.6,2015
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,291.0,2015
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,9.5,2015
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,833.0,2015
A,1,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,10.2,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,3570.0,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,69.9,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,2456.0,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,80.1,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,6026.0,2015
A,1,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,73.7,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,483.0,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,9.5,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,203.0,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,6.6,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,686.0,2015
A,1,0010,B1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,8.4,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,513.0,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,10.0,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,118.0,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,3.8,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,631.0,2015
A,1,0010,B2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,7.7,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,1,9,9,INC,2015,1400.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,1,9,9,INC_AC,2015,1400.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,2,9,9,INC,2015,1283.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,2,9,9,INC_AC,2015,1283.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,INC,2015,1400.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,INC_AC,2015,1342.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,5107.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,100.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,WORK_NS,2015,3012.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,WORK_O,2015,100.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,1,9,9,INC,2015,1528.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,1,9,9,INC_AC,2015,1517.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,2,9,9,INC,2015,1417.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,2,9,9,INC_AC,2015,1408.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,INC,2015,1517.0,2015
A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,INC_AC,2015,1500.0,2015
