freq,eta_intervista,corsi_formprof_dipl,istruz_terz_nonuniv,istruz_univ,itter107,natgiur_scuola,sesso,tipo_dato,tipo_scuola,titolo_studio_padre,titolo_studio_madre,cittadinanza,situaz_abit,time_period,obs_value,year
A,TOTAL,ALL,ALL,ACHI,IT,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,166926.0,2015
A,TOTAL,ALL,ALL,ACHI,IT,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,37.5,2015
A,TOTAL,ALL,ALL,ACHI,ITC,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,35262.0,2015
A,TOTAL,ALL,ALL,ACHI,ITC,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,34.8,2015
A,TOTAL,ALL,ALL,ACHI,ITC1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10099.0,2015
A,TOTAL,ALL,ALL,ACHI,ITC1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,36.1,2015
A,TOTAL,ALL,ALL,ACHI,ITC2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,235.0,2015
A,TOTAL,ALL,ALL,ACHI,ITC2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.2,2015
A,TOTAL,ALL,ALL,ACHI,ITC3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,3502.0,2015
A,TOTAL,ALL,ALL,ACHI,ITC3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.6,2015
A,TOTAL,ALL,ALL,ACHI,ITC4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,21426.0,2015
A,TOTAL,ALL,ALL,ACHI,ITC4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.7,2015
A,TOTAL,ALL,ALL,ACHI,ITD,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,25889.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.7,2015
A,TOTAL,ALL,ALL,ACHI,ITD1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,844.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,28.4,2015
A,TOTAL,ALL,ALL,ACHI,ITD2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1239.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,34.5,2015
