freq,att_eco,condizione_dich3_occ,professione_cp2011,itter107,ore_sett_lavoro,tipo_occ,settore_impiego,sesso,rich_dipl_lavoro,utilita_dipl_lavoro,tipo_dato,tipo_scuola,time_period,obs_value,year
A,0010,A1_P,ALL,IT,TOT,9,9,9,9,9,GRAD,ALL,2015,193086.0,2015
A,0010,A1_P,ALL,IT,TOT,9,9,9,9,9,GRAD_P,ALL,2015,43.4,2015
A,0010,A1_P,ALL,ITC,TOT,9,9,9,9,9,GRAD,ALL,2015,49929.0,2015
A,0010,A1_P,ALL,ITC,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.3,2015
A,0010,A1_P,ALL,ITC1,TOT,9,9,9,9,9,GRAD,ALL,2015,13718.0,2015
A,0010,A1_P,ALL,ITC1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.1,2015
A,0010,A1_P,ALL,ITC2,TOT,9,9,9,9,9,GRAD,ALL,2015,316.0,2015
A,0010,A1_P,ALL,ITC2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,51.4,2015
A,0010,A1_P,ALL,ITC3,TOT,9,9,9,9,9,GRAD,ALL,2015,4368.0,2015
A,0010,A1_P,ALL,ITC3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,48.1,2015
A,0010,A1_P,ALL,ITC4,TOT,9,9,9,9,9,GRAD,ALL,2015,31527.0,2015
A,0010,A1_P,ALL,ITC4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.5,2015
A,0010,A1_P,ALL,ITD,TOT,9,9,9,9,9,GRAD,ALL,2015,39720.0,2015
A,0010,A1_P,ALL,ITD,TOT,9,9,9,9,9,GRAD_P,ALL,2015,51.7,2015
A,0010,A1_P,ALL,ITD1,TOT,9,9,9,9,9,GRAD,ALL,2015,1935.0,2015
A,0010,A1_P,ALL,ITD1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,65.0,2015
A,0010,A1_P,ALL,ITD2,TOT,9,9,9,9,9,GRAD,ALL,2015,1710.0,2015
A,0010,A1_P,ALL,ITD2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,47.6,2015
A,0010,A1_P,ALL,ITD3,TOT,9,9,9,9,9,GRAD,ALL,2015,17782.0,2015
A,0010,A1_P,ALL,ITD3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,54.5,2015
A,0010,A1_P,ALL,ITD4,TOT,9,9,9,9,9,GRAD,ALL,2015,3815.0,2015
A,0010,A1_P,ALL,ITD4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.9,2015
A,0010,A1_P,ALL,ITD5,TOT,9,9,9,9,9,GRAD,ALL,2015,14479.0,2015
A,0010,A1_P,ALL,ITD5,TOT,9,9,9,9,9,GRAD_P,ALL,2015,48.4,2015
A,0010,A1_P,ALL,ITDA,TOT,9,9,9,9,9,GRAD,ALL,2015,3645.0,2015
A,0010,A1_P,ALL,ITDA,TOT,9,9,9,9,9,GRAD_P,ALL,2015,55.5,2015
A,0010,A1_P,ALL,ITE,TOT,9,9,9,9,9,GRAD,ALL,2015,38837.0,2015
A,0010,A1_P,ALL,ITE,TOT,9,9,9,9,9,GRAD_P,ALL,2015,42.4,2015
A,0010,A1_P,ALL,ITE1,TOT,9,9,9,9,9,GRAD,ALL,2015,11756.0,2015
A,0010,A1_P,ALL,ITE1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,44.7,2015
A,0010,A1_P,ALL,ITE2,TOT,9,9,9,9,9,GRAD,ALL,2015,2411.0,2015
A,0010,A1_P,ALL,ITE2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,40.5,2015
A,0010,A1_P,ALL,ITE3,TOT,9,9,9,9,9,GRAD,ALL,2015,5296.0,2015
A,0010,A1_P,ALL,ITE3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,46.8,2015
A,0010,A1_P,ALL,ITE4,TOT,9,9,9,9,9,GRAD,ALL,2015,19375.0,2015
A,0010,A1_P,ALL,ITE4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,40.3,2015
A,0010,A1_P,ALL,ITF,TOT,9,9,9,9,9,GRAD,ALL,2015,46461.0,2015
A,0010,A1_P,ALL,ITF,TOT,9,9,9,9,9,GRAD_P,ALL,2015,37.2,2015
A,0010,A1_P,ALL,ITF1,TOT,9,9,9,9,9,GRAD,ALL,2015,4034.0,2015
A,0010,A1_P,ALL,ITF1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,36.8,2015
A,0010,A1_P,ALL,ITF2,TOT,9,9,9,9,9,GRAD,ALL,2015,826.0,2015
A,0010,A1_P,ALL,ITF2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,32.9,2015
A,0010,A1_P,ALL,ITF3,TOT,9,9,9,9,9,GRAD,ALL,2015,22594.0,2015
A,0010,A1_P,ALL,ITF3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,37.8,2015
A,0010,A1_P,ALL,ITF4,TOT,9,9,9,9,9,GRAD,ALL,2015,12265.0,2015
A,0010,A1_P,ALL,ITF4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,40.5,2015
A,0010,A1_P,ALL,ITF5,TOT,9,9,9,9,9,GRAD,ALL,2015,1630.0,2015
A,0010,A1_P,ALL,ITF5,TOT,9,9,9,9,9,GRAD_P,ALL,2015,38.8,2015
A,0010,A1_P,ALL,ITF6,TOT,9,9,9,9,9,GRAD,ALL,2015,5112.0,2015
A,0010,A1_P,ALL,ITF6,TOT,9,9,9,9,9,GRAD_P,ALL,2015,29.5,2015
A,0010,A1_P,ALL,ITG,TOT,9,9,9,9,9,GRAD,ALL,2015,18138.0,2015
A,0010,A1_P,ALL,ITG,TOT,9,9,9,9,9,GRAD_P,ALL,2015,36.1,2015
A,0010,A1_P,ALL,ITG1,TOT,9,9,9,9,9,GRAD,ALL,2015,14447.0,2015
A,0010,A1_P,ALL,ITG1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,36.0,2015
A,0010,A1_P,ALL,ITG2,TOT,9,9,9,9,9,GRAD,ALL,2015,3691.0,2015
A,0010,A1_P,ALL,ITG2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,36.6,2015
A,0010,A1_P,ALL,ITS,TOT,9,9,9,9,9,GRAD,ALL,2015,2945.0,2015
A,0010,A1_P,ALL,ITS,TOT,9,9,9,9,9,GRAD_P,ALL,2015,51.5,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,1,9,9,GRAD,ALL,2015,102284.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,1,9,9,GRAD_P,ALL,2015,46.8,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,2,9,9,GRAD,ALL,2015,93746.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,2,9,9,GRAD_P,ALL,2015,40.4,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,AER_NAU,2015,1778.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,AGR_ENV,2015,2074.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,AGRI,2015,3281.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,ALL,2015,196030.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,ART,2015,3242.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,ARTI,2015,3721.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,CLA,2015,9672.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,COM_TOU,2015,10770.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,COMM,2015,34680.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,EDU,2015,6963.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,HOT,2015,11319.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,IND,2015,13631.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,INDU,2015,24007.0,2015
A,0010,A1_P,ALL,ITTOT,TOT,9,9,9,9,9,GRAD,LIC,2015,51078.0,2015
