freq,ref_area,ind_type,measure,tipo_spesa,time_period,obs_value,unit,year
A,IT,SPESA_EFF_ABB,15,001,2010,124.75,EUR,2010
A,IT,SPESA_EFF_ABB,15,001,2011,118.74,EUR,2011
A,IT,SPESA_EFF_ABB,15,002,2010,123.35,EUR,2010
A,IT,SPESA_EFF_ABB,15,002,2011,118.52,EUR,2011
A,IT,SPESA_EFF_ABB,15,003,2010,110.24,EUR,2010
A,IT,SPESA_EFF_ABB,15,003,2011,104.92,EUR,2011
A,IT,SPESA_EFF_ABB,15,004,2010,80.88,EUR,2010
A,IT,SPESA_EFF_ABB,15,004,2011,81.39,EUR,2011
A,IT,SPESA_EFF_ABB,15,005,2010,75.6,EUR,2010
A,IT,SPESA_EFF_ABB,15,005,2011,75.44,EUR,2011
A,IT,SPESA_EFF_ABB,15,006,2010,62.29,EUR,2010
A,IT,SPESA_EFF_ABB,15,006,2011,65.5,EUR,2011
A,IT,SPESA_EFF_ABITAZ,15,038,2010,89.73,EUR,2010
A,IT,SPESA_EFF_ABITAZ,15,038,2011,86.52,EUR,2011
A,IT,SPESA_EFF_ABITAZ,15,039,2010,75.14,EUR,2010
A,IT,SPESA_EFF_ABITAZ,15,039,2011,71.34,EUR,2011
A,IT,SPESA_EFF_ABITAZ,15,040,2010,143.72,EUR,2010
A,IT,SPESA_EFF_ABITAZ,15,040,2011,143.91,EUR,2011
A,IT,SPESA_EFF_ABITAZ,15,041,2010,67.01,EUR,2010
A,IT,SPESA_EFF_ABITAZ,15,041,2011,65.38,EUR,2011
A,IT,SPESA_EFF_ABITAZ,15,042,2010,212.75,EUR,2010
A,IT,SPESA_EFF_ABITAZ,15,042,2011,209.36,EUR,2011
A,IT,SPESA_EFF_BENDUR,15,010,2010,504.62,EUR,2010
A,IT,SPESA_EFF_BENDUR,15,010,2011,502.4,EUR,2011
A,IT,SPESA_EFF_BENDUR,15,011,2010,170.39,EUR,2010
A,IT,SPESA_EFF_BENDUR,15,011,2011,143.72,EUR,2011
A,IT,SPESA_EFF_BENDUR,15,012,2010,129.65,EUR,2010
A,IT,SPESA_EFF_BENDUR,15,012,2011,145.36,EUR,2011
A,IT,SPESA_EFF_BENDUR,15,013,2010,1293.2,EUR,2010
A,IT,SPESA_EFF_BENDUR,15,013,2011,1183.13,EUR,2011
A,IT,SPESA_EFF_BENDUR,15,014,2010,523.33,EUR,2010
A,IT,SPESA_EFF_BENDUR,15,014,2011,550.55,EUR,2011
A,IT,SPESA_EFF_GIORN,15,007,2010,21.47,EUR,2010
A,IT,SPESA_EFF_GIORN,15,007,2011,21.34,EUR,2011
A,IT,SPESA_EFF_GIORN,15,008,2010,145.72,EUR,2010
A,IT,SPESA_EFF_GIORN,15,008,2011,149.7,EUR,2011
A,IT,SPESA_EFF_GIORN,15,009,2010,59.01,EUR,2010
A,IT,SPESA_EFF_GIORN,15,009,2011,59.11,EUR,2011
A,IT,SPESA_EFF_PASTI,15,027,2010,45.23,EUR,2010
A,IT,SPESA_EFF_PASTI,15,027,2011,45.63,EUR,2011
A,IT,SPESA_EFF_PASTI,15,028,2010,142.77,EUR,2010
A,IT,SPESA_EFF_PASTI,15,028,2011,147.62,EUR,2011
A,IT,SPESA_EFF_PASTI,15,029,2010,44.24,EUR,2010
A,IT,SPESA_EFF_PASTI,15,029,2011,42.78,EUR,2011
A,IT,SPESA_EFF_PASTI,15,030,2010,61.78,EUR,2010
A,IT,SPESA_EFF_PASTI,15,030,2011,70.47,EUR,2011
A,IT,SPESA_EFF_PASTI,15,043,2010,56.37,EUR,2010
A,IT,SPESA_EFF_PASTI,15,043,2011,58.27,EUR,2011
A,IT,SPESA_EFF_SANIT,15,031,2010,79.08,EUR,2010
A,IT,SPESA_EFF_SANIT,15,031,2011,81.74,EUR,2011
A,IT,SPESA_EFF_SANIT,15,032,2010,35.03,EUR,2010
A,IT,SPESA_EFF_SANIT,15,032,2011,33.56,EUR,2011
A,IT,SPESA_EFF_SANIT,15,033,2010,118.84,EUR,2010
A,IT,SPESA_EFF_SANIT,15,033,2011,121.53,EUR,2011
A,IT,SPESA_EFF_SANIT,15,034,2010,383.27,EUR,2010
A,IT,SPESA_EFF_SANIT,15,034,2011,374.01,EUR,2011
A,IT,SPESA_EFF_SANIT,15,035,2010,185.62,EUR,2010
A,IT,SPESA_EFF_SANIT,15,035,2011,161.49,EUR,2011
A,IT,SPESA_EFF_SANIT,15,036,2010,58.25,EUR,2010
A,IT,SPESA_EFF_SANIT,15,036,2011,61.2,EUR,2011
A,IT,SPESA_EFF_SANIT,15,037,2010,74.88,EUR,2010
A,IT,SPESA_EFF_SANIT,15,037,2011,76.0,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,015,2010,16123.23,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,015,2011,16450.12,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,016,2010,889.92,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,016,2011,918.48,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,017,2010,155.43,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,017,2011,165.01,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,018,2010,135.2,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,018,2011,147.3,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,019,2010,92.23,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,019,2011,83.83,EUR,2011
A,IT,SPESA_EFF_TRASPRIV,15,020,2010,26.91,EUR,2010
A,IT,SPESA_EFF_TRASPRIV,15,020,2011,27.48,EUR,2011
A,IT,SPESA_EFF_TRASPUBB,15,021,2010,46.39,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,021,2011,43.76,EUR,2011
A,IT,SPESA_EFF_TRASPUBB,15,022,2010,39.71,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,022,2011,42.35,EUR,2011
A,IT,SPESA_EFF_TRASPUBB,15,023,2010,70.14,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,023,2011,52.66,EUR,2011
