freq,classe_eta_pperc,voci_spesa,cond_prof_prev_pperc,itter107,sesso_pperc,tipologia_fam,tipo_dato,titolo_studio_pers_rif,misura1,num_comp_fam,fam_anz,fam_min,time_period,obs_value,year
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2010,7.8,2010
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2011,12.9,2011
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2012,9.7,2012
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2013,11.3,2013
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2014,11.3,2014
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2015,12.1,2015
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2016,8.6,2016
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2017,4.7,2017
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2018,3.4,2018
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2019,5.4,2019
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2020,4.0,2020
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2021,3.9,2021
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2022,3.2,2022
A,1,1,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2023,3.2,2023
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2010,12.2,2010
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2011,11.7,2011
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2012,10.3,2012
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2013,13.3,2013
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2014,13.0,2014
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2015,11.1,2015
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2016,10.0,2016
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2017,5.9,2017
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2018,5.5,2018
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2019,6.8,2019
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2020,4.5,2020
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2021,5.1,2021
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2022,3.2,2022
A,1,2,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2023,3.7,2023
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2010,21.8,2010
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2011,20.4,2011
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2012,16.6,2012
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2013,22.4,2013
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2014,19.3,2014
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2015,20.8,2015
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2016,15.1,2016
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2017,9.5,2017
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2018,8.0,2018
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2019,9.4,2019
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2020,7.1,2020
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2021,9.4,2021
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2022,6.5,2022
A,1,3,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2023,6.2,2023
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2010,5.3,2010
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2011,5.3,2011
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2012,4.8,2012
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2013,5.8,2013
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2014,5.8,2014
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2015,5.2,2015
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2016,3.9,2016
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2017,3.0,2017
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2018,2.0,2018
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2019,2.0,2019
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2021,3.0,2021
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2022,0.9,2022
A,1,4,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2023,1.9,2023
A,1,5,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2010,13.1,2010
A,1,5,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2011,11.6,2011
A,1,5,99,IT,9,99,FAM_NO_SOLDI,99,10,99,9,9,2012,11.2,2012
