freq,tipologia_fam,fam_anziani,fam_minori,tipo_dato,titolo_studio_pperc,classe_eta_pperc,cond_prof_prev_pperc,itter107,misura1,n_comp_fam,sesso_pperc,time_period,obs_value,year
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2010,61.6,2010
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2011,60.7,2011
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2012,67.4,2012
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2013,68.0,2013
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2014,69.7,2014
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2015,67.5,2015
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2016,68.5,2016
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2017,70.8,2017
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2018,58.9,2018
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2019,47.0,2019
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2020,34.9,2020
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2021,38.8,2021
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2022,42.4,2022
A,10,9,9,FAM_RISP,99,9,99,IT,10,99,9,2023,42.2,2023
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2010,28.1,2010
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2011,33.9,2011
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2012,34.6,2012
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2013,31.7,2013
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2014,28.9,2014
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2015,31.4,2015
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2016,38.5,2016
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2017,33.6,2017
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2018,28.9,2018
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2019,29.4,2019
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2020,26.5,2020
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2021,25.4,2021
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2022,28.9,2022
A,10,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2023,24.2,2023
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2010,67.6,2010
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2011,66.5,2011
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2012,72.3,2012
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2013,71.2,2013
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2014,72.4,2014
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2015,72.2,2015
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2016,66.2,2016
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2017,68.4,2017
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2018,61.7,2018
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2019,49.4,2019
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2020,38.6,2020
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2021,44.4,2021
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2022,41.0,2022
A,16,9,9,FAM_RISP,99,9,99,IT,10,99,9,2023,44.0,2023
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2010,33.4,2010
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2011,36.9,2011
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2012,43.7,2012
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2013,40.8,2013
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2014,38.8,2014
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2015,39.2,2015
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2016,38.5,2016
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2017,35.3,2017
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2018,32.2,2018
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2019,30.7,2019
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2020,30.7,2020
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2021,30.5,2021
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2022,31.1,2022
A,16,9,9,FAM_SPESE_IMPR,99,9,99,IT,10,99,9,2023,27.5,2023
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2010,65.5,2010
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2011,63.2,2011
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2012,70.2,2012
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2013,70.0,2013
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2014,70.8,2014
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2015,70.2,2015
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2016,69.3,2016
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2017,69.3,2017
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2018,60.7,2018
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2019,50.0,2019
A,17,9,9,FAM_RISP,99,9,99,IT,10,99,9,2020,39.0,2020
