file,slug,rows,cols,size_kb
istat_employment_by_education.csv,employment_by_education,1755315,12,107648.1
istat_graduates_job_search.csv,graduates_job_search,420,13,20.6
istat_graduates_occupational_status.csv,graduates_occupational_status,3349,17,217.3
istat_highschool_graduates_demographics.csv,highschool_graduates_demographics,1961,17,146.1
istat_highschool_graduates_employment.csv,highschool_graduates_employment,1462,16,91.3
istat_highschool_graduates_job_search.csv,highschool_graduates_job_search,285,11,13.1
istat_household_spending_avg.csv,household_spending_avg,48076,12,2634.9
istat_household_spending_detail.csv,household_spending_detail,448,9,22.3
istat_households_financial_difficulty.csv,households_financial_difficulty,4054,16,229.9
istat_labour_force.csv,labour_force,49485,10,2372.2
istat_neet.csv,neet,27487,13,1641.3
istat_phd_occupational_status.csv,phd_occupational_status,1752,17,105.8
istat_phd_wages.csv,phd_wages,1037,12,48.7
istat_poverty_absolute.csv,poverty_absolute,64,7,2.6
istat_poverty_relative.csv,poverty_relative,64,7,2.5
istat_poverty_social_exclusion_risk.csv,poverty_social_exclusion_risk,2678,18,200.1
istat_unemployment_rate.csv,unemployment_rate,82692,11,4794.6
istat_university_graduates.csv,university_graduates,14364,11,558.4
istat_university_indicators.csv,university_indicators,2673,9,105.8
