freq,areadidattica,terr_residenza,itter107,ore_sett_lav,tipo_occ,sesso,tipo_dato,anno_conseguimento_titolo,time_period,obs_value,year
A,17,ITTOT,IT,TOT,9,1,10,2008,2014,1875.0,2014
A,17,ITTOT,IT,TOT,9,1,10,2010,2014,1700.0,2014
A,17,ITTOT,IT,TOT,9,1,10,2012,2018,1950.0,2018
A,17,ITTOT,IT,TOT,9,1,10,2014,2018,1950.0,2018
A,17,ITTOT,IT,TOT,9,1,11,2008,2014,1950.0,2014
A,17,ITTOT,IT,TOT,9,1,11,2010,2014,1750.0,2014
A,17,ITTOT,IT,TOT,9,1,11,2012,2018,1950.0,2018
A,17,ITTOT,IT,TOT,9,1,11,2014,2018,1950.0,2018
A,17,ITTOT,IT,TOT,9,2,10,2008,2014,1517.0,2014
A,17,ITTOT,IT,TOT,9,2,10,2010,2014,1625.0,2014
A,17,ITTOT,IT,TOT,9,2,10,2012,2018,1625.0,2018
A,17,ITTOT,IT,TOT,9,2,10,2014,2018,1625.0,2018
A,17,ITTOT,IT,TOT,9,2,11,2008,2014,1571.0,2014
A,17,ITTOT,IT,TOT,9,2,11,2010,2014,1733.0,2014
A,17,ITTOT,IT,TOT,9,2,11,2012,2018,1625.0,2018
A,17,ITTOT,IT,TOT,9,2,11,2014,2018,1900.0,2018
A,17,ITTOT,IT,TOT,9,9,10,2008,2014,1759.0,2014
A,17,ITTOT,IT,TOT,9,9,10,2010,2014,1640.0,2014
A,17,ITTOT,IT,TOT,9,9,10,2012,2018,1900.0,2018
A,17,ITTOT,IT,TOT,9,9,10,2014,2018,1896.0,2018
A,17,ITTOT,IT,TOT,9,9,11,2008,2014,1792.0,2014
A,17,ITTOT,IT,TOT,9,9,11,2010,2014,1739.0,2014
A,17,ITTOT,IT,TOT,9,9,11,2012,2018,1925.0,2018
A,17,ITTOT,IT,TOT,9,9,11,2014,2018,1950.0,2018
A,18,ITTOT,IT,TOT,9,1,10,2008,2014,1950.0,2014
A,18,ITTOT,IT,TOT,9,1,10,2010,2014,1950.0,2014
A,18,ITTOT,IT,TOT,9,1,10,2012,2018,2004.0,2018
A,18,ITTOT,IT,TOT,9,1,10,2014,2018,1999.0,2018
A,18,ITTOT,IT,TOT,9,1,11,2008,2014,1983.0,2014
A,18,ITTOT,IT,TOT,9,1,11,2010,2014,1980.0,2014
A,18,ITTOT,IT,TOT,9,1,11,2012,2018,2048.0,2018
A,18,ITTOT,IT,TOT,9,1,11,2014,2018,2000.0,2018
A,18,ITTOT,IT,TOT,9,2,10,2008,2014,1625.0,2014
A,18,ITTOT,IT,TOT,9,2,10,2010,2014,1786.0,2014
A,18,ITTOT,IT,TOT,9,2,10,2012,2018,1918.0,2018
A,18,ITTOT,IT,TOT,9,2,10,2014,2018,1625.0,2018
A,18,ITTOT,IT,TOT,9,2,11,2008,2014,1662.0,2014
A,18,ITTOT,IT,TOT,9,2,11,2010,2014,1800.0,2014
A,18,ITTOT,IT,TOT,9,2,11,2012,2018,1918.0,2018
A,18,ITTOT,IT,TOT,9,2,11,2014,2018,1625.0,2018
A,18,ITTOT,IT,TOT,9,9,10,2008,2014,1880.0,2014
A,18,ITTOT,IT,TOT,9,9,10,2010,2014,1896.0,2014
A,18,ITTOT,IT,TOT,9,9,10,2012,2018,1993.0,2018
A,18,ITTOT,IT,TOT,9,9,10,2014,2018,1863.0,2018
A,18,ITTOT,IT,TOT,9,9,11,2008,2014,1900.0,2014
A,18,ITTOT,IT,TOT,9,9,11,2010,2014,1928.0,2014
A,18,ITTOT,IT,TOT,9,9,11,2012,2018,2003.0,2018
A,18,ITTOT,IT,TOT,9,9,11,2014,2018,1867.0,2018
A,19,ITTOT,IT,TOT,9,1,10,2008,2014,1805.0,2014
A,19,ITTOT,IT,TOT,9,1,10,2010,2014,1650.0,2014
A,19,ITTOT,IT,TOT,9,1,10,2012,2018,1875.0,2018
A,19,ITTOT,IT,TOT,9,1,10,2014,2018,1750.0,2018
A,19,ITTOT,IT,TOT,9,1,11,2008,2014,1842.0,2014
A,19,ITTOT,IT,TOT,9,1,11,2010,2014,1700.0,2014
A,19,ITTOT,IT,TOT,9,1,11,2012,2018,1896.0,2018
A,19,ITTOT,IT,TOT,9,1,11,2014,2018,1750.0,2018
A,19,ITTOT,IT,TOT,9,2,10,2008,2014,1517.0,2014
A,19,ITTOT,IT,TOT,9,2,10,2010,2014,1464.0,2014
A,19,ITTOT,IT,TOT,9,2,10,2012,2018,1579.0,2018
A,19,ITTOT,IT,TOT,9,2,10,2014,2018,1550.0,2018
A,19,ITTOT,IT,TOT,9,2,11,2008,2014,1540.0,2014
A,19,ITTOT,IT,TOT,9,2,11,2010,2014,1500.0,2014
A,19,ITTOT,IT,TOT,9,2,11,2012,2018,1600.0,2018
A,19,ITTOT,IT,TOT,9,2,11,2014,2018,1571.0,2018
A,19,ITTOT,IT,TOT,9,9,10,2008,2014,1600.0,2014
A,19,ITTOT,IT,TOT,9,9,10,2010,2014,1575.0,2014
A,19,ITTOT,IT,TOT,9,9,10,2012,2018,1633.0,2018
A,19,ITTOT,IT,TOT,9,9,10,2014,2018,1625.0,2018
A,19,ITTOT,IT,TOT,9,9,11,2008,2014,1633.0,2014
A,19,ITTOT,IT,TOT,9,9,11,2010,2014,1603.0,2014
A,19,ITTOT,IT,TOT,9,9,11,2012,2018,1679.0,2018
A,19,ITTOT,IT,TOT,9,9,11,2014,2018,1625.0,2018
A,20,ITTOT,IT,TOT,9,1,10,2008,2014,1600.0,2014
