freq,territorio,ind_type,measure,ordinescol,tipo_scuolasup,gest_scuola,time_period,obs_value,year
A,IT,SCH,9,4,102,1,2010,540.0,2010
A,IT,SCH,9,4,102,1,2011,532.0,2011
A,IT,SCH,9,4,102,1,2012,527.0,2012
A,IT,SCH,9,4,102,1,2013,517.0,2013
A,IT,SCH,9,4,102,1,2014,518.0,2014
A,IT,SCH,9,4,102,1A,2010,533.0,2010
A,IT,SCH,9,4,102,1A,2011,527.0,2011
A,IT,SCH,9,4,102,1A,2012,522.0,2012
A,IT,SCH,9,4,102,1A,2013,513.0,2013
A,IT,SCH,9,4,102,1A,2014,515.0,2014
A,IT,SCH,9,4,102,1B,2010,7.0,2010
A,IT,SCH,9,4,102,1B,2011,5.0,2011
A,IT,SCH,9,4,102,1B,2012,5.0,2012
A,IT,SCH,9,4,102,1B,2013,4.0,2013
A,IT,SCH,9,4,102,1B,2014,3.0,2014
A,IT,SCH,9,4,102,2,2010,38.0,2010
A,IT,SCH,9,4,102,2,2011,36.0,2011
A,IT,SCH,9,4,102,2,2012,36.0,2012
A,IT,SCH,9,4,102,2,2013,36.0,2013
A,IT,SCH,9,4,102,2,2014,35.0,2014
A,IT,SCH,9,4,102,9,2010,578.0,2010
A,IT,SCH,9,4,102,9,2011,568.0,2011
A,IT,SCH,9,4,102,9,2012,563.0,2012
A,IT,SCH,9,4,102,9,2013,553.0,2013
A,IT,SCH,9,4,102,9,2014,553.0,2014
A,IT,SCH,9,4,104,1,2010,401.0,2010
A,IT,SCH,9,4,104,1,2011,400.0,2011
A,IT,SCH,9,4,104,1,2012,395.0,2012
A,IT,SCH,9,4,104,1,2013,393.0,2013
A,IT,SCH,9,4,104,1,2014,385.0,2014
A,IT,SCH,9,4,104,1A,2010,380.0,2010
A,IT,SCH,9,4,104,1A,2011,385.0,2011
A,IT,SCH,9,4,104,1A,2012,380.0,2012
A,IT,SCH,9,4,104,1A,2013,378.0,2013
A,IT,SCH,9,4,104,1A,2014,375.0,2014
A,IT,SCH,9,4,104,1B,2010,21.0,2010
A,IT,SCH,9,4,104,1B,2011,15.0,2011
A,IT,SCH,9,4,104,1B,2012,15.0,2012
A,IT,SCH,9,4,104,1B,2013,15.0,2013
A,IT,SCH,9,4,104,1B,2014,10.0,2014
A,IT,SCH,9,4,104,2,2010,9.0,2010
A,IT,SCH,9,4,104,2,2011,9.0,2011
A,IT,SCH,9,4,104,2,2012,10.0,2012
A,IT,SCH,9,4,104,2,2013,9.0,2013
A,IT,SCH,9,4,104,2,2014,10.0,2014
A,IT,SCH,9,4,104,9,2010,410.0,2010
A,IT,SCH,9,4,104,9,2011,409.0,2011
A,IT,SCH,9,4,104,9,2012,405.0,2012
A,IT,SCH,9,4,104,9,2013,402.0,2013
A,IT,SCH,9,4,104,9,2014,395.0,2014
A,IT,SCH,9,4,105,1,2010,247.0,2010
A,IT,SCH,9,4,105,1,2011,250.0,2011
A,IT,SCH,9,4,105,1,2012,256.0,2012
A,IT,SCH,9,4,105,1,2013,255.0,2013
A,IT,SCH,9,4,105,1,2014,256.0,2014
A,IT,SCH,9,4,105,1A,2010,245.0,2010
