DATAFLOW,FREQ,TERRITORIO,IND_TYPE,MEASURE,ORDINESCOL,GEST_SCUOLA,TIME_PERIOD,OBS_VALUE,COMMENT,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BREAK,NOTA_IT,NOTA_EN,STAT_POP,COLLECTION,TIME_FORMAT,TITLE,METADATA_EN,METADATA_IT
IT1:158_150(1.0),A,IT,SCH,9,2,1,2010,16337,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1,2011,16113,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1,2012,16006,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1,2013,15876,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1,2014,15482,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1A,2010,15684,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1A,2011,15567,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1A,2012,15383,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1A,2013,15253,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1A,2014,15183,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1B,2010,653,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1B,2011,546,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1B,2012,623,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1B,2013,623,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,1B,2014,299,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,2,2010,1508,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,2,2011,1611,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,2,2012,1535,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,2,2013,1537,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,2,2014,1513,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,9,2010,17845,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,9,2011,17724,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,9,2012,17541,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,9,2013,17413,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,SCH,9,2,9,2014,16995,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1,2010,140335,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1,2011,138916,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1,2012,137159,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1,2013,136728,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1,2014,135237,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1A,2010,136549,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1A,2011,135631,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1A,2012,133498,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1A,2013,133070,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1A,2014,133304,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1B,2010,3786,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1B,2011,3285,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1B,2012,3661,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1B,2013,3658,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,1B,2014,1933,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,2,2010,9510,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,2,2011,10342,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,2,2012,9701,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,2,2013,9675,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,2,2014,9525,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,9,2010,149845,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,9,2011,149258,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,9,2012,146860,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,9,2013,146403,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,CLSS,9,2,9,2014,144762,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,ENR,9,2,1,2010,2630400,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,ENR,9,2,1,2011,2626605,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,ENR,9,2,1,2012,2623660,,,,,,,,1708,,,"Scuola primaria ",,
IT1:158_150(1.0),A,IT,ENR,9,2,1,2013,2633702,,,,,,,,1708,,,"Scuola primaria ",,
