DATAFLOW,FREQ,CITTADINANZA,CLASSE_ETA,ITTER107,TIPO_DATO,TITOLO_STUDIO,SESSO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2018,83.740917,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2019,80.99423,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2020,78.887198,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2021,79.774492,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2022,81.782053,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2023,82.630487,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,1,2024,81.313371,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2018,62.005664,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2019,60.402353,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2020,53.440093,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2021,54.467509,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2022,59.242972,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2023,62.138475,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,2,2024,62.479994,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2018,69.047813,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2019,67.326368,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2020,61.662278,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2021,62.487649,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2022,67.19238,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2023,69.143743,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,11,9,2024,68.367182,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2018,70.379589,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2019,70.23146,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2020,67.280826,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2021,68.251903,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2022,70.430727,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2023,70.315356,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,1,2024,71.128495,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2018,42.238601,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2019,42.776728,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2020,37.711344,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2021,37.566629,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2022,39.081369,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2023,40.306527,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,2,2024,39.545575,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2018,56.728533,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2019,57.072996,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2020,52.848745,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2021,53.769602,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2022,55.785021,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2023,56.36843,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,13,9,2024,56.951598,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2018,77.6717,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2019,79.898297,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2020,77.356459,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2021,76.283072,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2022,80.971334,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2023,81.880074,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,1,2024,81.839761,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2018,56.645135,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2019,54.651428,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2020,49.714934,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2021,52.020247,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2022,53.582914,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2023,52.880477,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,2,2024,54.432376,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2018,65.692461,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2019,65.420912,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2020,61.785503,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2021,62.506925,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2022,65.426238,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2023,65.836855,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,7,9,2024,66.959682,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2018,73.752129,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2019,74.095796,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2020,71.284315,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2021,71.674077,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2022,74.867006,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2023,75.617688,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,1,2024,75.949388,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2018,50.311841,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2019,49.565044,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2020,44.041468,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2021,45.359055,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2022,47.52122,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2023,48.702406,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,2,2024,49.434795,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2018,61.197753,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2019,61.054255,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2020,56.770044,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2021,57.79288,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2022,60.560158,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2023,61.577726,,,,,,,,,
IT1:150_915(1.2),A,FRG,Y15-64,IT,EMP_R,99,9,2024,62.307721,,,,,,,,,
