freq,fasecontoec,itter107,unit_ist_aggr,time_period,obs_value,year
A,201,IT,2I,2016,629672002,2016
A,201,IT,2I,2017,745564051,2017
A,201,IT,2I,2018,612744144,2018
A,201,IT,2I,2019,521250666,2019
A,201,IT,2I,2020,1027436935,2020
A,201,IT,2I,2021,1019990410,2021
A,201,IT,2I,2022,827206103,2022
A,201,IT,2I,2023,1019101352,2023
A,202,IT,2I,2016,12324362637,2016
A,202,IT,2I,2017,12197529891,2017
A,202,IT,2I,2018,12166753319,2018
A,202,IT,2I,2019,12364053076,2019
A,202,IT,2I,2020,12603316637,2020
A,202,IT,2I,2021,13518199032,2021
A,202,IT,2I,2022,14679373302,2022
A,202,IT,2I,2023,15833485531,2023
A,203,IT,2I,2016,2718720780,2016
A,203,IT,2I,2017,2677179049,2017
A,203,IT,2I,2018,2671421315,2018
A,203,IT,2I,2019,2743521263,2019
A,203,IT,2I,2020,2767685322,2020
A,203,IT,2I,2021,2892679996,2021
A,203,IT,2I,2022,3214212878,2022
A,203,IT,2I,2023,3633589361,2023
A,204,IT,2I,2016,8505332171,2016
A,204,IT,2I,2017,8488904922,2017
A,204,IT,2I,2018,8629532713,2018
A,204,IT,2I,2019,8903807287,2019
A,204,IT,2I,2020,9180627972,2020
A,204,IT,2I,2021,9926777897,2021
A,204,IT,2I,2022,10785649494,2022
A,204,IT,2I,2023,11491503733,2023
A,205,IT,2I,2016,162791074,2016
A,205,IT,2I,2017,133811378,2017
A,205,IT,2I,2018,61047781,2018
A,205,IT,2I,2019,39002453,2019
A,205,IT,2I,2020,41245710,2020
A,205,IT,2I,2021,41005179,2021
A,205,IT,2I,2022,47447753,2022
A,205,IT,2I,2023,39592797,2023
A,206,IT,2I,2016,51261879,2016
A,206,IT,2I,2017,71230335,2017
A,206,IT,2I,2018,104087088,2018
A,206,IT,2I,2019,87978112,2019
A,206,IT,2I,2020,86898218,2020
A,206,IT,2I,2021,93085277,2021
A,206,IT,2I,2022,112147848,2022
A,206,IT,2I,2023,127136131,2023
A,207,IT,2I,2016,870776309,2016
A,207,IT,2I,2017,825584616,2017
A,207,IT,2I,2018,699518256,2018
A,207,IT,2I,2019,588539565,2019
A,207,IT,2I,2020,525791016,2020
A,207,IT,2I,2021,562939898,2021
A,207,IT,2I,2022,518343559,2022
A,207,IT,2I,2023,541475265,2023
A,208,IT,2I,2016,181289,2016
A,208,IT,2I,2017,298054,2017
A,208,IT,2I,2018,231957,2018
A,208,IT,2I,2019,382799,2019
A,208,IT,2I,2020,554161,2020
A,208,IT,2I,2021,269886,2021
A,208,IT,2I,2022,432139,2022
A,208,IT,2I,2023,-513617,2023
A,209,IT,2I,2016,15299135,2016
A,209,IT,2I,2017,521537,2017
A,209,IT,2I,2018,914209,2018
A,209,IT,2I,2019,821597,2019
A,209,IT,2I,2020,514238,2020
A,209,IT,2I,2021,1440899,2021
A,209,IT,2I,2022,1139631,2022
