ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;CODICE_CLASSE;DESCRIZIONE_CLASSE;CONTRIBUZIONE_LAUREA;CONTRIBUZIONE_DOTTORATO;CONTRIBUZIONE_SPECIALIZZAZIONE;CONTRIBUZIONE_MASTER
2023-2024;00101;Torino - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;1279;66;541
2023-2024;00101;Torino - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;00101;Torino - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);4493;0;0;6
2023-2024;00101;Torino - Università degli studi;02 ;da 100,01 a 200,00;6833;0;0;0
2023-2024;00101;Torino - Università degli studi;03 ;da 200,01 a 300,00;2580;0;0;0
2023-2024;00101;Torino - Università degli studi;04 ;da 300,01 a 400,00;1902;0;62;0
2023-2024;00101;Torino - Università degli studi;05 ;da 400,01 a 500,00;2040;0;0;10
2023-2024;00101;Torino - Università degli studi;06 ;da 500,01 a 600,00;1590;0;0;153
2023-2024;00101;Torino - Università degli studi;07 ;da 600,01 a 700,00;1740;0;0;32
2023-2024;00101;Torino - Università degli studi;08 ;da 700,01 a 800,00;1430;0;0;15
2023-2024;00101;Torino - Università degli studi;09 ;da 800,01 a 900,00;1241;0;0;0
2023-2024;00101;Torino - Università degli studi;10 ;da 900,01 a 1.000,00;1124;0;1;29
2023-2024;00101;Torino - Università degli studi;11a;da 1.000,01 a 1.100,00;1378;0;12;58
2023-2024;00101;Torino - Università degli studi;11b;da 1.100,01 a 1.200,00;1428;0;0;0
2023-2024;00101;Torino - Università degli studi;11c;da 1.200,01 a 1.300,00;1244;0;1712;0
2023-2024;00101;Torino - Università degli studi;11d;da 1.300,01 a 1.400,00;1100;0;0;0
2023-2024;00101;Torino - Università degli studi;11e;da 1.400,01 a 1.500,00;933;0;0;45
2023-2024;00101;Torino - Università degli studi;12a;da 1.500,01 a 1.600,00;904;0;2;5
2023-2024;00101;Torino - Università degli studi;12b;da 1.600,01 a 1.700,00;1142;0;0;0
2023-2024;00101;Torino - Università degli studi;12c;da 1.700,01 a 1.800,00;991;0;0;20
2023-2024;00101;Torino - Università degli studi;12d;da 1.800,01 a 1.900,00;1108;0;0;0
2023-2024;00101;Torino - Università degli studi;12e;da 1.900,01 a 2.000,00;543;0;0;86
2023-2024;00101;Torino - Università degli studi;13 ;da 2.000,01 a 2.500,00;1978;0;34;105
2023-2024;00101;Torino - Università degli studi;14 ;da 2.500,01 a 3.000,00;14572;0;54;83
2023-2024;00101;Torino - Università degli studi;15 ;da 3.000,01 a 3.500,00;1055;0;531;108
2023-2024;00101;Torino - Università degli studi;16 ;da 3.500,01 a 4.000,00;0;0;0;93
2023-2024;00101;Torino - Università degli studi;17 ;da 4.000,01 a 4.500,00;0;0;0;72
2023-2024;00101;Torino - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;187
2023-2024;00101;Torino - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;0
2023-2024;00101;Torino - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;16
2023-2024;00101;Torino - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;43
2023-2024;00101;Torino - Università degli studi;21b;oltre 10.000,00;0;0;0;17
2023-2024;00102;Torino - Politecnico;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;00102;Torino - Politecnico;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;00102;Torino - Politecnico;01 ;da 0,01 a 100,00 (esclusi esoneri);3742;1;0;0
2023-2024;00102;Torino - Politecnico;02 ;da 100,01 a 200,00;594;0;0;0
2023-2024;00102;Torino - Politecnico;03 ;da 200,01 a 300,00;1781;0;0;0
2023-2024;00102;Torino - Politecnico;04 ;da 300,01 a 400,00;463;0;0;0
2023-2024;00102;Torino - Politecnico;05 ;da 400,01 a 500,00;660;0;0;0
2023-2024;00102;Torino - Politecnico;06 ;da 500,01 a 600,00;505;0;0;0
2023-2024;00102;Torino - Politecnico;07 ;da 600,01 a 700,00;607;0;0;0
2023-2024;00102;Torino - Politecnico;08 ;da 700,01 a 800,00;575;0;0;0
2023-2024;00102;Torino - Politecnico;09 ;da 800,01 a 900,00;692;0;0;0
2023-2024;00102;Torino - Politecnico;10 ;da 900,01 a 1.000,00;638;0;0;0
2023-2024;00102;Torino - Politecnico;11a;da 1.000,01 a 1.100,00;740;0;0;0
2023-2024;00102;Torino - Politecnico;11b;da 1.100,01 a 1.200,00;715;0;0;0
2023-2024;00102;Torino - Politecnico;11c;da 1.200,01 a 1.300,00;553;0;0;0
2023-2024;00102;Torino - Politecnico;11d;da 1.300,01 a 1.400,00;586;0;0;0
2023-2024;00102;Torino - Politecnico;11e;da 1.400,01 a 1.500,00;1035;0;0;0
2023-2024;00102;Torino - Politecnico;12a;da 1.500,01 a 1.600,00;444;0;0;0
2023-2024;00102;Torino - Politecnico;12b;da 1.600,01 a 1.700,00;446;0;0;0
2023-2024;00102;Torino - Politecnico;12c;da 1.700,01 a 1.800,00;410;0;0;0
2023-2024;00102;Torino - Politecnico;12d;da 1.800,01 a 1.900,00;401;0;0;0
2023-2024;00102;Torino - Politecnico;12e;da 1.900,01 a 2.000,00;228;0;0;0
2023-2024;00102;Torino - Politecnico;13 ;da 2.000,01 a 2.500,00;7042;0;0;0
2023-2024;00102;Torino - Politecnico;14 ;da 2.500,01 a 3.000,00;905;0;0;0
2023-2024;00102;Torino - Politecnico;15 ;da 3.000,01 a 3.500,00;132;0;0;10
2023-2024;00102;Torino - Politecnico;16 ;da 3.500,01 a 4.000,00;116;0;0;0
