ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;TASSA_MEDIA_PAGANTI_LAUREA;TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
2023-2024;TTTTT;Totale Italia;2160,32;1494,61
2023-2024;SSSSS;Totale Atenei Statali;1492,59;943,14
2023-2024;LLLLL;Totale Atenei Non Statali;3891,92;3571,54
2023-2024;00101;Torino - Università degli studi;1334,32;970,07
2023-2024;00102;Torino - Politecnico;1318,7;884,47
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";1560,47;1039,75
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;13124,91;12105,07
2023-2024;00701;Aosta - Università degli studi;1500,47;1214,67
2023-2024;01001;Genova - Università degli studi;1773,75;1255,35
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";6862,55;6486,41
2023-2024;01202;Varese - Università dell' Insubria;2308,81;1691,14
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";3614,27;2953,89
2023-2024;01501;Milano - Università degli studi;1864,89;1269,66
2023-2024;01502;Milano - Politecnico;2457,47;1925,07
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";13615,42;11708,2
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";6854,69;6238,24
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);6943,35;6290,7
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;13780,39;13033,86
2023-2024;01509;Milano-Bicocca - Università degli studi;1648,67;1208,42
2023-2024;01510;Rozzano (MI) - Humanitas University;12773,65;12191,89
2023-2024;01601;Bergamo - Università degli studi;1213,79;761,57
2023-2024;01701;Brescia - Università degli studi;1626,9;1178,65
2023-2024;01801;Pavia - Università degli studi;2053,19;1249,48
2023-2024;02101;Bolzano - Libera Università;1221,63;913,75
2023-2024;02201;Trento - Università degli studi;1541,09;1169,02
2023-2024;02301;Verona - Università degli studi;1419,45;1035,77
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;1851,15;1406,96
2023-2024;02702;Venezia - Università IUAV;2252,98;1565,25
2023-2024;02801;Padova - Università degli studi;1853,97;1276,18
2023-2024;03001;Udine - Università degli studi;1692,65;1215,05
2023-2024;03201;Trieste - Università degli studi;1507,37;1032,31
2023-2024;03401;Parma - Università degli studi;1474,34;1012,4
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;1590,1;1111,39
2023-2024;03701;Bologna - Università degli studi;1833,9;1253,44
