ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_TOTALE;DESCRIZIONE_ESONERO_TOTALE;ESONERO_TOTALE_LAUREA;ESONERO_TOTALE_DOTTORATO;ESONERO_TOTALE_SPECIALIZZAZIONE;ESONERO_TOTALE_MASTER
2023-2024;00101;Torino - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1699;0;116;
2023-2024;00101;Torino - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);1;0;0;
2023-2024;00101;Torino - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);971;N;9;
2023-2024;00101;Torino - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;559;0;0;322
2023-2024;00101;Torino - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;6636;;;
2023-2024;00101;Torino - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;00101;Torino - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);10641;;;
2023-2024;00101;Torino - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00101;Torino - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;00101;Torino - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;00101;Torino - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;847;;;
2023-2024;00101;Torino - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;00101;Torino - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;;;
2023-2024;00102;Torino - Politecnico;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);41;1249;0;
2023-2024;00102;Torino - Politecnico;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;00102;Torino - Politecnico;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);85;0;0;
2023-2024;00102;Torino - Politecnico;15 ;Altre tipologie non comprese nelle precedenti voci;1103;14;0;43
2023-2024;00102;Torino - Politecnico;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;5815;;;
2023-2024;00102;Torino - Politecnico;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;8;;;
2023-2024;00102;Torino - Politecnico;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);3461;;;
2023-2024;00102;Torino - Politecnico;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00102;Torino - Politecnico;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;104;;
2023-2024;00102;Torino - Politecnico;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;112;;
2023-2024;00102;Torino - Politecnico;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;581;;;
2023-2024;00102;Torino - Politecnico;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;1;;;
2023-2024;00102;Torino - Politecnico;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);846;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);436;0;0;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);195;0;0;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";15 ;Altre tipologie non comprese nelle precedenti voci;2;0;2;19
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;521;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2312;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;53;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;71;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1133;;;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);2;0;0;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;15 ;Altre tipologie non comprese nelle precedenti voci;21;15;0;4
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;00701;Aosta - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);141;0;0;
2023-2024;00701;Aosta - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;00701;Aosta - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);16;0;0;
2023-2024;00701;Aosta - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;35;0;0;0
2023-2024;00701;Aosta - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00701;Aosta - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;00701;Aosta - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01001;Genova - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1745;1;1;
2023-2024;01001;Genova - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01001;Genova - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);332;N;4;
2023-2024;01001;Genova - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;805;141;0;238
2023-2024;01001;Genova - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;606;;;
2023-2024;01001;Genova - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01001;Genova - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);5189;;;
2023-2024;01001;Genova - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);148;0;N;0
2023-2024;01001;Genova - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;1157;;
2023-2024;01001;Genova - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01001;Genova - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;139;;;
2023-2024;01001;Genova - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01001;Genova - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);611;;;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);99;0;0;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);17;0;0;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);16;0;0;
