ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONTO_ECONOMICO
2023;00101;Torino - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;79283140,81
2023;00101;Torino - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;00101;Torino - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;3397103,7
2023;00101;Torino - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;4828482,9
2023;00101;Torino - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;1562713,68
2023;00101;Torino - Università degli studi;04a;Gettito relativo ad altri corsi;683401,59
2023;00101;Torino - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;38567,19
2023;00101;Torino - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);11354020
2023;00101;Torino - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;2036250
2023;00101;Torino - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;2371,61
2023;00101;Torino - Università degli studi;08 ;Altro da studenti, non costituente gettito;2347006,62
2023;00102;Torino - Politecnico;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;30951541,08
2023;00102;Torino - Politecnico;02 ;Gettito relativo a corsi di dottorato;0
2023;00102;Torino - Politecnico;03 ;Gettito relativo a corsi di specializzazione;21959
2023;00102;Torino - Politecnico;040;Gettito relativo a corsi di master di primo e secondo livello;202996,66
2023;00102;Torino - Politecnico;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;00102;Torino - Politecnico;04a;Gettito relativo ad altri corsi;426423,09
2023;00102;Torino - Politecnico;04b;Gettito relativo a corsi di perfezionamento;0
2023;00102;Torino - Politecnico;05 ;Tassa regionale per il DSU (se riscossa da università);4170995
2023;00102;Torino - Politecnico;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;514971,08
2023;00102;Torino - Politecnico;07 ;Altre entrate non necessarie per l'iscrizione;1245440,25
2023;00102;Torino - Politecnico;08 ;Altro da studenti, non costituente gettito;876796,3
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;16213371,98
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Gettito relativo a corsi di dottorato;49354
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;Gettito relativo a corsi di specializzazione;927085
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";040;Gettito relativo a corsi di master di primo e secondo livello;764246,49
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";04a;Gettito relativo ad altri corsi;343528,47
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";04b;Gettito relativo a corsi di perfezionamento;41119,7
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";05 ;Tassa regionale per il DSU (se riscossa da università);2170560
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;375860
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";07 ;Altre entrate non necessarie per l'iscrizione;466412,88
2023;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";08 ;Altro da studenti, non costituente gettito;461888
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;3868739
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Gettito relativo a corsi di dottorato;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;03 ;Gettito relativo a corsi di specializzazione;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;040;Gettito relativo a corsi di master di primo e secondo livello;1766558
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;04a;Gettito relativo ad altri corsi;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;04b;Gettito relativo a corsi di perfezionamento;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;05 ;Tassa regionale per il DSU (se riscossa da università);43540
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;07 ;Altre entrate non necessarie per l'iscrizione;0
2023;00401;Bra (CN) - Università di Scienze Gastronomiche;08 ;Altro da studenti, non costituente gettito;0
2023;00701;Aosta - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;1336137
2023;00701;Aosta - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;00701;Aosta - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;0
2023;00701;Aosta - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;13580
2023;00701;Aosta - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;00701;Aosta - Università degli studi;04a;Gettito relativo ad altri corsi;83659
2023;00701;Aosta - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;0
2023;00701;Aosta - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);108780
2023;00701;Aosta - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;45346
2023;00701;Aosta - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;44729
2023;00701;Aosta - Università degli studi;08 ;Altro da studenti, non costituente gettito;30160
2023;01001;Genova - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;40184526,77
2023;01001;Genova - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;01001;Genova - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;1434188
2023;01001;Genova - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;1954059,39
2023;01001;Genova - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;11016
2023;01001;Genova - Università degli studi;04a;Gettito relativo ad altri corsi;1668648,84
