DATA;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_REGIONE;NOME_REGIONE;CODICE_PROVINCIA;NOME_PROVINCIA;NOME_COMUNE;NUMERO
01/11/2025;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";01;Piemonte;001;Torino;TORINO;872
01/11/2025;CLR;0313;"Almo Collegio ''Borromeo""";03;Lombardia;018;Pavia;PAVIA;208
01/11/2025;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;03;Lombardia;018;Pavia;PAVIA;160
01/11/2025;CLR;0316;Collegio universitario Ghislieri;03;Lombardia;018;Pavia;PAVIA;245
01/11/2025;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";03;Lombardia;018;Pavia;PAVIA;143
01/11/2025;CLR;0318;Fondazione Collegio delle Università Milanesi;03;Lombardia;015;Milano;MILANO;228
01/11/2025;CLR;0346;Collegio Universitario Lucchini di Brescia;03;Lombardia;017;Brescia;BRESCIA;54
01/11/2025;CLR;0508;"Collegio universitario ''don Nicola Mazza""";05;Veneto;023;Verona;VERONA;133
01/11/2025;CLR;0508;"Collegio universitario ''don Nicola Mazza""";05;Veneto;028;Padova;PADOVA;262
01/11/2025;CLR;0508;"Collegio universitario ''don Nicola Mazza""";12;Lazio;058;Roma;ROMA;82
01/11/2025;CLR;0604;Collegio Universitario L. Fonda di Trieste;06;Friuli-Venezia Giulia;032;Trieste;TRIESTE;55
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;01;Piemonte;001;Torino;TORINO;157
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;03;Lombardia;015;Milano;MILANO;385
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;08;Emilia-Romagna;037;Bologna;BOLOGNA;354
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;09;Toscana;048;Firenze;FIRENZE;75
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;12;Lazio;058;Roma;ROMA;180
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;19;Sicilia;082;Palermo;PALERMO;80
01/11/2025;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;19;Sicilia;087;Catania;CATANIA;119
01/11/2025;CLR;0806;Fondazione Collegio San Carlo di Modena;08;Emilia-Romagna;036;Modena;MODENA;106
01/11/2025;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;10;Umbria;054;Perugia;PERUGIA;78
01/11/2025;CLR;1210;"Fondazione  ''Comunità  Domenico Tardini""";12;Lazio;058;Roma;ROMA;108
01/11/2025;CLR;1211;Associazione Cuir ;12;Lazio;058;Roma;ROMA;99
01/11/2025;CLR;1212;Fondazione Rui - ROMA;03;Lombardia;015;Milano;MILANO;239
01/11/2025;CLR;1212;Fondazione Rui - ROMA;06;Friuli-Venezia Giulia;032;Trieste;TRIESTE;25
01/11/2025;CLR;1212;Fondazione Rui - ROMA;07;Liguria;010;Genova;GENOVA;49
01/11/2025;CLR;1212;Fondazione Rui - ROMA;08;Emilia-Romagna;037;Bologna;BOLOGNA;22
01/11/2025;CLR;1212;Fondazione Rui - ROMA;12;Lazio;058;Roma;ROMA;206
01/11/2025;CLR;1214;Collegio Universitario Pozzani di Roma;12;Lazio;058;Roma;ROMA;77
01/11/2025;CLR;1508;Ipe - Istituto per ricerche ed attività educative;15;Campania;063;Napoli;NAPOLI;100
01/11/2025;CLR;1508;Ipe - Istituto per ricerche ed attività educative;16;Puglia;072;Bari;BARI;40
01/11/2025;CLR;1905;Associazione ARCES;19;Sicilia;082;Palermo;PALERMO;33
01/11/2025;CLR;1905;Associazione ARCES;19;Sicilia;087;Catania;CATANIA;18
01/11/2025;CLR;2003;College Universitario Sant’Efisio di Cagliari;20;Sardegna;092;Città Metropolitana di Cagliari;CAGLIARI;120
