ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;01a;Tasse e contributi per iscrizione e frequenza;0;1308;1303176;1308
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;02a;Tasse per esami di ammissione ed esami finali;0;0;29886;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;03a;Tassa regionale per il DSU versata all'Istituto;0;1540;170520;1540
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;04 ;Diritti di segreteria;0;0;26610;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;05 ;Altro da studenti non costituenti gettito;0;0;144;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;01a;Tasse e contributi per iscrizione e frequenza;0;24700;606922,6;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;02a;Tasse per esami di ammissione ed esami finali;0;0;13626;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;70808,7;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;04 ;Diritti di segreteria;0;0;21340;0
2024-2025;010102010025;Accademie delle Belle Arti;Ligustica;GENOVA;05 ;Altro da studenti non costituenti gettito;0;864;3312;0
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;01a;Tasse e contributi per iscrizione e frequenza;0;5932,23;7076253,72;5932,23
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;02a;Tasse per esami di ammissione ed esami finali;0;953,19;27581,99;953,19
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;03a;Tassa regionale per il DSU versata all'Istituto;0;1716;611208;1716
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;015101015146;Accademie delle Belle Arti;BRERA;MILANO;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;01a;Tasse e contributi per iscrizione e frequenza;0;0;287485,84;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;02a;Tasse per esami di ammissione ed esami finali;0;0;5450;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;40180;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;04 ;Diritti di segreteria;0;0;12000;0
2024-2025;016102016024;Accademie delle Belle Arti;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;05 ;Altro da studenti non costituenti gettito;0;0;4512;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;01a;Tasse e contributi per iscrizione e frequenza;0;0;950942;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;02a;Tasse per esami di ammissione ed esami finali;0;0;20138;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;04 ;Diritti di segreteria;0;0;3510;0
2024-2025;023102023091;Accademie delle Belle Arti;;VERONA;05 ;Altro da studenti non costituenti gettito;0;0;23245,5;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;01a;Tasse e contributi per iscrizione e frequenza;0;0;1995944,5;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;02a;Tasse per esami di ammissione ed esami finali;0;0;8049,16;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;318618;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;04 ;Diritti di segreteria;0;0;66950;0
2024-2025;027101027042;Accademie delle Belle Arti;;VENEZIA;05 ;Altro da studenti non costituenti gettito;0;0;44696,9;0
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;01a;Tasse e contributi per iscrizione e frequenza;0;253770,96;2267032,9;253770,96
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;02a;Tasse per esami di ammissione ed esami finali;0;2664,94;110740,06;2664,94
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;11900;301280;11900
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;037101037006;Accademie delle Belle Arti;;BOLOGNA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;01a;Tasse e contributi per iscrizione e frequenza;0;0;94106;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;02a;Tasse per esami di ammissione ed esami finali;0;0;2250;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;22400;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;039103039014;Accademie delle Belle Arti;;RAVENNA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);01a;Tasse e contributi per iscrizione e frequenza;0;0;332076,67;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);02a;Tasse per esami di ammissione ed esami finali;0;0;11967;0
