DATA;CODICE_REGIONE;NOME_REGIONE;CODICE_PROVINCIA;NOME_PROVINCIA;NOME_COMUNE;NUMERO
01/11/2025;01;Piemonte;001;Torino;GRUGLIASCO;430
01/11/2025;01;Piemonte;001;Torino;TORINO;2436
01/11/2025;01;Piemonte;002;Vercelli;VERCELLI;99
01/11/2025;01;Piemonte;003;Novara;NOVARA;153
01/11/2025;01;Piemonte;004;Cuneo;CUNEO;25
01/11/2025;01;Piemonte;006;Alessandria;ALESSANDRIA;24
01/11/2025;01;Piemonte;096;Biella;BIELLA;30
01/11/2025;03;Lombardia;012;Varese;BUSTO ARSIZIO;6
01/11/2025;03;Lombardia;012;Varese;CASTELLANZA;38
01/11/2025;03;Lombardia;012;Varese;VARESE;161
01/11/2025;03;Lombardia;013;Como;COMO;225
01/11/2025;03;Lombardia;014;Sondrio;SONDRIO;27
01/11/2025;03;Lombardia;015;Milano;Cinisello Balsamo;44
01/11/2025;03;Lombardia;015;Milano;MILANO;5836
01/11/2025;03;Lombardia;015;Milano;Novate Milanese;85
01/11/2025;03;Lombardia;015;Milano;Pieve Emanuele;8
01/11/2025;03;Lombardia;015;Milano;SESTO SAN GIOVANNI;75
01/11/2025;03;Lombardia;015;Milano;Vimodrone;35
01/11/2025;03;Lombardia;016;Bergamo;BERGAMO;156
01/11/2025;03;Lombardia;016;Bergamo;DALMINE;48
01/11/2025;03;Lombardia;017;Brescia;BRESCIA;486
01/11/2025;03;Lombardia;018;Pavia;PAVIA;1606
01/11/2025;03;Lombardia;019;Cremona;CREMONA;48
01/11/2025;03;Lombardia;020;Mantova;MANTOVA;63
01/11/2025;03;Lombardia;097;Lecco;LECCO;198
01/11/2025;03;Lombardia;098;Lodi;LODI;48
01/11/2025;04;Trentino-Alto Adige;021;Bolzano;BOLZANO;602
01/11/2025;04;Trentino-Alto Adige;021;Bolzano;BRESSANONE;129
01/11/2025;04;Trentino-Alto Adige;022;Trento;ROVERETO;71
01/11/2025;04;Trentino-Alto Adige;022;Trento;TRENTO;1116
01/11/2025;05;Veneto;023;Verona;VERONA;433
01/11/2025;05;Veneto;024;Vicenza;VICENZA;62
01/11/2025;05;Veneto;026;Treviso;TREVISO;8
01/11/2025;05;Veneto;027;Venezia;VENEZIA;995
01/11/2025;05;Veneto;028;Padova;LEGNARO;24
01/11/2025;05;Veneto;028;Padova;PADOVA;1523
01/11/2025;05;Veneto;028;Padova;Rubano;23
01/11/2025;05;Veneto;029;Rovigo;ROVIGO;7
01/11/2025;06;Friuli-Venezia Giulia;030;Udine;GEMONA DEL FRIULI;70
01/11/2025;06;Friuli-Venezia Giulia;030;Udine;UDINE;273
01/11/2025;06;Friuli-Venezia Giulia;031;Gorizia;GORIZIA;91
01/11/2025;06;Friuli-Venezia Giulia;032;Trieste;TRIESTE;728
01/11/2025;06;Friuli-Venezia Giulia;093;Pordenone;PORDENONE;90
01/11/2025;07;Liguria;009;Savona;SAVONA;25
01/11/2025;07;Liguria;010;Genova;GENOVA;970
01/11/2025;08;Emilia-Romagna;033;Piacenza;PIACENZA;251
01/11/2025;08;Emilia-Romagna;034;Parma;PARMA;608
01/11/2025;08;Emilia-Romagna;035;Reggio nell'Emilia;REGGIO EMILIA;131
01/11/2025;08;Emilia-Romagna;036;Modena;MODENA;568
01/11/2025;08;Emilia-Romagna;037;Bologna;BOLOGNA;1929
01/11/2025;08;Emilia-Romagna;038;Ferrara;FERRARA;354
01/11/2025;08;Emilia-Romagna;039;Ravenna;RAVENNA;55
01/11/2025;08;Emilia-Romagna;040;Forlì-Cesena;CESENA;122
01/11/2025;08;Emilia-Romagna;040;Forlì-Cesena;FORLI';184
01/11/2025;08;Emilia-Romagna;099;Rimini;RIMINI;100
01/11/2025;09;Toscana;045;Massa-Carrara;Carrara;25
