DATA;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_SERVIZIO;DESCRIZIONE_SERVIZIO;NUMERO
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;1;Posti alloggio in residenze - anno corrente;3197
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);2744
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;359
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;9;Mense attive a gestione indiretta - anno corrente;9
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;10;Posti a sedere in mense a gestione indiretta - anno corrente;1485
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;63
01/11/2025;01;Piemonte;0101;EDISU del Piemonte;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;63
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;1;Posti alloggio in residenze - anno corrente;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
