ANNO_SOLARE;CODICE_REGIONE;NOME_REGIONE;CODICE_TIPOLOGIA_PERSONALE;DESCRIZIONE_TIPOLOGIA_PERSONALE;NUMERO
2024;01;Piemonte;111;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;01;Piemonte;112;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;01;Piemonte;113;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;01;Piemonte;114;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;01;Piemonte;115;Dipendente dalla Regione a tempo determinato maschio - numero;0
2024;01;Piemonte;116;Dipendente dalla Regione a tempo determinato femmina - numero;0
2024;01;Piemonte;117;Dipendente dalla Regione a tempo determinato maschio - mesi lavorati;0
2024;01;Piemonte;118;Dipendente dalla Regione a tempo determinato femmina - mesi lavorati;0
2024;01;Piemonte;119;Dipendente dall'ateneo a tempo determinato maschio - numero;0
2024;01;Piemonte;120;Dipendente dall'ateneo a tempo determinato femmina - numero;0
2024;01;Piemonte;121;Dipendente dall'ateneo a tempo determinato maschio - mesi lavorati;0
2024;01;Piemonte;122;Dipendente dall'ateneo a tempo determinato femmina - mesi lavorati;0
2024;01;Piemonte;123;Dipendente da altro Ente Pubblico a tempo determinato maschio - numero;0
2024;01;Piemonte;124;Dipendente da altro Ente Pubblico a tempo determinato femmina - numero;0
2024;01;Piemonte;125;Dipendente da altro Ente Pubblico a tempo determinato maschio - mesi lavorati;0
2024;01;Piemonte;126;Dipendente da altro Ente Pubblico a tempo determinato femmina - mesi lavorati;0
2024;02;Valle d'Aosta;111;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;02;Valle d'Aosta;112;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;02;Valle d'Aosta;113;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;02;Valle d'Aosta;114;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;02;Valle d'Aosta;115;Dipendente dalla Regione a tempo determinato maschio - numero;0
2024;02;Valle d'Aosta;116;Dipendente dalla Regione a tempo determinato femmina - numero;0
2024;02;Valle d'Aosta;117;Dipendente dalla Regione a tempo determinato maschio - mesi lavorati;0
2024;02;Valle d'Aosta;118;Dipendente dalla Regione a tempo determinato femmina - mesi lavorati;0
2024;02;Valle d'Aosta;119;Dipendente dall'ateneo a tempo determinato maschio - numero;0
2024;02;Valle d'Aosta;120;Dipendente dall'ateneo a tempo determinato femmina - numero;0
2024;02;Valle d'Aosta;121;Dipendente dall'ateneo a tempo determinato maschio - mesi lavorati;0
2024;02;Valle d'Aosta;122;Dipendente dall'ateneo a tempo determinato femmina - mesi lavorati;0
2024;02;Valle d'Aosta;123;Dipendente da altro Ente Pubblico a tempo determinato maschio - numero;0
2024;02;Valle d'Aosta;124;Dipendente da altro Ente Pubblico a tempo determinato femmina - numero;0
2024;02;Valle d'Aosta;125;Dipendente da altro Ente Pubblico a tempo determinato maschio - mesi lavorati;0
2024;02;Valle d'Aosta;126;Dipendente da altro Ente Pubblico a tempo determinato femmina - mesi lavorati;0
2024;03;Lombardia;111;Dipendente dall'Ente a tempo determinato maschio - numero;44
2024;03;Lombardia;112;Dipendente dall'Ente a tempo determinato femmina - numero;65
2024;03;Lombardia;113;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;189
2024;03;Lombardia;114;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;211
2024;03;Lombardia;115;Dipendente dalla Regione a tempo determinato maschio - numero;0
2024;03;Lombardia;116;Dipendente dalla Regione a tempo determinato femmina - numero;0
2024;03;Lombardia;117;Dipendente dalla Regione a tempo determinato maschio - mesi lavorati;0
2024;03;Lombardia;118;Dipendente dalla Regione a tempo determinato femmina - mesi lavorati;0
2024;03;Lombardia;119;Dipendente dall'ateneo a tempo determinato maschio - numero;1
2024;03;Lombardia;120;Dipendente dall'ateneo a tempo determinato femmina - numero;14
2024;03;Lombardia;121;Dipendente dall'ateneo a tempo determinato maschio - mesi lavorati;10
2024;03;Lombardia;122;Dipendente dall'ateneo a tempo determinato femmina - mesi lavorati;90
2024;03;Lombardia;123;Dipendente da altro Ente Pubblico a tempo determinato maschio - numero;0
2024;03;Lombardia;124;Dipendente da altro Ente Pubblico a tempo determinato femmina - numero;0
2024;03;Lombardia;125;Dipendente da altro Ente Pubblico a tempo determinato maschio - mesi lavorati;0
2024;03;Lombardia;126;Dipendente da altro Ente Pubblico a tempo determinato femmina - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;111;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;0421;Trentino Alto Adige - Bolzano;112;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;0421;Trentino Alto Adige - Bolzano;113;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;114;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;115;Dipendente dalla Regione a tempo determinato maschio - numero;1
2024;0421;Trentino Alto Adige - Bolzano;116;Dipendente dalla Regione a tempo determinato femmina - numero;0
2024;0421;Trentino Alto Adige - Bolzano;117;Dipendente dalla Regione a tempo determinato maschio - mesi lavorati;3
2024;0421;Trentino Alto Adige - Bolzano;118;Dipendente dalla Regione a tempo determinato femmina - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;119;Dipendente dall'ateneo a tempo determinato maschio - numero;0
2024;0421;Trentino Alto Adige - Bolzano;120;Dipendente dall'ateneo a tempo determinato femmina - numero;0
2024;0421;Trentino Alto Adige - Bolzano;121;Dipendente dall'ateneo a tempo determinato maschio - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;122;Dipendente dall'ateneo a tempo determinato femmina - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;123;Dipendente da altro Ente Pubblico a tempo determinato maschio - numero;0
2024;0421;Trentino Alto Adige - Bolzano;124;Dipendente da altro Ente Pubblico a tempo determinato femmina - numero;0
2024;0421;Trentino Alto Adige - Bolzano;125;Dipendente da altro Ente Pubblico a tempo determinato maschio - mesi lavorati;0
2024;0421;Trentino Alto Adige - Bolzano;126;Dipendente da altro Ente Pubblico a tempo determinato femmina - mesi lavorati;0
