AnnoA;AteneoCOD;AteneoNOME;Isc_D
2024/2025;Aosta;701;46
2024/2025;Bari;7201;663
2024/2025;Bari Politecnico;7202;91
2024/2025;Basilicata;7601;37
2024/2025;Benevento Giustino Fortunato - telematica;6202;24
2024/2025;Bergamo;1601;866
2024/2025;Bologna;3701;8222
2024/2025;Bolzano;2101;548
2024/2025;Bra Scienze Gastronomiche;401;66
2024/2025;Brescia;1701;658
2024/2025;Ca' Foscari Venezia;2701;1650
2024/2025;Cagliari;9201;324
2024/2025;Calabria;7801;802
2024/2025;Camerino;4302;948
2024/2025;Casamassima – LUM G. Degennaro;7203;9
2024/2025;Cassino;6001;1751
2024/2025;Castellanza LIUC;1201;28
2024/2025;Catania;8701;480
2024/2025;Catanzaro;7901;253
2024/2025;Chieti e Pescara;6901;334
2024/2025;Enna KORE;8601;21
2024/2025;Ferrara;3801;902
2024/2025;Firenze;4801;4120
2024/2025;Firenze IUL - telematica;4804;45
2024/2025;Foggia;7101;89
2024/2025;Genova;1001;2620
2024/2025;Insubria;1202;442
2024/2025;L'Aquila;6601;668
2024/2025;Macerata;4301;388
2024/2025;Marche;4201;1413
2024/2025;Messina;8301;2882
2024/2025;Milano;1501;4069
2024/2025;Milano Bicocca;1509;1039
2024/2025;Milano Bocconi;1503;3766
2024/2025;Milano Cattolica;1504;1900
2024/2025;Milano IULM;1505;426
2024/2025;Milano Politecnico;1502;7952
2024/2025;Milano San Raffaele;1508;439
2024/2025;Modena e Reggio Emilia;3601;863
2024/2025;Molise;7001;46
2024/2025;Napoli Benincasa;6304;8
2024/2025;Napoli Federico II;6301;1204
2024/2025;Napoli L'Orientale;6303;82
2024/2025;Napoli Parthenope;6302;381
2024/2025;Napoli Pegaso - telematica;6307;495
2024/2025;Napoli Vanvitelli;6306;861
2024/2025;Novedrate e-Campus - telematica;1301;603
2024/2025;Padova;2801;6436
2024/2025;Palermo;8201;766
2024/2025;Parma;3401;1753
2024/2025;Pavia;1801;3211
2024/2025;Perugia;5401;1406
2024/2025;Perugia Stranieri;5403;582
2024/2025;Piemonte Orientale;201;1162
2024/2025;Pisa;5001;3089
2024/2025;Reggio Calabria;8001;41
2024/2025;Reggio Calabria - Dante Alighieri;8003;37
2024/2025;Roma  Mercatorum - telematica;5814;381
2024/2025;Roma Biomedico;5808;125
2024/2025;Roma Europea;5812;62
2024/2025;Roma Foro Italico;5806;40
2024/2025;Roma La Sapienza;5801;7593
2024/2025;Roma Link Campus;5817;104
2024/2025;Roma Luiss;5805;1482
2024/2025;Roma LUMSA;5803;400
2024/2025;Roma Marconi - telematica;5810;492
2024/2025;Roma Saint Camillus;5818;803
2024/2025;Roma San Raffaele - telematica;5816;90
2024/2025;Roma Tor Vergata;5802;2733
2024/2025;Roma Tre;5807;1169
2024/2025;Roma UNICUSANO - telematica;5815;313
2024/2025;Roma UNINETTUNO - telematica;5813;804
2024/2025;Roma UNINT;5809;31
2024/2025;Roma UNITELMA - telematica;5811;55
2024/2025;Rozzano (MI) Humanitas University;1510;606
2024/2025;Salento;7501;345
2024/2025;Salerno;6501;234
2024/2025;Sannio;6201;48
2024/2025;Sassari;9001;284
2024/2025;Siena;5201;1490
2024/2025;Siena Stranieri;5202;303
2024/2025;Teramo;6701;138
2024/2025;Torino;101;3958
2024/2025;Torino Politecnico;102;7457
2024/2025;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;3
2024/2025;Trento;2201;782
2024/2025;Trieste;3201;1302
2024/2025;Tuscia;5601;672
2024/2025;Udine;3001;501
2024/2025;Urbino;4101;486
2024/2025;Venezia Iuav;2702;367
2024/2025;Verona;2301;906
2023/2024;Aosta;701;46
2023/2024;Bari;7201;666
2023/2024;Bari Politecnico;7202;60
2023/2024;Basilicata;7601;17
2023/2024;Benevento Giustino Fortunato - telematica;6202;24
2023/2024;Bergamo;1601;784
2023/2024;Bologna;3701;6537
2023/2024;Bolzano;2101;550
2023/2024;Bra Scienze Gastronomiche;401;59
2023/2024;Brescia;1701;615
2023/2024;Ca' Foscari Venezia;2701;1464
2023/2024;Cagliari;9201;295
2023/2024;Calabria;7801;1025
2023/2024;Camerino;4302;433
2023/2024;Casamassima – LUM G. Degennaro;7203;4
2023/2024;Cassino;6001;1553
2023/2024;Castellanza LIUC;1201;55
2023/2024;Catania;8701;464
2023/2024;Catanzaro;7901;208
2023/2024;Chieti e Pescara;6901;309
2023/2024;Enna KORE;8601;12
2023/2024;Ferrara;3801;756
2023/2024;Firenze;4801;3559
2023/2024;Firenze IUL - telematica;4804;42
2023/2024;Foggia;7101;76
2023/2024;Genova;1001;2727
2023/2024;Insubria;1202;395
2023/2024;L'Aquila;6601;622
2023/2024;Macerata;4301;325
2023/2024;Marche;4201;1010
2023/2024;Messina;8301;2146
2023/2024;Milano;1501;3572
2023/2024;Milano Bicocca;1509;987
2023/2024;Milano Bocconi;1503;2949
2023/2024;Milano Cattolica;1504;1715
2023/2024;Milano IULM;1505;326
2023/2024;Milano Politecnico;1502;7291
2023/2024;Milano San Raffaele;1508;378
2023/2024;Modena e Reggio Emilia;3601;768
2023/2024;Molise;7001;42
2023/2024;Napoli Benincasa;6304;12
2023/2024;Napoli Federico II;6301;921
2023/2024;Napoli L'Orientale;6303;93
2023/2024;Napoli Parthenope;6302;264
