AnnoA;ClasseNOME;ClasseNUMERO;SESSO;Isc_D
2024/2025;Ingegneria gestionale;LM-31;F;543
2024/2025;Classe non definita;LM-4cu;F;4
2024/2025;Ingegneria civile e ambientale;L-7;M;636
2024/2025;Scienze dell'architettura;L-17;M;468
2024/2025;Traduzione specialistica e interpretariato;LM-94;M;12
2024/2025;Classe non definita;LM-85;F;2
2024/2025;Progettazione e gestione dei sistemi turistici;LM-49;F;710
2024/2025;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;F;15
2024/2025;Studi europei;LM-90;M;341
2024/2025;Scienze politiche e delle relazioni internazionali;L-36;M;1155
2024/2025;Filologia, letterature e storia dell'antichità;LM-15;M;7
2024/2025;Filosofia;L-5;M;136
2024/2025;Medicina veterinaria;LM-42;F;196
2024/2025;Informazione e sistemi editoriali;LM-19;M;23
2024/2025;Scienze dell'universo;LM-58;M;70
2024/2025;Fisica;LM-17;F;222
2024/2025;Sociologia e ricerca sociale;LM-88;F;64
2024/2025;Scienze dei Materiali;L-Sc.Mat.;M;3
2024/2025;Ingegneria informatica;LM-32;M;1337
2024/2025;Scienze e tecnologie della navigazione;L-28;M;45
2024/2025;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;M;1
2024/2025;Classe non definita;LM-37;M;2
2024/2025;Sicurezza informatica;LM-66;M;92
2024/2025;Scienze e tecnologie geologiche;LM-74;F;82
2024/2025;Classe non definita;LM-6;F;2
2024/2025;Architettura del paesaggio;LM-3;F;336
2024/2025;Scienze dell'amministrazione;L-16;M;1
2024/2025;Servizio sociale;L-39;M;26
2024/2025;Specialistiche in informatica;LM-18;M;1
2024/2025;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;F;794
2024/2025;Metodologie informatiche per le discipline umanistiche;LM-43;F;120
2024/2025;Classe non definita;LM-41;F;40
2024/2025;Specialistiche in architettura e ingegneria edile;LM-4;M;7
2024/2025;Scienze della formazione primaria;LM-85 bis;F;117
2024/2025;Ingegneria elettronica;LM-29;F;203
2024/2025;Geografia;L-6;M;6
2024/2025;Scienze biologiche;L-13;M;116
2024/2025;Scienze e tecniche psicologiche;L-24;F;1372
2024/2025;Professioni sanitarie della riabilitazione;L/SNT2;F;122
2024/2025;Specialistiche in giurisprudenza;LM/SC-GIUR;F;2
2024/2025;Storia;L-42;F;467
2024/2025;Biotecnologie agrarie;LM-7;F;79
2024/2025;Disegno industriale;L-4;M;204
2024/2025;Scienze dell'economia e della gestione aziendale;L-18;F;4017
2024/2025;Scienze e tecnologie farmaceutiche;L-29;F;142
2024/2025;Scienze dei Materiali;LM-Sc.Mat.;M;88
2024/2025;Archivistica e biblioteconomia;LM-5;F;9
2024/2025;Classe non definita;LM-31;M;2
2024/2025;Scienze e tecnologie forestali ed ambientali;LM-73;F;123
2024/2025;Professioni tecniche per l'edilizia e il territorio;L-P01;F;7
2024/2025;Scienze dell'economia;LM-56;F;1184
2024/2025;Medicina e chirurgia;LM-41;F;4524
2024/2025;Scienze zootecniche e tecnologie  animali;LM-86;M;43
2024/2025;Odontoiatria e protesi dentaria;LM-46;M;258
2024/2025;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;44
2024/2025;Classe non definita;LM-14;F;2
2024/2025;Professioni tecniche agrarie, alimentari e forestali;L-P02;F;8
2024/2025;Biologia;LM-6;M;334
2024/2025;Ingegneria navale;LM-34;M;24
2024/2025;Scienze del turismo;L-15;F;239
2024/2025;Scienze e tecnologie della chimica industriale;LM-71;F;185
2024/2025;Scienze delle religioni;LM-64;F;9
2024/2025;Filologia moderna;LM-14;F;319
2024/2025;Classe non definita;LM-13;F;6
2024/2025;Beni culturali;L-1;M;175
2024/2025;Specialistiche in odontoiatria e protesi dentaria;LM-46;M;2
2024/2025;Scienze geografiche;LM-80;M;39
2024/2025;Scienze della comunicazione;L-20;F;958
2024/2025;Scienza e ingegneria dei materiali;LM-53;M;84
2024/2025;Scienze economiche;L-33;M;1993
2024/2025;Scienze e tecnologie agrarie e forestali;L-25;F;126
2024/2025;Lingue e letterature moderne europee e americane;LM-37;F;659
2024/2025;Scienze dell'educazione degli adulti e della formazione continua;LM-57;F;23
2024/2025;Ingegneria dell'automazione;LM-25;F;136
2024/2025;Scienze e tecnologie per l'ambiente e il territorio;LM-75;M;106
2024/2025;Ingegneria meccanica;LM-33;F;215
2024/2025;Tecniche e metodi per la societa dell'informazione;LM-91;M;334
2024/2025;Scienze per la cooperazione allo sviluppo;LM-81;M;266
2024/2025;Storia dell'arte;LM-89;F;251
2024/2025;Scienze della comunicazione pubblica, d'impresa e pubblicità;LM-59;M;113
2024/2025;Specialistiche in farmacia e farmacia industriale;LM-13;F;43
2024/2025;Informatica;LM-18;M;785
2024/2025;Classe non definita;LM-51;F;2
2024/2025;Biotecnologie industriali;LM-8;M;117
2024/2025;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;454
2024/2025;Scienze storiche;LM-84;F;191
2024/2025;Scienze e tecnologie agrarie;LM-69;M;178
2024/2025;Lingue e letterature dell'Africa e dell'Asia;LM-36;F;39
2024/2025;Design;LM-12;M;334
2024/2025;Scienze economiche per l'ambiente e la cultura;LM-76;F;236
2024/2025;Scienze e tecnologie farmaceutiche;L-29;M;29
