AnnoA;CorsoTIPO;AnnoCorso;Isc
2024/2025;Laurea Magistrale Ciclo Unico;3;47551
2024/2025;Laurea Magistrale;3 o più;5750
2024/2025;Laurea Magistrale Ciclo Unico;6;27246
2024/2025;Laurea Magistrale Ciclo Unico;4;45009
2024/2025;Laurea;1;381059
2024/2025;Laurea;4 o più;202
2024/2025;Laurea;2;321315
2024/2025;Laurea Magistrale;2;258180
2024/2025;Laurea Magistrale Ciclo Unico;2;53602
2024/2025;Laurea Magistrale Ciclo Unico;1;62675
2024/2025;Laurea Magistrale Ciclo Unico;5;92714
2024/2025;Laurea Magistrale;1;163671
2024/2025;Laurea;3;555217
2023/2024;Laurea Magistrale Ciclo Unico;1;58067
2023/2024;Laurea;2;315883
2023/2024;Laurea Magistrale Ciclo Unico;5;93790
2023/2024;Laurea;4 o più;253
2023/2024;Laurea Magistrale;1;159130
2023/2024;Laurea Magistrale Ciclo Unico;3;45234
2023/2024;Laurea Magistrale Ciclo Unico;4;43159
2023/2024;Laurea;1;372816
2023/2024;Laurea Magistrale;2;256281
2023/2024;Laurea Magistrale Ciclo Unico;6;25916
2023/2024;Laurea Magistrale;3 o più;5690
2023/2024;Laurea;3;541551
2023/2024;Laurea Magistrale Ciclo Unico;2;48405
