AnnoA;AnnoNascita;SESSO;Isc
2024/2025;1989 e precedenti;F;119011
2024/2025;1989 e precedenti;M;85595
2024/2025;1990;F;10536
2024/2025;1990;M;7822
2024/2025;1991;F;11711
2024/2025;1991;M;8815
2024/2025;1992;F;13214
2024/2025;1992;M;10012
2024/2025;1993;F;14651
2024/2025;1993;M;11630
2024/2025;1994;F;16891
2024/2025;1994;M;13450
2024/2025;1995;F;19941
2024/2025;1995;M;16850
2024/2025;1996;F;24698
2024/2025;1996;M;21257
2024/2025;1997;F;31773
2024/2025;1997;M;27695
2024/2025;1998;F;42112
2024/2025;1998;M;36865
2024/2025;1999;F;59499
2024/2025;1999;M;49820
2024/2025;2000;F;85988
2024/2025;2000;M;69108
2024/2025;2001;9;1
2024/2025;2001;F;115449
2024/2025;2001;M;86647
2024/2025;2002;F;126398
2024/2025;2002;M;94440
2024/2025;2003;F;151345
2024/2025;2003;M;109017
2024/2025;2004;F;154156
2024/2025;2004;M;111670
2024/2025;2005 e successivi;9;1
2024/2025;2005 e successivi;F;154514
2024/2025;2005 e successivi;M;114344
2023/2024;1988 e precedenti;F;114688
2023/2024;1988 e precedenti;M;84182
2023/2024;1989;F;10345
2023/2024;1989;M;7360
2023/2024;1990;F;11489
2023/2024;1990;M;8728
2023/2024;1991;F;12899
2023/2024;1991;M;10072
2023/2024;1992;F;14797
2023/2024;1992;M;11715
2023/2024;1993;F;16871
2023/2024;1993;M;13675
2023/2024;1994;F;19930
2023/2024;1994;M;16597
2023/2024;1995;F;24356
2023/2024;1995;M;21103
2023/2024;1996;F;31100
2023/2024;1996;M;27349
2023/2024;1997;F;41476
2023/2024;1997;M;36432
2023/2024;1998;F;57942
2023/2024;1998;M;49565
2023/2024;1999;F;82801
2023/2024;1999;M;66627
2023/2024;2000;F;113895
2023/2024;2000;M;86823
2023/2024;2001;F;124358
2023/2024;2001;M;91974
2023/2024;2002;F;146294
2023/2024;2002;M;104685
2023/2024;2003;F;149686
2023/2024;2003;M;108643
2023/2024;2004 e successivi;F;151312
2023/2024;2004 e successivi;M;111702
