AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2024/2025;Aosta;701;F;749
2024/2025;Aosta;701;M;301
2024/2025;Bari;7201;F;25124
2024/2025;Bari;7201;M;15403
2024/2025;Bari Politecnico;7202;F;3339
2024/2025;Bari Politecnico;7202;M;7376
2024/2025;Basilicata;7601;F;3486
2024/2025;Basilicata;7601;M;2036
2024/2025;Benevento Giustino Fortunato - telematica;6202;F;1682
2024/2025;Benevento Giustino Fortunato - telematica;6202;M;1078
2024/2025;Bergamo;1601;F;11405
2024/2025;Bergamo;1601;M;7549
2024/2025;Bologna;3701;F;48560
2024/2025;Bologna;3701;M;36696
2024/2025;Bolzano;2101;F;2238
2024/2025;Bolzano;2101;M;1184
2024/2025;Bra Scienze Gastronomiche;401;F;147
2024/2025;Bra Scienze Gastronomiche;401;M;147
2024/2025;Brescia;1701;F;8001
2024/2025;Brescia;1701;M;8455
2024/2025;Ca' Foscari Venezia;2701;F;11780
2024/2025;Ca' Foscari Venezia;2701;M;7161
2024/2025;Cagliari;9201;F;15216
2024/2025;Cagliari;9201;M;9912
2024/2025;Calabria;7801;F;13549
2024/2025;Calabria;7801;M;9920
2024/2025;Camerino;4302;F;3058
2024/2025;Camerino;4302;M;3201
2024/2025;Casamassima – LUM G. Degennaro;7203;F;1199
2024/2025;Casamassima – LUM G. Degennaro;7203;M;1089
2024/2025;Cassino;6001;F;4007
2024/2025;Cassino;6001;M;3426
2024/2025;Castellanza LIUC;1201;F;809
2024/2025;Castellanza LIUC;1201;M;1591
2024/2025;Catania;8701;F;23394
2024/2025;Catania;8701;M;16893
2024/2025;Catanzaro;7901;F;7614
2024/2025;Catanzaro;7901;M;4442
2024/2025;Chieti e Pescara;6901;9;1
2024/2025;Chieti e Pescara;6901;F;13291
2024/2025;Chieti e Pescara;6901;M;7168
2024/2025;Enna KORE;8601;F;3902
2024/2025;Enna KORE;8601;M;1773
2024/2025;Ferrara;3801;F;16507
2024/2025;Ferrara;3801;M;10594
2024/2025;Firenze;4801;F;33210
2024/2025;Firenze;4801;M;22956
2024/2025;Firenze IUL - telematica;4804;F;1365
2024/2025;Firenze IUL - telematica;4804;M;625
2024/2025;Foggia;7101;F;8832
2024/2025;Foggia;7101;M;4728
2024/2025;Genova;1001;F;17959
2024/2025;Genova;1001;M;14017
2024/2025;Insubria;1202;F;6263
2024/2025;Insubria;1202;M;4951
