AnnoA;GruppoCOD;GruppoNOME;SESSO;Isc
2024/2025;7;Economico                                                                                                                                                                                                                                                 ;M;146254
2024/2025;6;Psicologico                                                                                                                                                                                                                                               ;F;82252
2024/2025;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;184340
2024/2025;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;91186
2024/2025;4;Linguistico                                                                                                                                                                                                                                               ;F;77502
2024/2025;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;20273
2024/2025;2;Arte e Design                                                                                                                                                                                                                                             ;M;19916
2024/2025;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;36338
2024/2025;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;43075
2024/2025;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;190643
2024/2025;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;51533
2024/2025;9;Scientifico                                                                                                                                                                                                                                               ;F;90971
2024/2025;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;38513
2024/2025;7;Economico                                                                                                                                                                                                                                                 ;F;124283
2024/2025;2;Arte e Design                                                                                                                                                                                                                                             ;F;45964
2024/2025;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;58765
2024/2025;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;9979
2024/2025;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;60356
2024/2025;6;Psicologico                                                                                                                                                                                                                                               ;M;21711
2024/2025;8;Giuridico                                                                                                                                                                                                                                                 ;M;62206
2024/2025;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;8828
2024/2025;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;18827
2024/2025;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;103044
2024/2025;4;Linguistico                                                                                                                                                                                                                                               ;M;17275
2024/2025;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;61982
2024/2025;7;Economico                                                                                                                                                                                                                                                 ;9;1
2024/2025;9;Scientifico                                                                                                                                                                                                                                               ;M;69685
2024/2025;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;130301
2024/2025;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;22174
2024/2025;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;9;1
2024/2025;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;41772
2024/2025;8;Giuridico                                                                                                                                                                                                                                                 ;F;96977
2023/2024;9;Scientifico                                                                                                                                                                                                                                               ;F;91420
2023/2024;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;180101
2023/2024;7;Economico                                                                                                                                                                                                                                                 ;M;144325
2023/2024;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;35432
2023/2024;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;58061
2023/2024;4;Linguistico                                                                                                                                                                                                                                               ;F;82518
2023/2024;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;88847
2023/2024;6;Psicologico                                                                                                                                                                                                                                               ;F;77452
2023/2024;8;Giuridico                                                                                                                                                                                                                                                 ;F;94862
2023/2024;9;Scientifico                                                                                                                                                                                                                                               ;M;68465
2023/2024;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;20139
2023/2024;4;Linguistico                                                                                                                                                                                                                                               ;M;18297
2023/2024;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;20177
2023/2024;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;123549
2023/2024;2;Arte e Design                                                                                                                                                                                                                                             ;M;19963
2023/2024;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;62270
2023/2024;6;Psicologico                                                                                                                                                                                                                                               ;M;20685
2023/2024;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;57676
2023/2024;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;99962
2023/2024;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;9562
2023/2024;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;8015
2023/2024;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;19580
2023/2024;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;37640
2023/2024;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;41767
2023/2024;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;182574
2023/2024;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;48531
2023/2024;2;Arte e Design                                                                                                                                                                                                                                             ;F;45726
2023/2024;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;39946
2023/2024;8;Giuridico                                                                                                                                                                                                                                                 ;M;61462
2023/2024;7;Economico                                                                                                                                                                                                                                                 ;F;122468
