AnnoA;ClasseNUMERO;SedeR;ResidenzaR;Isc
2024/2025;L-18;LOMBARDIA;LOMBARDIA;17822
2023/2024;L-18;LOMBARDIA;LOMBARDIA;17299
2024/2025;L-18;CAMPANIA;CAMPANIA;11940
2023/2024;L-18;CAMPANIA;CAMPANIA;11905
2024/2025;LMG/01;LOMBARDIA;LOMBARDIA;11594
2023/2024;LMG/01;LOMBARDIA;LOMBARDIA;11435
2023/2024;LMG/01;CAMPANIA;CAMPANIA;10971
2024/2025;LMG/01;CAMPANIA;CAMPANIA;10517
2023/2024;L-18;LAZIO;LAZIO;10448
2024/2025;L-18;LAZIO;LAZIO;10316
2023/2024;LMG/01;LAZIO;LAZIO;10065
2024/2025;LMG/01;LAZIO;LAZIO;10012
2024/2025;LM-41;CAMPANIA;CAMPANIA;9609
2024/2025;LM-41;LAZIO;LAZIO;9373
2023/2024;LM-41;CAMPANIA;CAMPANIA;9201
2024/2025;LM-41;SICILIA;SICILIA;9188
2024/2025;L-20;LOMBARDIA;LOMBARDIA;9008
2023/2024;L-20;LOMBARDIA;LOMBARDIA;8989
2024/2025;LM-41;LOMBARDIA;LOMBARDIA;8481
2023/2024;LM-41;LAZIO;LAZIO;8401
2024/2025;L-18;EMILIA ROMAGNA;EMILIA ROMAGNA;8369
2024/2025;L-9;CAMPANIA;CAMPANIA;8262
2023/2024;LM-41;SICILIA;SICILIA;8192
2023/2024;L-18;EMILIA ROMAGNA;EMILIA ROMAGNA;8155
2024/2025;L-9;LAZIO;LAZIO;8147
2023/2024;L-9;CAMPANIA;CAMPANIA;8107
2023/2024;LM-41;LOMBARDIA;LOMBARDIA;7932
2023/2024;L-9;LAZIO;LAZIO;7853
2024/2025;L-9;LOMBARDIA;LOMBARDIA;7245
2023/2024;LMG/01;SICILIA;SICILIA;6704
2023/2024;L-9;LOMBARDIA;LOMBARDIA;6633
2023/2024;L-18;PIEMONTE;PIEMONTE;6577
2024/2025;LMG/01;SICILIA;SICILIA;6547
2024/2025;L-8;CAMPANIA;CAMPANIA;6537
2023/2024;L-11;CAMPANIA;CAMPANIA;6520
2023/2024;L-8;CAMPANIA;CAMPANIA;6483
2024/2025;L-18;PIEMONTE;PIEMONTE;6479
2023/2024;L/SNT1;LAZIO;LAZIO;6444
2024/2025;L-18;TOSCANA;TOSCANA;6417
2024/2025;L/SNT1;LAZIO;LAZIO;6311
2023/2024;L-18;TOSCANA;TOSCANA;6180
2024/2025;L-8;LAZIO;LAZIO;6057
2024/2025;L-11;CAMPANIA;CAMPANIA;6047
2023/2024;L-8;LAZIO;LAZIO;5839
2024/2025;L/SNT1;SICILIA;SICILIA;5824
2024/2025;L-20;LAZIO;LAZIO;5667
2024/2025;LM-85 bis;LOMBARDIA;LOMBARDIA;5661
2023/2024;L-20;LAZIO;LAZIO;5638
2024/2025;L-9;EMILIA ROMAGNA;EMILIA ROMAGNA;5602
2023/2024;LM-85 bis;LOMBARDIA;LOMBARDIA;5431
2024/2025;L-9;VENETO;VENETO;5373
2023/2024;L-9;EMILIA ROMAGNA;EMILIA ROMAGNA;5371
2023/2024;L-12;LOMBARDIA;LOMBARDIA;5346
2024/2025;L/SNT1;LOMBARDIA;LOMBARDIA;5280
2023/2024;L-9;VENETO;VENETO;5216
2024/2025;L-9;PIEMONTE;PIEMONTE;5192
2023/2024;L-10;CAMPANIA;CAMPANIA;5185
2023/2024;L-9;PIEMONTE;PIEMONTE;5184
2023/2024;L/SNT1;LOMBARDIA;LOMBARDIA;5150
2023/2024;L-19;LOMBARDIA;LOMBARDIA;5075
2023/2024;L-18;PUGLIA;PUGLIA;5074
2023/2024;L/SNT1;SICILIA;SICILIA;5030
2023/2024;L-8;LOMBARDIA;LOMBARDIA;4994
2024/2025;L-19;LAZIO;LAZIO;4982
2024/2025;L-18;PUGLIA;PUGLIA;4974
2024/2025;L-36;LAZIO;LAZIO;4955
2024/2025;L-33;LAZIO;LAZIO;4886
2023/2024;LM-77;LOMBARDIA;LOMBARDIA;4864
2023/2024;L-19;LAZIO;LAZIO;4862
2024/2025;LM-77;LOMBARDIA;LOMBARDIA;4848
2024/2025;L-19;LOMBARDIA;LOMBARDIA;4822
2023/2024;L-36;LAZIO;LAZIO;4801
2024/2025;LMG/01;PUGLIA;PUGLIA;4769
2023/2024;LMG/01;PUGLIA;PUGLIA;4763
2024/2025;L-18;SICILIA;SICILIA;4726
2024/2025;L-10;CAMPANIA;CAMPANIA;4713
2024/2025;LM-41;EMILIA ROMAGNA;EMILIA ROMAGNA;4684
2024/2025;L-12;LOMBARDIA;LOMBARDIA;4667
2024/2025;L-24;LOMBARDIA;LOMBARDIA;4655
2024/2025;L-24;LAZIO;LAZIO;4627
2024/2025;L-8;LOMBARDIA;LOMBARDIA;4624
2024/2025;LM-41;PUGLIA;PUGLIA;4613
2024/2025;L-9;LOMBARDIA;LOMBARDIA;4611
2023/2024;L-33;LAZIO;LAZIO;4609
2023/2024;L-9;LOMBARDIA;LOMBARDIA;4583
2024/2025;LM-77;LAZIO;LAZIO;4572
2023/2024;L-11;LAZIO;LAZIO;4553
2024/2025;LM-85 bis;CAMPANIA;CAMPANIA;4524
2024/2025;L-19;SICILIA;SICILIA;4520
2023/2024;L-18;SICILIA;SICILIA;4482
2024/2025;L-9;SICILIA;SICILIA;4479
2023/2024;LM-41;EMILIA ROMAGNA;EMILIA ROMAGNA;4465
2023/2024;L-24;LAZIO;LAZIO;4425
2023/2024;L-24;LOMBARDIA;LOMBARDIA;4392
2024/2025;LMG/01;TOSCANA;TOSCANA;4384
2023/2024;LM-77;LAZIO;LAZIO;4367
2024/2025;LM-41;TOSCANA;TOSCANA;4354
2023/2024;L-31;LOMBARDIA;LOMBARDIA;4339
