COD_Ateneo;NomeEsteso;NomeOperativo;Status;Descrizione;StataleLibera;Indirizzo;CITTA;PROVINCIA;REGIONE;NOME_REGIONE_MACRO;;
00101;Università degli studi di Torino;Torino;A;Università;S;Via Verdi, 8;TORINO;TORINO;PIEMONTE;NORD-OVEST;;
00102;Politecnico di Torino;Torino Politecnico;A;Politecnico;S;Corso Duca degli Abruzzi, 24;TORINO;TORINO;PIEMONTE;NORD-OVEST;;
00103;Istituto Superiore di Educazione Fisica di Torino;Torino ISEF;M;ISEF;L;;;TORINO;PIEMONTE;NORD-OVEST;;
00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte Orientale;A;Università;S;Via Duomo, 6;VERCELLI;VERCELLI;PIEMONTE;NORD-OVEST;;
00401;Università di Scienze Gastronomiche;Bra Scienze Gastronomiche;A;Università;L;P.zza Vittorio Emanuele, 9;BRA - FRAZ. POLLENZO;CUNEO;PIEMONTE;NORD-OVEST;;
00701;Università della Valle d'Aosta;Aosta;A;Università;L;Strada Cappuccini, 2A;AOSTA;AOSTA;VALLE D'AOSTA;NORD-OVEST;;
01001;Università degli studi di Genova;Genova;A;Università;S;Via Balbi, 5;GENOVA;GENOVA;LIGURIA;NORD-OVEST;;
01201;"Università ""Carlo Cattaneo"" (LIUC)";Castellanza LIUC;A;Università;L;Corso Matteotti, 22;CASTELLANZA;VARESE;LOMBARDIA;NORD-OVEST;;
01202;Università degli studi dell' Insubria;Insubria;A;Università;S;Via Ravasi, 2;VARESE;VARESE;LOMBARDIA;NORD-OVEST;;
01301;"Università telematica ""e-Campus"" di Novedrate (CO)";Novedrate e-Campus - telematica;A;Universita Telematica;L;Via Isimbardi, 10;NOVEDRATE;COMO;LOMBARDIA;NORD-OVEST;;
01501;Università degli studi di Milano;Milano;A;Università;S;Via Festa del Perdono, 7;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01502;Politecnico di Milano;Milano Politecnico;A;Politecnico;S;Piazza Leonardo da Vinci, 32;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01503;Università commerciale Luigi Bocconi di Milano;Milano Bocconi;A;Università;L;Via Sarfatti, 25;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01504;"Università Cattolica del ""Sacro Cuore""";Milano Cattolica;A;Università;L;Largo Gemelli, 1;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01505;Libera Università di Lingue e Comunicazione (IULM);Milano IULM;A;Università;L;Via Carlo Bo, 1;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01506;Istituto Superiore di Educazione Fisica di Milano;Milano ISEF;M;ISEF;L;;;MILANO;LOMBARDIA;NORD-OVEST;;
01507;Istituto Superiore di Educazione Fisica della Lombardia;Milano ISEF Lombardia;M;ISEF;L;;;MILANO;LOMBARDIA;NORD-OVEST;;
01508;Libera Università, Vita-Salute San Raffaele di Milano;Milano San Raffaele;A;Università;L;Via Olgettina, 58;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01509;Università degli studi di Milano-Bicocca;Milano Bicocca;A;Università;S;Piazza dell' Ateneo Nuovo, 1;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01510;Humanitas University;Rozzano (MI) Humanitas University;A;Università;L;Via Rita Levi Montalcini, 4;PIEVE EMANUELE;MILANO;LOMBARDIA;NORD-OVEST;;
01511;Istituto di Ricerche Farmacologiche Mario Negri - IRCCS;Milano - Mario Negri;A;Ente di Ricerca;L;Via Mario Negri, 2;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01601;Università degli studi di Bergamo;Bergamo;A;Università;S;Via Salvecchio, 19;BERGAMO;BERGAMO;LOMBARDIA;NORD-OVEST;;
01701;Università degli studi di Brescia;Brescia;A;Università;S;Piazza del Mercato, 15;BRESCIA;BRESCIA;LOMBARDIA;NORD-OVEST;;
01801;Università degli studi di Pavia;Pavia;A;Università;S;Corso Strada Nuova, 65;PAVIA;PAVIA;LOMBARDIA;NORD-OVEST;;
01802;Istituto universitario di studi superiori di Pavia;Pavia IUSS;A;Scuola Superiore ad Ordinamento Speciale;S;Palazzo del Broletto – P.zza della Vittoria;PAVIA;PAVIA;LOMBARDIA;NORD-OVEST;;
02101;Libera Università di Bolzano;Bolzano;A;Università;L;Piazza Università 1;BOLZANO;BOLZANO;Provincia autonoma di BOLZANO;NORD-EST;;
02201;Università degli studi di Trento;Trento;A;Università;S;Via Calepina, 14;TRENTO;TRENTO;Provincia autonoma di TRENTO;NORD-EST;;
02301;Università degli studi di Verona;Verona;A;Università;S;Via dell'Artigliere, 8 Pal. Giuliari;VERONA;VERONA;VENETO;NORD-EST;;
02701;Università Ca' Foscari Venezia;Ca' Foscari Venezia;A;Università;S;Sestiere di Dorsoduro, 3246 Ca' Foscari;VENEZIA;VENEZIA;VENETO;NORD-EST;;
02702;Università Iuav di Venezia;Venezia Iuav;A;Università;S;Sestiere di Santa Croce, 191 Tolentini;VENEZIA;VENEZIA;VENETO;NORD-EST;;
02801;Università degli studi di Padova;Padova;A;Università;S;Via 8 Febbraio, 2;PADOVA;PADOVA;VENETO;NORD-EST;;
03001;Università degli studi di Udine;Udine;A;Università;S;Via Palladio, 8;UDINE;UDINE;FRIULI VENEZIA GIULIA;NORD-EST;;
03201;Università degli studi di Trieste;Trieste;A;Università;S;Piazzale Europa, 1;TRIESTE;TRIESTE;FRIULI VENEZIA GIULIA;NORD-EST;;
03202;Scuola internazionale superiore di studi avanzati di Trieste;Trieste SISSA;A;Scuola Superiore ad Ordinamento Speciale;S;Via Bonomea, 265;TRIESTE;TRIESTE;FRIULI VENEZIA GIULIA;NORD-EST;;
03401;Università degli studi di Parma;Parma;A;Università;S;Via Universita', 12;PARMA;PARMA;EMILIA ROMAGNA;NORD-EST;;
03601;Università degli studi di Modena e Reggio Emilia;Modena e Reggio Emilia;A;Università;S;Via Universita', 4;MODENA;MODENA;EMILIA ROMAGNA;NORD-EST;;
03701;Università degli studi di Bologna;Bologna;A;Università;S;Via Zamboni, 33;BOLOGNA;BOLOGNA;EMILIA ROMAGNA;NORD-EST;;
03702;Istituto Superiore di Educazione Fisica di Bologna;Bologna ISEF;M;ISEF;L;;;BOLOGNA;EMILIA ROMAGNA;NORD-EST;;
03801;Università degli studi di Ferrara;Ferrara;A;Università;S;Ex Convento di S.Lucia-v.Ariosto 35;FERRARA;FERRARA;EMILIA ROMAGNA;NORD-EST;;
04101;"Università degli studi ""Carlo Bo"" di Urbino";Urbino;A;Università;S;Via A. Saffi, 2;URBINO;PESARO E URBINO;MARCHE;CENTRO;;
04102;Istituto Superiore di Educazione Fisica di Urbino;Urbino ISEF;M;ISEF;L;;;PESARO E URBINO;MARCHE;CENTRO;;
04201;Università Politecnica delle Marche - Ancona;Marche;A;Università;S;P.zza Roma, 22;ANCONA;ANCONA;MARCHE;CENTRO;;
04301;Università degli studi di Macerata;Macerata;A;Università;S;Piaggia dell'Universita', 11;MACERATA;MACERATA;MARCHE;CENTRO;;
