Numero Classe;Tipo_Laurea;Denominazione Classe;Ordinamento Classe;ISCED_F_1dgt;ISCED_F_2dgt;ISCED_F_3dgt;Nome Gruppo Disciplinare;Area Disciplinare;Macro Area Disciplinare;STEAM
65/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;D.M. 509/99;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85 bis_BZ16;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze  della formazione primaria;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85 bis_AO;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della  formazione primaria;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85 bis_UD;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85bis_BZ17;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85;Laurea Magistrale - dm 270/04;Scienze pedagogiche;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-85 bis;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
87/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze pedagogiche;D.M. 509/99;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
18-bis;Corso di Laurea - vecchio ordinamento;Scienze della Formazione Primaria - Quadriennale;pre-D.M. 509/99;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
L-19;Laurea - dm 270/04;Scienze dell'educazione e della formazione;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-50;Laurea Magistrale - dm 270/04;Programmazione e gestione dei servizi educativi;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
18;Laurea  - dm 509/99;Scienze dell'educazione e della formazione;D.M. 509/99;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-57;Laurea Magistrale - dm 270/04;Scienze dell'educazione degli adulti e della formazione continua;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
LM-93;Laurea Magistrale - dm 270/04;Teorie e metodologie dell'e-learning e della media education;D.M. 270/04;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
56/S;Laurea Specialistica - dm 509/99;Specialistiche in programmazione e gestione dei servizi educativi e formativi;D.M. 509/99;01;011;0111;Educazione e Formazione                                                                                                                                                                                                                                   ;Artistica, Letteraria ed Educazione;Umanistica;
73/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dello spettacolo e della produzione multimediale;D.M. 509/99;02;021;0211;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
LM-65;Laurea Magistrale - dm 270/04;Scienze dello spettacolo e produzione multimediale;D.M. 270/04;02;021;0211;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
103/S;Laurea Specialistica - dm 509/99;Specialistiche in teorie e metodi del disegno industriale;D.M. 509/99;02;021;0212;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;
LM-12;Laurea Magistrale - dm 270/04;Design;D.M. 270/04;02;021;0212;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;
42;Laurea  - dm 509/99;Disegno industriale;D.M. 509/99;02;021;0212;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;
L-04;Laurea - dm 270/04;Disegno industriale;D.M. 270/04;02;021;0212;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;
L-01;Laurea - dm 270/04;Beni culturali;D.M. 270/04;02;021;0213;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
LM-89;Laurea Magistrale - dm 270/04;Storia dell'arte;D.M. 270/04;02;021;0213;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
13;Laurea  - dm 509/99;Scienze dei beni culturali;D.M. 509/99;02;021;0213;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
