ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;ORG_GOV;COMP_ORG_GOV;GENERE;N_COMP_ORG_GOV
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;01-Rettore;Componenti;F;18
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;01-Rettore;Componenti;M;81
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;02-Prorettore vicario;Componenti;F;34
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;02-Prorettore vicario;Componenti;M;66
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;03-Direttore generale;Componenti;F;27
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;03-Direttore generale;Componenti;M;71
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;04-Senato accademico;Componenti;F;614
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;04-Senato accademico;Componenti;M;1086
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;05-Consiglio di amministrazione;Componenti;F;297
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;05-Consiglio di amministrazione;Componenti;M;590
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;06-Collegio dei revisori dei conti;Componenti;F;148
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;06-Collegio dei revisori dei conti;Componenti;M;203
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;07-Nucleo di valutazione;Componenti;F;218
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;07-Nucleo di valutazione;Componenti;M;306
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;08-Comitato unico di garanzia;Componenti;F;693
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;08-Comitato unico di garanzia;Componenti;M;365
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;04-Senato accademico;Presidente;F;19
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;04-Senato accademico;Presidente;M;80
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;05-Consiglio di amministrazione;Presidente;F;15
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;05-Consiglio di amministrazione;Presidente;M;84
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;06-Collegio dei revisori dei conti;Presidente;F;17
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;06-Collegio dei revisori dei conti;Presidente;M;80
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;07-Nucleo di valutazione;Presidente;F;30
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;07-Nucleo di valutazione;Presidente;M;70
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;08-Comitato unico di garanzia;Presidente;F;72
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;08-Comitato unico di garanzia;Presidente;M;14
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;01-Rettore;Componenti;F;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;01-Rettore;Componenti;M;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;02-Prorettore vicario;Componenti;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;02-Prorettore vicario;Componenti;M;0
