Anno;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;CLASSE_ETA;GENERE;PERC_CL-ETA_PERS_TA
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Minore di 35 anni;F;9,4%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;35- 44 anni;F;17,9%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;45 - 54 anni;F;32,5%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;55 - 64 anni;F;37,1%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Maggiore di 64 anni;F;3,2%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Minore di 35 anni;M;9,0%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;35- 44 anni;M;15,7%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;45 - 54 anni;M;31,6%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;55 - 64 anni;M;39,2%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Maggiore di 64 anni;M;4,4%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;Minore di 35 anni;F;8,6%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;35- 44 anni;F;17,9%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;45 - 54 anni;F;37,9%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;55 - 64 anni;F;33,3%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;Maggiore di 64 anni;F;2,4%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;Minore di 35 anni;F;9,6%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;35- 44 anni;F;23,1%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;45 - 54 anni;F;36,4%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;55 - 64 anni;F;28,1%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;Maggiore di 64 anni;F;2,8%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;Minore di 35 anni;F;12,6%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;35- 44 anni;F;18,1%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;45 - 54 anni;F;43,3%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;55 - 64 anni;F;24,4%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;Maggiore di 64 anni;F;1,6%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;Minore di 35 anni;F;7,1%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;35- 44 anni;F;14,9%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;45 - 54 anni;F;35,0%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;55 - 64 anni;F;41,4%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;Maggiore di 64 anni;F;1,5%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;Minore di 35 anni;F;11,7%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;35- 44 anni;F;17,6%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;45 - 54 anni;F;44,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;55 - 64 anni;F;26,4%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;0,4%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;Minore di 35 anni;F;13,5%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;35- 44 anni;F;18,5%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;45 - 54 anni;F;28,1%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;55 - 64 anni;F;37,4%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;2,6%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;Minore di 35 anni;F;13,1%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;35- 44 anni;F;16,9%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;45 - 54 anni;F;36,1%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;55 - 64 anni;F;31,6%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;2,4%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;Minore di 35 anni;F;14,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;35- 44 anni;F;24,6%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;45 - 54 anni;F;34,9%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;55 - 64 anni;F;25,4%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;1,1%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;Minore di 35 anni;F;13,9%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;35- 44 anni;F;20,9%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;45 - 54 anni;F;40,2%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;55 - 64 anni;F;24,2%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;0,8%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;Minore di 35 anni;F;10,3%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;35- 44 anni;F;19,8%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;45 - 54 anni;F;25,0%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;55 - 64 anni;F;42,4%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;2,4%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;Minore di 35 anni;F;9,4%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;35- 44 anni;F;17,7%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;45 - 54 anni;F;30,1%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;55 - 64 anni;F;40,6%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;Maggiore di 64 anni;F;2,2%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;Minore di 35 anni;F;20,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;35- 44 anni;F;30,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;45 - 54 anni;F;33,3%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;55 - 64 anni;F;16,7%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;Minore di 35 anni;F;8,5%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;35- 44 anni;F;24,4%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;45 - 54 anni;F;41,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;55 - 64 anni;F;25,4%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;Maggiore di 64 anni;F;0,6%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;Minore di 35 anni;F;6,9%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;35- 44 anni;F;18,2%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;45 - 54 anni;F;40,9%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;55 - 64 anni;F;32,6%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;Maggiore di 64 anni;F;1,3%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;Minore di 35 anni;F;16,1%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;35- 44 anni;F;24,7%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;45 - 54 anni;F;32,4%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;55 - 64 anni;F;24,9%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;Maggiore di 64 anni;F;1,8%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;Minore di 35 anni;F;11,4%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;35- 44 anni;F;20,5%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;45 - 54 anni;F;25,3%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;55 - 64 anni;F;40,4%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;Maggiore di 64 anni;F;2,4%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;Minore di 35 anni;F;10,4%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;35- 44 anni;F;25,3%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;45 - 54 anni;F;31,9%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;55 - 64 anni;F;30,2%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;Maggiore di 64 anni;F;2,2%
