Anno;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Qualifica;GENERE;PERC_QUAL_PERS_TA
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRETTORE GENERALE;F;28,8%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRIGENTE II FASCIA;F;46,8%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA EP;F;58,2%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;FUNZIONARIO;F;64,4%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;COLLABORATORE;F;61,1%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;OPERATORE;F;48,8%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRETTORE GENERALE;M;71,2%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRIGENTE II FASCIA;M;53,2%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA EP;M;41,8%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;FUNZIONARIO;M;35,6%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;COLLABORATORE;M;38,9%
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;OPERATORE;M;51,2%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;COLLABORATORE;F;65,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;COLLABORATORE;M;35,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;F;75,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;M;25,0%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;FUNZIONARIO;F;71,6%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;FUNZIONARIO;M;28,4%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;OPERATORE;F;68,4%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;OPERATORE;M;31,6%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;F;61,5%
2024;00101;Università degli Studi di TORINO;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;M;38,5%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;COLLABORATORE;F;50,6%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;COLLABORATORE;M;49,4%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;F;71,4%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;M;28,6%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;FUNZIONARIO;F;65,1%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;FUNZIONARIO;M;34,9%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;OPERATORE;F;65,0%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;OPERATORE;M;35,0%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;F;53,8%
2024;00102;Politecnico di TORINO;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;M;46,2%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;COLLABORATORE;F;68,2%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;COLLABORATORE;M;31,8%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;DIRETTORE GENERALE;F;100,0%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;DIRETTORE GENERALE;M;0,0%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;F;50,0%
