ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;GRADE;GENERE;CLASSE_ETA';N_AcStaff
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;M;< 35;2
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;F;< 35;2
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;F;35 - 44;135
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;M;35 - 44;383
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;F;45 - 54;1419
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;M;45 - 54;3295
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;M;>= 55;8899
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;A;F;>= 55;3560
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;F;< 35;31
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;M;< 35;68
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;F;35 - 44;2186
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;M;35 - 44;3406
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;F;45 - 54;5297
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;M;45 - 54;6576
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;F;>= 55;4437
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;B;M;>= 55;5845
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;M;< 35;2112
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;F;< 35;1438
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;F;35 - 44;4041
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;M;35 - 44;4619
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;F;45 - 54;1791
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;M;45 - 54;1793
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;M;>= 55;1733
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;C;F;>= 55;1565
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;F;< 35;8808
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;M;< 35;8944
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;F;35 - 44;3063
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;M;35 - 44;2834
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;F;45 - 54;617
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;M;45 - 54;545
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;M;>= 55;182
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;D;F;>= 55;160
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;M;35 - 44;3
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;M;< 35;2
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;M;35 - 44;67
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;M;>= 55;85
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;M;< 35;2
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;F;45 - 54;85
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;F;35 - 44;39
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;F;>= 55;66
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;F;< 35;16
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;M;45 - 54;47
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;F;>= 55;21
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;M;>= 55;138
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;F;45 - 54;16
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;F;35 - 44;1
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;A;F;>= 55;63
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;M;45 - 54;5
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;M;35 - 44;44
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;M;>= 55;1
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;F;< 35;1
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;F;>= 55;4
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;B;M;45 - 54;8
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;F;35 - 44;9
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;F;>= 55;212
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;M;45 - 54;11
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;M;35 - 44;43
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;M;>= 55;2
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;M;< 35;206
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;B;M;45 - 54;106
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;F;35 - 44;48
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;F;35 - 44;36
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;F;< 35;186
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;M;45 - 54;20
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;M;35 - 44;49
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;M;>= 55;26
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;M;< 35;37
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;F;45 - 54;26
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;C;F;35 - 44;58
2024;03601;Modena e Reggio Emilia - Università degli studi;Emilia-Romagna;NORD-EST;D;F;45 - 54;11
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;F;35 - 44;12
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;M;>= 55;143
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;F;45 - 54;18
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;F;35 - 44;4
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;F;>= 55;51
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;M;45 - 54;1
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;M;35 - 44;15
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;M;>= 55;1
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;M;< 35;155
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;F;45 - 54;1
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;F;< 35;1
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;F;< 35;29
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;M;35 - 44;2
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;M;< 35;12
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;F;45 - 54;1
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;F;35 - 44;6
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;F;>= 55;1
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;C;M;45 - 54;14
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;D;M;< 35;88
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;F;>= 55;23
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;M;>= 55;454
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;F;>= 55;2
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;F;< 35;132
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;M;45 - 54;21
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;M;35 - 44;50
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;M;>= 55;23
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;M;< 35;28
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;M;35 - 44;3
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;F;35 - 44;68
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;A;M;45 - 54;45
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;F;< 35;24
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;M;45 - 54;115
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;M;35 - 44;50
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;M;>= 55;101
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;F;45 - 54;92
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;F;35 - 44;40
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;B;F;>= 55;74
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;D;F;45 - 54;5
2024;03401;Parma - Università degli studi;Emilia-Romagna;NORD-EST;C;F;45 - 54;16
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;F;35 - 44;35
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;F;45 - 54;90
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;F;45 - 54;4
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;F;35 - 44;1
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;F;>= 55;21
