ANNO_SOLARE;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';DIPLOMATI
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;123
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;37
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;10
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;27
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;15
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;124
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;140
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;11
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;127
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;47
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;11
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;45
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;33
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;6
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;7
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;39
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;19
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;224
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;82
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;18
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;10
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;76
2024;Accademia di Belle Arti statale;Area Artistica;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;17
