ANNO_SOLARE;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_ISTITUTO;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';DIPLOMATI
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;63
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;36
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;4
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;4
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;34
2019;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;12
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;209
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;79
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;15
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;8
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;139
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;30
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;1
2019;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;10
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;44
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;37
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;11
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;4
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;50
2019;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;31
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;259
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;65
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;15
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;15
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;83
2019;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;20
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;18
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;8
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;2
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;2
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;12
2019;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;6
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;101
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;53
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;15
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;1
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;41
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;23
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico Perfez./Master/Specializz.;da 20 a 24 anni;1
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico Perfez./Master/Specializz.;da 25 a 29 anni;3
2019;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico Perfez./Master/Specializz.;30 anni e oltre;1
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;118
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;29
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;3
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;6
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;22
2019;Accademia di Belle Arti;Area Artistica;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;10
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;37
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;15
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;6
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;5
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;31
2019;Accademia di Belle Arti;Area Artistica;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;12
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;19
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;12
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;7
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;1
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;17
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;4
2019;Accademia di Belle Arti;Area Artistica;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;7
2019;Accademia di Belle Arti;Area Artistica;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;37
2019;Accademia di Belle Arti;Area Artistica;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;25
2019;Accademia di Belle Arti;Area Artistica;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;7
2019;Accademia di Belle Arti;Area Artistica;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;21
2019;Accademia di Belle Arti;Area Artistica;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;8
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;11
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;137
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;22
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;30 anni e oltre;3
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;22
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;40
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;30 anni e oltre;9
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;1
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico Perfez./Master/Specializz.;da 20 a 24 anni;10
2019;Accademia di Belle Arti;Area Artistica;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico Perfez./Master/Specializz.;da 25 a 29 anni;11
