AnnoA;AnnoNascita;SESSO;Imm
2024/2025;1963 e precedenti;F;223
2024/2025;1963 e precedenti;M;415
2024/2025;1964;F;67
2024/2025;1964;M;58
2024/2025;1965;F;54
2024/2025;1965;M;66
2024/2025;1966;F;92
2024/2025;1966;M;80
2024/2025;1967;F;109
2024/2025;1967;M;98
2024/2025;1968;F;130
2024/2025;1968;M;87
2024/2025;1969;F;158
2024/2025;1969;M;117
2024/2025;1970;F;185
2024/2025;1970;M;116
2024/2025;1971;F;223
2024/2025;1971;M;148
2024/2025;1972;F;244
2024/2025;1972;M;160
2024/2025;1973;F;247
2024/2025;1973;M;188
2024/2025;1974;F;297
2024/2025;1974;M;218
2024/2025;1975;F;340
2024/2025;1975;M;219
2024/2025;1976;F;325
2024/2025;1976;M;264
2024/2025;1977;F;384
2024/2025;1977;M;194
2024/2025;1978;F;334
2024/2025;1978;M;266
2024/2025;1979;F;325
2024/2025;1979;M;255
2024/2025;1980;F;328
2024/2025;1980;M;266
2024/2025;1981;F;317
2024/2025;1981;M;262
2024/2025;1982;F;285
2024/2025;1982;M;200
2024/2025;1983;F;246
2024/2025;1983;M;214
2024/2025;1984;F;300
2024/2025;1984;M;258
2024/2025;1985;F;322
2024/2025;1985;M;261
2024/2025;1986;F;304
2024/2025;1986;M;299
2024/2025;1987;F;345
2024/2025;1987;M;351
2024/2025;1988;F;398
2024/2025;1988;M;356
2024/2025;1989;F;409
2024/2025;1989;M;442
2024/2025;1990;F;434
2024/2025;1990;M;501
2024/2025;1991;F;538
2024/2025;1991;M;545
2024/2025;1992;F;586
2024/2025;1992;M;595
2024/2025;1993;F;633
2024/2025;1993;M;636
2024/2025;1994;F;710
2024/2025;1994;M;696
2024/2025;1995;F;751
2024/2025;1995;M;809
2024/2025;1996;F;898
2024/2025;1996;M;933
2024/2025;1997;F;983
2024/2025;1997;M;1124
2024/2025;1998;F;1235
2024/2025;1998;M;1558
2024/2025;1999;F;1490
2024/2025;1999;M;1868
2024/2025;2000;F;1889
2024/2025;2000;M;2385
2024/2025;2001;F;2466
2024/2025;2001;M;2898
2024/2025;2002;F;3709
2024/2025;2002;M;4113
2024/2025;2003;F;7462
2024/2025;2003;M;7102
2024/2025;2004;F;23686
2024/2025;2004;M;18746
2024/2025;2005;9;1
2024/2025;2005;F;128369
2024/2025;2005;M;97209
2024/2025;2006 e successivi;F;17863
2024/2025;2006 e successivi;M;12341
2023/2024;1962 e precedenti;F;182
2023/2024;1962 e precedenti;M;303
2023/2024;1963;F;43
2023/2024;1963;M;50
2023/2024;1964;F;57
2023/2024;1964;M;70
2023/2024;1965;F;62
2023/2024;1965;M;83
2023/2024;1966;F;87
2023/2024;1966;M;81
2023/2024;1967;F;108
2023/2024;1967;M;115
2023/2024;1968;F;132
2023/2024;1968;M;114
2023/2024;1969;F;146
2023/2024;1969;M;129
2023/2024;1970;F;185
2023/2024;1970;M;106
2023/2024;1971;F;214
2023/2024;1971;M;146
2023/2024;1972;F;232
2023/2024;1972;M;166
2023/2024;1973;F;264
2023/2024;1973;M;196
2023/2024;1974;F;286
2023/2024;1974;M;229
2023/2024;1975;F;277
2023/2024;1975;M;235
2023/2024;1976;F;315
2023/2024;1976;M;222
2023/2024;1977;F;324
2023/2024;1977;M;256
2023/2024;1978;F;332
2023/2024;1978;M;266
2023/2024;1979;F;327
2023/2024;1979;M;268
