AnnoA;CorsoTIPO;ClasseNUMERO;ClasseNOME;Diploma_tipo;SESSO;Imm
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Altro diploma;F;3
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo classico;F;12
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo delle scienze umane;F;11
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo linguistico;F;11
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo scientifico;F;28
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma in indirizzo professionale;F;2
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma in indirizzo tecnico;F;12
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Altro diploma;M;25
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo artistico;M;3
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo classico;M;19
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo delle scienze umane;M;4
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo linguistico;M;5
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma di liceo scientifico;M;124
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma in indirizzo professionale;M;7
2024/2025;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;Diploma in indirizzo tecnico;M;39
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Altro diploma;F;164
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo artistico;F;2
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo classico;F;10
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo delle scienze umane;F;18
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo linguistico;F;16
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo musicale e coreutico;F;1
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo scientifico;F;33
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma in indirizzo professionale;F;98
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma in indirizzo tecnico;F;36
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Altro diploma;M;238
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo artistico;M;1
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo classico;M;9
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo delle scienze umane;M;6
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo linguistico;M;8
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma di liceo scientifico;M;29
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma in indirizzo professionale;M;163
2024/2025;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;Diploma in indirizzo tecnico;M;53
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Altro diploma;F;800
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo artistico;F;154
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo classico;F;586
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo delle scienze umane;F;1858
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo linguistico;F;852
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo musicale e coreutico;F;29
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo scientifico;F;2384
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma in indirizzo professionale;F;1774
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma in indirizzo tecnico;F;1803
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Altro diploma;M;254
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo artistico;M;27
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo classico;M;74
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo delle scienze umane;M;172
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo linguistico;M;92
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo musicale e coreutico;M;4
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma di liceo scientifico;M;949
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma in indirizzo professionale;M;554
2024/2025;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;Diploma in indirizzo tecnico;M;929
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Altro diploma;F;44
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo artistico;F;21
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo classico;F;177
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo delle scienze umane;F;423
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo linguistico;F;233
