AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;CODIstatProv;Isc
2024/2025;101;Torino;L/DS;Scienze Strategiche e della Sicurezza;TORINO;1;56
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);IVREA;1;54
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ORBASSANO;1;129
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);TORINO;1;292
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CUNEO;4;110
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ASTI;5;72
2024/2025;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);AOSTA;7;21
2024/2025;101;Torino;L/SNT1;Infermieristica Pediatrica (Abilitante alla Professione Sanitaria di Infermiere Pediatrico);TORINO;1;32
2024/2025;101;Torino;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);TORINO;1;31
2024/2025;101;Torino;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);TORINO;1;65
2024/2025;101;Torino;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);SAVIGLIANO;4;23
2024/2025;101;Torino;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);TORINO;1;51
2024/2025;101;Torino;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);TORINO;1;30
2024/2025;101;Torino;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);TORINO;1;15
2024/2025;101;Torino;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);ORBASSANO;1;26
2024/2025;101;Torino;L/SNT2;Terapia della Neuro e Psicomotricità dell'Età Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricità dell'Età Evolutiva);TORINO;1;16
2024/2025;101;Torino;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);TORINO;1;20
2024/2025;101;Torino;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);TORINO;1;29
2024/2025;101;Torino;L/SNT3;Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista);TORINO;1;6
2024/2025;101;Torino;L/SNT3;Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista);TORINO;1;13
2024/2025;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);TORINO;1;35
2024/2025;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);CUNEO;4;10
2024/2025;101;Torino;L/SNT3;Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia);TORINO;1;14
2024/2025;101;Torino;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);TORINO;1;30
2024/2025;101;Torino;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);CUNEO;4;18
2024/2025;101;Torino;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);COLLEGNO;1;31
2024/2025;101;Torino;L-1;Beni Culturali;TORINO;1;300
2024/2025;101;Torino;L-10;Culture e Letterature del Mondo Moderno;TORINO;1;55
2024/2025;101;Torino;L-10;Lettere;TORINO;1;326
2024/2025;101;Torino;L-11;Lingue e Letterature Moderne;TORINO;1;392
2024/2025;101;Torino;L-12;Lingue e Culture dell'Asia e dell'Africa;TORINO;1;153
2024/2025;101;Torino;L-12;Scienze della Mediazione Linguistica;TORINO;1;334
2024/2025;101;Torino;L-13;Scienze Biologiche;TORINO;1;254
2024/2025;101;Torino;L-14;Diritto Agroalimentare;TORINO;1;13
2024/2025;101;Torino;L-14;Diritto per le Imprese e le Istituzioni;TORINO;1;246
2024/2025;101;Torino;L-14;Global Law And Transnational Legal Studies;TORINO;1;544
2024/2025;101;Torino;L-15;Lingue e Culture per il Turismo;TORINO;1;217
2024/2025;101;Torino;L-16;Consulenza del Lavoro e Gestione delle Risorse Umane;TORINO;1;129
2024/2025;101;Torino;L-16;Scienze dell'Amministrazione Digitale;TORINO;1;97
2024/2025;101;Torino;L-18;Amministrazione Aziendale;TORINO;1;295
2024/2025;101;Torino;L-18;Business & Management;TORINO;1;242
2024/2025;101;Torino;L-18;Economia Aziendale;TORINO;1;782
2024/2025;101;Torino;L-18;Economia Aziendale;CUNEO;4;83
2024/2025;101;Torino;L-18;Economia Aziendale;BIELLA;96;41
2024/2025;101;Torino;L-18;Management dell'Informazione e della Comunicazione Aziendale;TORINO;1;233
2024/2025;101;Torino;L-19;Scienze dell'Educazione;TORINO;1;403
2024/2025;101;Torino;L-19;Scienze dell'Educazione;SAVIGLIANO;4;131
2024/2025;101;Torino;L-2;Biotecnologie;TORINO;1;173
2024/2025;101;Torino;L-20;Comunicazione Interculturale;TORINO;1;221
2024/2025;101;Torino;L-20;Innovazione Sociale, Comunicazione, Nuove Tecnologie;TORINO;1;272
2024/2025;101;Torino;L-20;Scienze della Comunicazione;TORINO;1;1018
2024/2025;101;Torino;L-22;Scienze e Tecniche delle Attività Motorie e Sportive;TORINO;1;292
