AnnoA;AteneoNOME;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Isc
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;6016
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;4617
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;2690
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;2493
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-9;Ingegneria industriale;M;2219
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;2180
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;F;2127
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;2038
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;M;1802
2024/2025;Torino Politecnico;Laurea - dm 270/04;L-9;Ingegneria industriale;M;1735
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;F;1658
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;1608
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-39;Linguistica;F;1519
2024/2025;Roma San Raffaele - telematica;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;F;1504
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;1462
2024/2025;Padova;Laurea - dm 270/04;L-9;Ingegneria industriale;M;1380
2024/2025;Roma Marconi - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;1376
2024/2025;Milano Cattolica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;1351
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-9;Ingegneria industriale;M;1293
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;1289
2024/2025;Torino Politecnico;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;1285
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;1266
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-9;Ingegneria industriale;M;1239
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;1234
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;1192
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;1186
2024/2025;Milano Cattolica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;1157
2024/2025;Torino;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;1076
2024/2025;Roma San Raffaele - telematica;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;M;1053
2024/2025;Roma La Sapienza;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;1050
2024/2025;Milano Bocconi;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;1015
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-7;Ingegneria civile e ambientale;M;986
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;985
2024/2025;Roma Tre;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;984
2024/2025;Padova;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;975
2024/2025;Torino;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;950
2024/2025;Perugia;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;949
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;943
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-9;Ingegneria industriale;M;932
2024/2025;Milano IULM;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;906
2024/2025;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;905
2024/2025;L'Aquila;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;887
2024/2025;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;F;847
2024/2025;Roma Marconi - telematica;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;844
2024/2025;Palermo;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;825
2024/2025;Padova;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;819
2024/2025;Padova;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;799
2024/2025;Novedrate e-Campus - telematica;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;786
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-9;Ingegneria industriale;F;785
2024/2025;Milano;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;784
2024/2025;Roma UNICUSANO - telematica;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;780
2024/2025;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;774
2024/2025;Roma San Raffaele - telematica;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;773
2024/2025;Bologna;Laurea - dm 270/04;L-9;Ingegneria industriale;M;767
2024/2025;Napoli Parthenope;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;758
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;743
2024/2025;Milano Bocconi;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;738
2024/2025;Roma San Raffaele - telematica;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;F;737
2024/2025;Roma La Sapienza;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;737
2024/2025;Roma Luiss;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;735
2024/2025;Ca' Foscari Venezia;Laurea - dm 270/04;L-11;Lingue e culture moderne;F;734
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;F;733
2024/2025;Napoli Federico II;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;733
2024/2025;Roma Marconi - telematica;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;729
2024/2025;Torino Politecnico;Laurea - dm 270/04;L-9;Ingegneria industriale;F;728
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-9;Ingegneria industriale;M;727
2024/2025;Torino;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;726
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;725
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-33;Scienze economiche;M;720
2024/2025;Padova;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;718
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;706
2024/2025;Palermo;Laurea - dm 270/04;L-9;Ingegneria industriale;M;706
2024/2025;Torino;Laurea - dm 270/04;L-33;Scienze economiche;M;704
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;702
2024/2025;Roma San Raffaele - telematica;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;693
2024/2025;Firenze;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;691
2024/2025;Verona;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;687
2024/2025;Bologna;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;682
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;M;681
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-12;Mediazione linguistica;F;673
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;672
2024/2025;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;672
2024/2025;Napoli Parthenope;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;672
2024/2025;Napoli Benincasa;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;668
2024/2025;Milano Bicocca;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;667
2024/2025;Bologna;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;665
2024/2025;Bari;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;663
2024/2025;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;F;663
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;660
2024/2025;Pisa;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;657
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-33;Scienze economiche;M;648
2024/2025;Roma UNINETTUNO - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;646
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-4;Disegno industriale;F;646
2024/2025;Bari Politecnico;Laurea - dm 270/04;L-9;Ingegneria industriale;M;641
2024/2025;Milano San Raffaele;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;636
2024/2025;Napoli L'Orientale;Laurea - dm 270/04;L-11;Lingue e culture moderne;F;632
2024/2025;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;629
2024/2025;Catania;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;628
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-17;Scienze dell'architettura;F;625
2024/2025;Milano Cattolica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;620
2024/2025;Napoli Parthenope;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;617
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;617
2024/2025;Torino;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;615
2024/2025;Milano Bocconi;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;609
2024/2025;Bologna;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;609
2024/2025;Torino;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;604
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;603
2024/2025;Padova;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;602
2024/2025;Roma Luiss;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;596
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;595
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;593
2024/2025;Bologna;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;592
2024/2025;Bologna;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;585
2024/2025;Modena e Reggio Emilia;Laurea - dm 270/04;L-9;Ingegneria industriale;M;583
2024/2025;Milano Politecnico;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;F;582
2024/2025;Ferrara;Laurea - dm 270/04;L-2;Biotecnologie;F;579
2024/2025;Firenze;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;578
2024/2025;Firenze;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;577
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;577
2024/2025;Roma  Mercatorum - telematica;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;568
2024/2025;Milano Cattolica;Laurea - dm 270/04;L-12;Mediazione linguistica;F;567
2024/2025;Torino;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;564
2024/2025;Pisa;Laurea - dm 270/04;L-9;Ingegneria industriale;M;563
2024/2025;Milano Bicocca;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;562
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-10;Lettere;F;559
2024/2025;Torino;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;557
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;M;556
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-33;Scienze economiche;F;555
2024/2025;Milano Cattolica;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;553
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;551
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;550
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;550
2024/2025;Roma UNICUSANO - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;541
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-10;Lettere;F;536
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-9;Ingegneria industriale;F;533
2024/2025;Bari Politecnico;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;532
