ANNO_ACCADEMICO;REGIONE_ISTITUTO;TIPO_ISTITUTO;Area_Istituto;PROVENIENZA_STUDENTE;ISCR_ITALIANI;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;368;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;BASILICATA;2;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;CALABRIA;1;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;3;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;LAZIO;69;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;MARCHE;3;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;MOLISE;7;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;2;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;PUGLIA;8;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;2;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;SICILIA;1;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;UMBRIA;1;;
2024-2025;ABRUZZO;Accademia di Belle Arti statale;Area Artistica;VENETO;2;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;738;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;7;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;6;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;17;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;3;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;3;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;163;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;5;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;65;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;26;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;9;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;39;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;11;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;4;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;4;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;1;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;16;;
2024-2025;ABRUZZO;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;1;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;ABRUZZO;93;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;BASILICATA;2;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;CALABRIA;1;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;EMILIA ROMAGNA;1;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;MARCHE;3;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;MOLISE;4;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;16;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;1;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;TRENTINO-ALTO ADIGE;1;;
2024-2025;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;UMBRIA;3;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;2;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;350;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;13;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;41;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;4;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;5;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;8;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;1;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;178;;
2024-2025;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;1;;
2024-2025;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;27;;
2024-2025;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;1;;
2024-2025;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;30;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;790;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;3;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;2;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;1;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;2;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;113;;
2024-2025;CALABRIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;3;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;2;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;9;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;1482;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;23;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;5;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;19;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;2;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;1;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;5;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;39;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;4;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;239;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;1;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;1;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;1;;
2024-2025;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;4;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;21;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;32;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;33;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;3552;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;5;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;2;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;47;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;4;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;14;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;MARCHE;3;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;MOLISE;19;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;6;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;42;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;11;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;19;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;29;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;2;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;3;;
2024-2025;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;VENETO;9;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;2;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;16;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;54;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;3080;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;5;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;2;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;36;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;10;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;2;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;14;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;2;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;22;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;17;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;5;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;4;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;3;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;1;;
2024-2025;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;5;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;4;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;14;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;12;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;920;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;2;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;2;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;14;;
