ANNO_ACCADEMICO;TIPO_ISTITUTO;AREA ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCR_STRANIERI
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Architettura e Ambiente;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Architettura e Ambiente;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Moda e Design;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Moda e Design;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;F;50
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;M;14
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;F;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;27
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;16
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;8
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione per l'architettura;F;21
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione per l'architettura;M;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;F;16
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura e Arti visive;M;14
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura e Arti visive;F;22
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Comunicazione e Didattica dell'arte;F;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte e mediazione culturale per il patrimonio artistico;F;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Linguaggi del Cinema e dell'Audiovisivo;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Linguaggi del Cinema e dell'Audiovisivo;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design del Prodotto;F;9
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design del Prodotto;M;12
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design grafico;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design grafico;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fashion Design;F;40
