ANNO_ACCADEMICO;Area_Istituto;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_ISTITUTO;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';ISCRITTIx ETA'
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;205
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;637
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;85
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;42
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;52
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;117
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BARI;7238 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;66
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;16
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;16
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;46
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;154
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;28
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;10
2024-2025;Area Artistica;Accademia di Belle Arti statale;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO (area artistica);BERGAMO;59090;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;15
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;175
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;56
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;104
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1009
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;105
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;230
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;416
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;30 anni e oltre;5
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 18 a 19 anni;6
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;48
2024-2025;Area Artistica;Accademia di Belle Arti statale;;BOLOGNA;7195 ;EMILIA ROMAGNA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;23
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;73
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;104
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;555
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;113
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;139
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;74
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CARRARA;7213 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;95
