AnnoS;AteneoNOME;AteneoCOD;Nome Gruppo Disciplinare;SESSO;Lau
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;159
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;29
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;294
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;37
2024;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;1
2024;Brescia;1701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;15
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;35
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;113
2024;Catanzaro;7901;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;9
2024;Ferrara;3801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;5
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;105
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;36
2024;Marche;4201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;47
2024;Messina;8301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;61
2024;Milano;1501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;331
2024;Milano Cattolica;1504;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;98
2024;Modena e Reggio Emilia;3601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;42
2024;Molise;7001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;29
2024;Napoli Federico II;6301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;260
2024;Napoli Vanvitelli;6306;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2
2024;Padova;2801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;335
2024;Palermo;8201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;85
2024;Parma;3401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;229
2024;Pavia;1801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2
2024;Perugia;5401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;109
2024;Pisa;5001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;174
2024;Reggio Calabria;8001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;32
2024;Roma Biomedico;5808;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;10
2024;Roma La Sapienza;5801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;8
2024;Roma San Raffaele - telematica;5816;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;305
2024;Roma Tre;5807;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;18
2024;Salento;7501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;7
2024;Salerno;6501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;16
2024;Sannio;6201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;6
2024;Sassari;9001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;90
2024;Siena;5201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2
2024;Teramo;6701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;169
2024;Torino;101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;280
2024;Trento;2201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;13
2024;Tuscia;5601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;88
2024;Udine;3001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;152
2024;Verona;2301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;10
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;135
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;46
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;388
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;30
2024;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;1
2024;Brescia;1701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;30
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;14
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;152
2024;Catanzaro;7901;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4
2024;Ferrara;3801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;13
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;194
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;70
2024;Marche;4201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;91
2024;Messina;8301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;44
2024;Milano;1501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;324
2024;Milano Cattolica;1504;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;122
2024;Modena e Reggio Emilia;3601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;37
