ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;AREA_SD;N_PERS_DR
1997;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;2
1997;30 - 34;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;4
1997;35 - 39;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;40
1997;40 - 44;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;96
1997;45 - 49;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;165
1997;50 - 54;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;205
1997;55 - 59;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;138
1997;60 - 64;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;61
1997;>= 65;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;69
1997;40 - 44;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;9
1997;45 - 49;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;45
1997;50 - 54;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;110
1997;55 - 59;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;234
1997;60 - 64;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;148
1997;>= 65;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;106
1997;40 - 44;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;7
1997;45 - 49;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;66
1997;50 - 54;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;121
1997;55 - 59;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;265
1997;60 - 64;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;188
1997;>= 65;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;177
1997;40 - 44;1PO;Professore I fascia (ordinario);04 - Scienze della terra;7
1997;45 - 49;1PO;Professore I fascia (ordinario);04 - Scienze della terra;15
1997;50 - 54;1PO;Professore I fascia (ordinario);04 - Scienze della terra;43
1997;55 - 59;1PO;Professore I fascia (ordinario);04 - Scienze della terra;115
1997;60 - 64;1PO;Professore I fascia (ordinario);04 - Scienze della terra;105
1997;>= 65;1PO;Professore I fascia (ordinario);04 - Scienze della terra;64
1997;35 - 39;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;5
1997;40 - 44;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;39
1997;45 - 49;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;164
1997;50 - 54;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;299
